Date,IWF,IWM,MTUM,RJF,SPY,VLUE,VXX
2018-09-24,-0.3261438100555376,-0.4226734448003291,-0.2770121359936529,1.0,-0.4595222003467426,-0.45314566130880674,0.0
2018-09-25,-0.3245314157727219,-0.4276494164800188,-0.27239773664977013,1.0,-0.46380997288695036,-0.45868207002239775,0.0
2018-09-26,-0.3252475831171893,-0.4285545861825041,-0.2739919830228719,1.0,-0.4634225418533365,-0.45620136760198066,0.0
2018-09-27,-0.3247212882675633,-0.4309266796437209,-0.27343243083819974,1.0,-0.46369374152067483,-0.4565268684008731,0.0
2018-09-28,-0.32357104937179265,-0.43195894531941254,-0.2736978705833776,1.0,-0.46357576830059577,-0.4565268684008731,0.0
2018-10-01,-0.3245228472816307,-0.4311336617599339,-0.2734888934776837,1.0,-0.4642024838490811,-0.4565621404761202,0.0
2018-10-02,-0.3251238791882963,-0.42584945729117507,-0.2753657385559226,1.0,-0.4653433223218499,-0.45785158093440304,0.0
2018-10-03,-0.32493955298696703,-0.42292268679601347,-0.27498967977826266,1.0,-0.4662381317450021,-0.4595742171374654,0.0
2018-10-04,-0.32293670286745774,-0.43221969046844017,-0.27443553398632853,1.0,-0.46394223655786704,-0.46565856834255615,0.0
2018-10-05,-0.3105413946894291,-0.4247570664855126,-0.26354963523052843,1.0,-0.47523407271760637,-0.47948725522048624,0.0
2018-10-08,-0.30934190731836825,-0.4225834046193328,-0.26149671101147465,1.0,-0.4771245685967966,-0.47915990678741044,0.0
2018-10-09,-0.3071405378280249,-0.423797856953095,-0.255217404138501,1.0,-0.48112288573368356,-0.4845470378132656,0.0
2018-10-10,-0.30893900926964635,-0.4223593316407865,-0.2573064887524355,1.0,-0.48228729999409575,-0.4812245379937415,0.0
2018-10-11,-0.29525534649994156,-0.4178742549959098,-0.24287133341124226,1.0,-0.479870281640762,-0.48571345097580937,0.0
2018-10-12,-0.2967725082718987,-0.4126081151680502,-0.24249724270041212,1.0,-0.4727752945956928,-0.4777674580600221,0.0
2018-10-15,-0.2815364976209818,-0.44026343274921664,-0.2206104212602994,1.0,-0.474962283857491,-0.48386909597307654,0.0
2018-10-16,-0.2814204479517234,-0.44075664384356505,-0.2202622722525241,1.0,-0.47493327144017644,-0.4838400835557619,0.0
