Date,IWF,IWM,MTUM,RDUS,SPY,VLUE,VXX
2018-09-24,-0.8608490566037735,-1.5491654571843252,-0.19073536526366713,1.0,-1.2821722302854377,-1.1644291243347846,0.0
2018-09-25,-0.860511639185257,-1.5556498545101844,-0.1870756547041707,1.0,-1.2876454898157128,-1.1711323957322988,0.0
2018-09-26,-0.8605807116445415,-1.5557980238831302,-0.18736740013335756,1.0,-1.287506819421713,-1.1704552342850216,0.0
2018-09-27,-0.8730699088145896,-1.5415805471124617,-0.19404255319148933,1.0,-1.2944680851063828,-1.1758662613981763,0.0
2018-09-28,-0.8780368994702552,-1.5414966814832858,-0.1945442367411557,1.0,-1.2969615782743713,-1.1780429884917494,0.0
2018-10-01,-0.8780368994702552,-1.541253120623516,-0.19509224867563785,1.0,-1.2967180174146016,-1.1779212080618646,0.0
2018-10-02,-0.9051045090863983,-1.5034422874154934,-0.22272529926192391,1.0,-1.3452211126961482,-1.2258884822923772,0.0
2018-10-03,-0.9049981396502542,-1.5019843730621358,-0.22317995783207245,1.0,-1.3450328661788418,-1.2260324941088925,0.0
2018-10-04,-0.9219590268886043,-1.5891805377720871,-0.22810499359795136,1.0,-1.3740717029449423,-1.2887964148527529,0.0
2018-10-05,-0.9086504749155351,-1.5825205584241728,-0.20928157072735384,1.0,-1.3796774399184037,-1.294575125900427,0.0
2018-10-08,-0.9059115810931329,-1.5780354185246528,-0.20008918333545675,1.0,-1.3901770926232642,-1.2960249713339278,0.0
2018-10-09,-0.9063455657492355,-1.5786824668705404,-0.20030581039755355,1.0,-1.3901630988786953,-1.295553007135576,0.0
2018-10-10,-0.907846134250414,-1.57655075786524,-0.2019487963316775,1.0,-1.3908419309642084,-1.2914915297414342,0.0
2018-10-11,-0.8120571783716595,-1.6003107520198883,-0.04605344934742076,1.0,-1.3962709757613425,-1.3603480422622747,0.0
2018-10-12,-0.8455882352941175,-1.6053509639149774,-0.03466386554621849,1.0,-1.3695625308947108,-1.3236529906080077,0.0
2018-10-15,-0.8355530891601923,-1.6185102972006413,-0.017079787889998768,1.0,-1.3698359847083488,-1.325009248982612,0.0
2018-10-16,-0.8340525212674146,-1.6229811367279003,-0.013500184934040193,1.0,-1.369436567624214,-1.3244975958574774,0.0
2018-10-17,-0.8031571970838103,-1.554799060071097,-0.0,1.0,-1.348195457010303,-1.318973308429234,0.0
2018-10-18,-0.8028075671767684,-1.5545246415230753,-0.0,1.0,-1.3485359681889386,-1.3189540908543198,0.0
2018-10-19,-0.7714217471785991,-1.5298262375350808,-0.0,1.0,-1.3521227682570012,-1.3178479727712427,0.0
2018-10-22,-0.7727870027475808,-1.5312985306415001,-0.0,1.0,-1.3514514394934893,-1.3174053279178115,0.0
2018-10-23,-0.7690142532039765,-1.5359923344113067,-0.0,1.0,-1.3599233441130676,-1.3238112348784286,0.0
2018-10-24,-0.7680585553155748,-1.529637628989681,-0.0,1.0,-1.3670506359491241,-1.3347132229421648,0.0
2018-10-25,-0.7047465808527755,-1.4305252269854039,-0.0,1.0,-1.3475462590506837,-1.2636478565682105,0.0
2018-10-26,-0.6817821108717833,-1.40307221403469,-0.0,1.0,-1.3404375921097382,-1.2429429769867362,0.0
