Date,IWF,IWM,MTUM,SPY,STKL,VLUE,VXX
2018-09-24,-0.4370909721319291,-1.2574871061413775,-0.0,-0.8321848047501408,1.0,-0.8073072422311793,0.0
2018-09-25,-0.477143111744787,-1.2921047941543395,-0.0,-0.861299233648191,1.0,-0.8249866333986812,0.0
2018-09-26,-0.47619259919750334,-1.292019616584931,-0.0,-0.8621489077128845,1.0,-0.8279982166740972,0.0
2018-09-27,-0.4767358944647473,-1.2904002139228097,-0.0,-0.8618415188519476,1.0,-0.8277475710847669,0.0
2018-09-28,-0.4756472527962212,-1.291163495387906,-0.0,-0.8616371819437637,1.0,-0.8277260371641193,0.0
2018-10-01,-0.4762498886017289,-1.290259335175118,-0.0,-0.861821584529008,1.0,-0.8276000356474468,0.0
2018-10-02,-0.4775693856640086,-1.2858288412705483,-0.0,-0.8627879003875797,1.0,-0.8287521717824208,0.0
2018-10-03,-0.4772737410232392,-1.2716891922030422,-0.0,-0.8705562246308934,1.0,-0.8409830946964629,0.0
2018-10-04,-0.48025846702317293,-1.26524064171123,-0.0,-0.8737076648841355,1.0,-0.8371212121212122,0.0
2018-10-05,-0.4555447212126585,-1.2536565907277724,-0.0,-0.8781579647194399,1.0,-0.8448719085187484,0.0
2018-10-08,-0.45140761037698324,-1.2481548592389624,-0.0,-0.8780218323242145,1.0,-0.8419145268926503,0.0
2018-10-09,-0.4542921586838265,-1.249878377780726,-0.0,-0.8779355181106541,1.0,-0.8405643270974305,0.0
2018-10-10,-0.4562295516844991,-1.2486515164912901,-0.0,-0.8791670351047838,1.0,-0.8372535148996375,0.0
2018-10-11,-0.3417802658006068,-1.237340284603222,-0.0,-0.8420152984915175,1.0,-0.852185804025469,0.0
2018-10-12,-0.3551042810098793,-1.234188972388753,-0.0,-0.8137718483492359,1.0,-0.8188381322300093,0.0
2018-10-15,-0.3202341841462387,-1.2661949288181282,-0.0,-0.8065032431977088,1.0,-0.8190548395248926,0.0
2018-10-16,-0.31514640825784707,-1.2750789972614283,-0.0,-0.8051822203496946,1.0,-0.8177375184326944,0.0
2018-10-17,-0.29064262484047587,-1.224733440368861,-0.0,-0.7880696554279363,1.0,-0.8133465069367256,0.0
2018-10-18,-0.2899362008643754,-1.2237085820127598,-0.0,-0.7890512451121631,1.0,-0.8133772381148385,0.0
2018-10-19,-0.2639915091643875,-1.2092501122586439,-0.0,-0.7940155937461729,1.0,-0.814875290851941,0.0
2018-10-22,-0.2685468530311802,-1.1978330989992556,-0.0,-0.8251592093292531,1.0,-0.8437680919692333,0.0
2018-10-23,-0.26741972856669977,-1.1984856007944389,-0.0,-0.8268785170473353,1.0,-0.8449602780536246,0.0
2018-10-24,-0.2642367137779982,-1.1936936936936937,-0.0,-0.8273824282998595,1.0,-0.8472601041408381,0.0
2018-10-25,-0.20805825631176728,-1.1318769255391508,-0.0,-0.8534389629096146,1.0,-0.8077461689272997,0.0
2018-10-26,-0.17991764333227747,-1.1149429838454228,-0.0,-0.8673978460563826,1.0,-0.797196705733291,0.0
2018-10-29,-0.16148701809598742,-1.1180566483084187,-0.0,-0.8574744295830056,1.0,-0.796931549960661,0.0
2018-10-30,-0.13447239360860624,-1.1266413542161051,-0.0,-0.8664372725834519,1.0,-0.8275193798449612,0.0
2018-10-31,-0.14298621204383863,-1.095926464233806,-0.0,-0.8668735514789644,1.0,-0.822406410810386,0.0
2018-11-01,-0.1176817057368359,-1.1174068402246042,-0.0,-0.8672792240939254,1.0,-0.824282404680567,0.0
2018-11-02,-0.12400233599377068,-1.0795016546622542,-0.0,-0.8743624683667509,1.0,-0.8154564921160209,0.0
2018-11-05,-0.13817765133554608,-1.070886676149834,-0.0,-0.8901533112059428,1.0,-0.852102102102102,0.0
2018-11-06,-0.1619551706163038,-1.1060988812702994,-0.0,-0.8951842495689483,1.0,-0.8465455711937127,0.0
2018-11-07,-0.16077441077441076,-1.1072631072631072,-0.0,-0.8936988936988937,1.0,-0.8466009299342633,0.0
2018-11-08,-0.11573628488931664,-1.4132820019249277,-0.0,-1.1436477382098171,1.0,-1.139701636188643,0.0
2018-11-09,-0.14093051238343526,-1.4765867843176577,-0.0,-1.1988869948861929,1.0,-1.1971322570941543,0.0
2018-11-12,-0.13888612135100128,-1.458902062369234,-0.0,-1.1950782106207034,1.0,-1.1887018033276875,0.0
2018-11-13,-0.08029197080291971,-1.4794020597940205,-0.0,-1.2314768523147686,1.0,-1.2082791720827917,0.0
2018-11-14,-0.08934242724006874,-1.5503722601135004,-0.0,-1.2968188681209976,1.0,-1.2699015983755921,0.0
2018-11-15,-0.08894456623864704,-1.5542854160141977,-0.0,-1.300031318509239,1.0,-1.2764380415492222,0.0
2018-11-16,-0.08109377446120128,-1.5385899911287377,-0.0,-1.3039711944893806,1.0,-1.2947346448885875,0.0
