Date,HEI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4121878121878122,-0.7276390276390277,-0.17985347985347985,-0.5428571428571428,-0.4674658674658675,0.0
2018-09-25,1.0,-0.4111459863763857,-0.7323694403632963,-0.17610524909843728,-0.5469146520635768,-0.4725858154133831,0.0
2018-09-26,1.0,-0.4137815688242181,-0.7363104198026427,-0.18019735741762838,-0.5472487037966215,-0.46750292691085465,0.0
2018-09-27,1.0,-0.4156417112299465,-0.7306483957219251,-0.1817513368983957,-0.5470588235294117,-0.46714572192513365,0.0
2018-09-28,1.0,-0.4143716577540107,-0.7315842245989305,-0.18218582887700535,-0.5468917112299465,-0.46717914438502667,0.0
2018-10-01,1.0,-0.4137469464243885,-0.7343974835190576,-0.1826791152160091,-0.5471672857477495,-0.46835993708797646,0.0
2018-10-02,1.0,-0.4138415715672166,-0.734078511428667,-0.18309293531006324,-0.5471035105920149,-0.46845821759646594,0.0
2018-10-03,1.0,-0.41386118733685834,-0.7337192958971958,-0.18322066796064523,-0.5471186667559066,-0.46860986547085204,0.0
2018-10-04,1.0,-0.4154458492206836,-0.7300822797511539,-0.18372466385711417,-0.5490333801592079,-0.46645260552545315,0.0
2018-10-05,1.0,-0.4120631529757335,-0.7297306318635468,-0.1785773890984345,-0.5504856637404453,-0.4670049067058313,0.0
2018-10-08,1.0,-0.4105691056910569,-0.7270425163268026,-0.1759629481540717,-0.5523124083699853,-0.46611355457816867,0.0
2018-10-09,1.0,-0.41161178509532065,-0.7273696840421278,-0.17800959872017066,-0.5513931475803227,-0.46447140381282503,0.0
2018-10-10,1.0,-0.41127278809165413,-0.7335340357919385,-0.17467803980598764,-0.5538049841110554,-0.47171767854156216,0.0
2018-10-11,1.0,-0.3870259284754318,-0.7293735863900088,-0.14386862031664863,-0.5445307634313435,-0.4731373127478939,0.0
2018-10-12,1.0,-0.3959946855050391,-0.7239703166013157,-0.14206552383421367,-0.5270423539324023,-0.4514728280242393,0.0
2018-10-15,1.0,-0.38396842854370183,-0.7444200038817363,-0.12466843501326258,-0.5273985896357637,-0.4543572491427832,0.0
2018-10-16,1.0,-0.3824052803572006,-0.7512537612838516,-0.11961691526191479,-0.5278092341540751,-0.4544277995276151,0.0
2018-10-17,1.0,-0.37643207855973815,-0.7372356471230063,-0.11572157504573025,-0.5247585122428677,-0.455023908090241,0.0
2018-10-18,1.0,-0.3774887604367373,-0.7394026974951831,-0.11464354527938343,-0.5242453436095055,-0.4555234425176622,0.0
2018-10-19,1.0,-0.36755083149797313,-0.7312075074212391,-0.10399310542947428,-0.5311372849436624,-0.45804206964793,0.0
