Date,BUYZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-26,1.0,-0.4311272697395448,-0.06437433242954564,-0.3968449593295539,-0.1616958343603648,-0.0,0.0
2020-10-27,1.0,-0.4325750420892703,-0.06354453250112922,-0.3972200550240217,-0.15979550774031948,-0.0,0.0
2020-10-28,1.0,-0.4347406464331184,-0.06236395745205142,-0.3973879830793872,-0.15897983490081727,-0.0,0.0
2020-10-29,1.0,-0.4327393252450028,-0.06221740286842482,-0.3986742230496962,-0.1523211326390736,-0.0,0.0
2020-10-30,1.0,-0.4311342947734479,-0.06175718523064335,-0.40079779073335375,-0.15192799427227166,-0.0,0.0
2020-11-02,1.0,-0.44506804818880796,-0.060873319353645,-0.40302619135726325,-0.14688951934542163,-0.0,0.0
2020-11-03,1.0,-0.44573037865394893,-0.06025161369896805,-0.4029930518439337,-0.1466924310323562,-0.0,0.0
2020-11-04,1.0,-0.4460745032772401,-0.05892868150157184,-0.4028642462347695,-0.1468080297519982,-0.0,0.0
2020-11-05,1.0,-0.4550213300908847,-0.05102734785565608,-0.40980565917193906,-0.145024009232735,-0.0,0.0
2020-11-06,1.0,-0.4569328598563052,-0.05318358245932778,-0.40903460236187955,-0.14540837393674128,-0.0,0.0
