Date,AMP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24007663294019035,-0.4370472370232892,-0.19095372088846313,-0.5271508112315153,-0.5982757588457164,0.0
2018-09-25,1.0,-0.2398574807628971,-0.4374681876702895,-0.19051468606844518,-0.5275008233779455,-0.598760441929399,0.0
2018-09-26,1.0,-0.2396622451118364,-0.437284786058628,-0.18995718178279486,-0.5277420127556367,-0.5996646405365752,0.0
2018-09-27,1.0,-0.23974489490388648,-0.4371219833522966,-0.19004131983951134,-0.5276663273249895,-0.5995868016048865,0.0
2018-09-28,1.0,-0.24456782713085237,-0.4364945978391357,-0.18952581032412966,-0.5296218487394958,-0.6009603841536615,0.0
2018-10-01,1.0,-0.24645603075444497,-0.43551777991350316,-0.1891518500720807,-0.5310547813551177,-0.6012133589620375,0.0
2018-10-02,1.0,-0.24798005586759977,-0.4240230679121737,-0.19325383714294295,-0.533986123209083,-0.6043612771453458,0.0
2018-10-03,1.0,-0.24776316579595264,-0.4192037470725995,-0.19260793850957783,-0.5356091995436257,-0.6072779679337056,0.0
2018-10-04,1.0,-0.24712281018059437,-0.42185762793353165,-0.19264400973586948,-0.5344812043631119,-0.6087923315003456,0.0
2018-10-05,1.0,-0.2321852196630732,-0.41416173688477825,-0.17879342962673797,-0.5499234257229513,-0.6278490135431368,0.0
2018-10-08,1.0,-0.23166741707939367,-0.41356746210415735,-0.17817799789884436,-0.5502926609635299,-0.6279453699534744,0.0
2018-10-09,1.0,-0.22916729272470474,-0.41530186014364273,-0.17065841271749255,-0.5553385221023529,-0.6346124951167473,0.0
2018-10-10,1.0,-0.2283789068375297,-0.4172607767048702,-0.16899798453809825,-0.5558162620702103,-0.6376981620190717,0.0
2018-10-11,1.0,-0.20162625665286812,-0.4104376108811354,-0.14012418687167358,-0.5529568302779421,-0.651685393258427,0.0
2018-10-12,1.0,-0.19580210790314392,-0.4194607828501478,-0.1330427253455946,-0.5685665661481503,-0.6688263219180127,0.0
2018-10-15,1.0,-0.18201610498061438,-0.4417238294065016,-0.11425589024753952,-0.570205785863406,-0.674202206978825,0.0
2018-10-16,1.0,-0.180405143351532,-0.44929741340732127,-0.10874429428085565,-0.570691249738954,-0.674214624541305,0.0
2018-10-17,1.0,-0.1689920651308221,-0.4226718975841421,-0.09633934102238872,-0.5738768767882954,-0.6878853131176071,0.0
2018-10-18,1.0,-0.16726703673083737,-0.4203673083736861,-0.09793905751742057,-0.5780087398133932,-0.6890279910239755,0.0
2018-10-19,1.0,-0.16333333333333333,-0.41908554572271384,-0.09418879056047197,-0.5805604719764011,-0.692654867256637,0.0
2018-10-22,1.0,-0.1694509328523698,-0.4099523964400816,-0.07944768043523255,-0.5940392064102185,-0.7038822033647734,0.0
2018-10-23,1.0,-0.1679513785947228,-0.41331159205455087,-0.07287281351912245,-0.6015713015120071,-0.7090127482952862,0.0
2018-10-24,1.0,-0.1675356994726551,-0.4111808970788647,-0.06959175208864135,-0.6030100136280144,-0.7112934763287314,0.0
2018-10-25,1.0,-0.1681981740862997,-0.4159455199690724,-0.06649418621940703,-0.6057632259791239,-0.7173997085675201,0.0
2018-10-26,1.0,-0.1652300127373441,-0.4123344885808229,-0.06303504250718327,-0.6072750970111673,-0.7142984093130721,0.0
2018-10-29,1.0,-0.16454720616570329,-0.41147176522899065,-0.06115310508374092,-0.6104935526900845,-0.7166147917593004,0.0
2018-10-30,1.0,-0.15223650232999913,-0.41527410881244253,-0.05173488468730522,-0.6154462616128937,-0.7334599744738951,0.0
2018-10-31,1.0,-0.15242076551335645,-0.4127901805567909,-0.05200272762311364,-0.6148714755848084,-0.7327225829404963,0.0
2018-11-01,1.0,-0.14511732638065894,-0.42270087698506753,-0.04376036975586632,-0.6167338231808486,-0.7344749940744253,0.0
2018-11-02,1.0,-0.14726138748485118,-0.4144128166474535,-0.04253495314947829,-0.6188702669149596,-0.7327894534598445,0.0
2018-11-05,1.0,-0.14924710824483034,-0.4102594444280093,-0.04230393752033843,-0.6191462296245895,-0.7373310061237168,0.0
2018-11-06,1.0,-0.15182796971131093,-0.41200307619498344,-0.041380738286796025,-0.6177236157122574,-0.7349443918599148,0.0
2018-11-07,1.0,-0.150928334910123,-0.41166035950804164,-0.04289853358561968,-0.6166331598864712,-0.7343602175969726,0.0
2018-11-08,1.0,-0.13925241890421433,-0.41390465547157607,-0.03137958415433933,-0.6148869217421992,-0.7415228068111637,0.0
2018-11-09,1.0,-0.13825250713172368,-0.41390465547157607,-0.0322324500779343,-0.6155633326471194,-0.7409934417551393,0.0
2018-11-12,1.0,-0.13765075266293025,-0.40679010534346666,-0.03183778866750785,-0.6180052231579565,-0.7400745327034244,0.0
2018-11-13,1.0,-0.12628444652031762,-0.4037248949089211,-0.02142690331620738,-0.6236279775805699,-0.7441324147594583,0.0
2018-11-14,1.0,-0.12889837196387338,-0.4035308216175138,-0.020840031566948237,-0.6253470902873177,-0.7442784906322157,0.0
