Date,ATUS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.47722209054278264,-1.3552500592557477,-0.0,-0.9202180611519317,-0.9877696136525242,0.0
2018-09-25,1.0,-0.4753030663180413,-1.3606370335155693,-0.0,-0.9245543142381744,-0.9934395055859281,0.0
2018-09-26,1.0,-0.4753280091272105,-1.3608100399315461,-0.0,-0.9245103631869176,-0.993154592127781,0.0
2018-09-27,1.0,-0.47646192579924945,-1.3572276851455989,-0.0,-0.9240891169065603,-0.9925894256804902,0.0
2018-09-28,1.0,-0.4732079066444391,-1.3665158371040724,-0.0,-0.9273636580138129,-0.9959514170040487,0.0
2018-10-01,1.0,-0.4732980801295793,-1.3671573531513506,-0.0,-0.9273498165880615,-0.9961888428374064,0.0
2018-10-02,1.0,-0.47456416118891115,-1.3637229684671812,-0.0,-0.928074688006097,-0.9969038772982758,0.0
2018-10-03,1.0,-0.4750035811488325,-1.347180442152509,-0.0,-0.9392159671489281,-1.013465119610371,0.0
2018-10-04,1.0,-0.478623914495658,-1.3402996469128734,-0.0,-0.9431720584025194,-1.0093043229315775,0.0
2018-10-05,1.0,-0.44848109703837724,-1.3291591277021235,-0.0,-0.9559089610513284,-1.0279021045614702,0.0
2018-10-08,1.0,-0.45039843489049003,-1.3335878226845446,-0.0,-0.9572935057498687,-1.0303955718852889,0.0
2018-10-09,1.0,-0.4424770290964778,-1.3368587289433382,-0.0,-0.9648258039816233,-1.0414433384379786,0.0
2018-10-10,1.0,-0.45333910284148277,-1.3407375354584354,-0.0,-0.9755276695994999,-1.0383191499591327,0.0
2018-10-11,1.0,-0.34778169667718584,-1.3181733803601263,-0.0,-0.9325691479487654,-1.0422777055875256,0.0
2018-10-12,1.0,-0.3498536942209218,-1.307653621068032,-0.0,-0.9030724213606438,-1.01143013899049,0.0
2018-10-15,1.0,-0.33582736438706146,-1.3165746612527944,-0.0,-0.8993110999589397,-1.0105844244719193,0.0
