Date,DIOD,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.6564325558923002,-0.0,-0.05279571309351253,-0.0,-0.5030526639434268,-0.41709491808319055,-0.5047656696095225,-0.3550314051038784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7333860411999824,-0.16971933061009356,-0.0
2019-01-03,1.0,-0.0,-0.6521969062623948,-0.0,-0.06495967564232515,-0.0,-0.5171213256357146,-0.3950024238684941,-0.5040765061037416,-0.35022696223172184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7358424044775462,-0.18769556211713898,-0.0
2019-01-04,1.0,-0.0,-0.6492107130188011,-0.0,-0.05068286626463284,-0.0,-0.5363160695282015,-0.39326888967719054,-0.5278467541681447,-0.3435172046825115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7390918765519687,-0.19417346576800285,-0.0
2019-01-07,1.0,-0.0,-0.5872415423634098,-0.0,-0.15148519107595754,-0.0,-0.6477238533293213,-0.36745045780853713,-0.4343377896230065,-0.28014443536947087,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.636203413145338,-0.19408502772643255,-0.0
2019-01-08,1.0,-0.0,-0.5768403852769177,-0.0,-0.15092879256965944,-0.0,-0.6511007911936705,-0.3609821121431029,-0.4408324733402133,-0.28237874097007226,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6391898864809082,-0.19771241830065361,-0.0
2019-01-09,1.0,-0.0,-0.4894914374675662,-0.0,-0.09548521017125064,-0.0,-0.7422158796056045,-0.4558899844317592,-0.4366026638989794,-0.21734993945684136,-0.0,-0.04449922158796056,-0.0,-0.0,-0.0,-0.0,-0.6122210690192008,-0.23075592458052238,-0.0
2019-01-10,1.0,-0.0,-0.46899612723554246,-0.0,-0.10412949828118881,-0.0,-0.7606718593620817,-0.4330969061398547,-0.45093773116922675,-0.23619511770593102,-0.0,-0.04403637787737697,-0.0,-0.0,-0.0,-0.0,-0.6305643792698317,-0.22274922762281887,-0.0
2019-01-11,1.0,-0.0,-0.476740103572369,-0.0,-0.10936539980689898,-0.0,-0.7826735714912665,-0.42969367155270777,-0.4622575265513912,-0.23417888176950757,-0.0,-0.03629421574651101,-0.0,-0.0,-0.0,-0.0,-0.6503554814359693,-0.20705696480294916,-0.0
2019-01-14,1.0,-0.0,-0.4758408441415696,-0.0,-0.10204440536381622,-0.0,-0.7911628929435041,-0.48058914047043305,-0.44453726093646956,-0.20936469553748077,-0.0,-0.03578808529347109,-0.0,-0.0,-0.0,-0.0,-0.644932952297208,-0.21231039788964606,-0.0
2019-01-15,1.0,-0.0,-0.4503429894700048,-0.0,-0.1357102285140036,-0.0,-0.7988814610914493,-0.46882509721676063,-0.42976362126971646,-0.21431380259535984,-0.0,-0.06685017695635077,-0.0,-0.0,-0.0,-0.0,-0.603661467208459,-0.2009000742779744,-0.0
2019-01-16,1.0,-0.0,-0.43017173742481035,-0.0,-0.16711707784848748,-0.0,-0.8112195972452271,-0.551303286548688,-0.5071484613372853,-0.1585302066079679,-0.0,-0.02135820765408421,-0.0,-0.0,-0.0,-0.0,-0.5779356638479645,-0.1340772382529858,-0.0
2019-01-17,1.0,-0.0,-0.4176790768560854,-0.0,-0.17234922708469408,-0.0,-0.8188112344872633,-0.560243849335946,-0.5082516873503158,-0.16551273677335077,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.571696059220553,-0.13990855649902026,-0.0
2019-01-18,1.0,-0.0,-0.40551026635860327,-0.0,-0.18701774270892366,-0.0,-0.8270630803435197,-0.5652382405510266,-0.45529447665547756,-0.19216182048040456,-0.0,-0.01918130694450499,-0.0,-0.0,-0.0,-0.0,-0.579711408518244,-0.12820959937224813,-0.0
2019-01-22,1.0,-0.0,-0.45337817181290124,-0.0,-0.10390007424553434,-0.0,-0.8126828842206402,-0.5274926846311744,-0.4482246582521728,-0.23064156876446695,-0.0,-0.010394374808926934,-0.0,-0.0,-0.0,-0.0,-0.6489933179019086,-0.13172031270472115,-0.0
2019-01-23,1.0,-0.0,-0.4511136443353209,-0.0,-0.1150035075412136,-0.0,-0.8175201683619782,-0.5380129779024904,-0.4480007015082427,-0.23842511399508942,-0.0,-0.006445106980007015,-0.0,-0.0,-0.0,-0.0,-0.6507804279200281,-0.11912486846720449,-0.0
2019-01-24,1.0,-0.0,-0.45093140477755866,-0.0,-0.11575717729563884,-0.0,-0.8147271531886916,-0.5374534297611221,-0.4487398641244795,-0.2389217619986851,-0.0,-0.006399298706991015,-0.0,-0.0,-0.0,-0.0,-0.6502301117685734,-0.11996493534955073,-0.0
2019-01-25,1.0,-0.0,-0.5099785215679256,-0.0,-0.05982638267406479,-0.0,-0.8049042419903347,-0.6459190979058529,-0.4094773581528548,-0.251968856273492,-0.0,-0.014542688383747985,-0.0,-0.0,-0.0,-0.0,-0.7488365849293002,-0.02917487023447288,-0.0
2019-01-28,1.0,-0.0,-0.5236896520722827,-0.0,-0.04000719230423447,-0.0,-0.843297671491504,-0.6488806976535108,-0.45172165782612606,-0.2471455542569451,-0.0,-0.007102400431538255,-0.0,-0.0,-0.0,-0.0,-0.7333453205070575,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.5230478078673456,-0.0,-0.03658811336908035,-0.0,-0.831703690352814,-0.647366286666967,-0.44901545532375076,-0.2534132384085072,-0.0,-0.008155724778083179,-0.0,-0.0,-0.0,-0.0,-0.743297436128509,-0.013292479610688055,-0.0
2019-01-30,1.0,-0.0,-0.5263181633665599,-0.0,-0.03085111181272834,-0.0,-0.8327996030851113,-0.6396193225384511,-0.4257363222227234,-0.2785169816426864,-0.0,-0.0245365567633395,-0.0,-0.0,-0.0,-0.0,-0.7516575707004646,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.5108695652173912,-0.0,-0.08408192597915919,-0.0,-0.8029105282069708,-0.6560366510959396,-0.40989938914840096,-0.2662594322673374,-0.0,-0.027443406395975565,-0.0,-0.0,-0.0,-0.0,-0.7341448077614086,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.5146940238329899,-0.0,-0.07315652719290386,-0.0,-0.8144879491085029,-0.65943911835857,-0.42496192097482305,-0.24236179553803425,-0.0,-0.02961204193172655,-0.0,-0.0,-0.0,-0.0,-0.7212167368515365,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.5134238716328269,-0.0,-0.07346152122271525,-0.0,-0.8208955223880597,-0.6636188427233203,-0.4247232306933799,-0.23723723723723722,-0.0,-0.031060911657926585,-0.0,-0.0,-0.0,-0.0,-0.717628075837031,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.5334713906271102,-0.0,-0.08513032908657092,-0.0,-0.8411740872462071,-0.6440822941520732,-0.41093053617251163,-0.23693332733084232,-0.0,-0.032863638409940124,-0.0,-0.0,-0.0,-0.0,-0.7173276909917616,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.52569597978613,-0.0,-0.09218066146279837,-0.0,-0.8430266660650635,-0.6358344989396743,-0.42092676984162797,-0.2476650272977485,-0.0,-0.02594414113612778,-0.0,-0.0,-0.0,-0.0,-0.7207056806389027,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.5615727678165104,-0.0,-0.07472467461545464,-0.0,-0.8783562391917721,-0.7377355055975244,-0.3951943205606626,-0.15859652316373896,-0.0,-0.014881223263857286,-0.0,-0.0,-0.0,-0.0,-0.7297260398652954,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.5462870159453304,-0.0,-0.04851936218678815,-0.0,-0.8888838268792711,-0.7794533029612756,-0.4083371298405467,-0.15275626423690203,-0.0,-0.013530751708428245,-0.0,-0.0,-0.0,-0.0,-0.7180410022779043,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.5397693604995669,-0.0,-0.05902730297643466,-0.0,-0.8718720087515384,-0.8014494735402706,-0.4053512010574775,-0.1423948220064725,-0.0,-0.020739322667395962,-0.0,-0.0,-0.0,-0.0,-0.717534983362961,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.5348922011030585,-0.0,-0.05811568439764802,-0.0,-0.8726013036145677,-0.8011304070376954,-0.4060804959205069,-0.14626920096631568,-0.0,-0.021058389169971284,-0.0,-0.0,-0.0,-0.0,-0.717945211723415,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.5379018689463873,-0.0,-0.05038424810149607,-0.0,-0.8828156973307263,-0.8047383020326497,-0.394161247783184,-0.1453776544950207,-0.0,-0.016779591651130008,-0.0,-0.0,-0.0,-0.0,-0.7151107271156383,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.5272577470590928,-0.0,-0.08252849361468394,-0.0,-0.8982468988877191,-0.8378724767702659,-0.38197464182725316,-0.13274133748340733,-0.0,-0.008742619123907173,-0.0,-0.0,-0.0,-0.0,-0.7078775117865154,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.6304229801095701,-0.0,-0.014461280292186959,-0.0,-1.0061201322738265,-0.8189131829623415,-0.39766053008242436,-0.15779082967277033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9029169340111544,-0.007354029909678692,-0.0
2019-02-19,1.0,-0.0,-0.6259237363287024,-0.0,-0.006650901566656814,-0.0,-1.0060597103162874,-0.8211646467632279,-0.39693565868558484,-0.16351364666469603,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9040299536900187,-0.002266233126416396,-0.0
2019-02-20,1.0,-0.0,-0.6134167709637046,-0.0,-0.0341927409261577,-0.0,-1.0673842302878598,-0.793191489361702,-0.37747183979974963,-0.16695869837296617,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9081852315394242,-0.045406758448060074,-0.0
2019-02-21,1.0,-0.0,-0.6385728542914172,-0.0,-0.04575848303393213,-0.0,-1.0715069860279443,-0.7715069860279441,-0.3465069860279441,-0.16087824351297406,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9035429141716568,-0.051696606786427145,-0.0
2019-02-22,1.0,-0.0,-0.6407122905027933,-0.0,-0.0441440542697526,-0.0,-1.0727753391859538,-0.7756883479648844,-0.34352553870710295,-0.15777134876296886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9020849960095771,-0.05122705506783719,-0.0
2019-02-25,1.0,-0.0,-0.6310747083643584,-0.0,-0.012807148175725987,-0.0,-1.0533631173988582,-0.7600893521965749,-0.3705137751303053,-0.1653512037726483,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9065276743608837,-0.06428394142467114,-0.0
2019-02-26,1.0,-0.0,-0.610313315926893,-0.0,-0.004117292629041976,-0.0,-1.0384113275758184,-0.789465756175939,-0.41177947378991764,-0.1649929704759992,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9271942157059649,-0.07486443060855594,-0.0
2019-02-27,1.0,-0.0,-0.6125704508856683,-0.0,-0.00785024154589372,-0.0,-1.0233997584541061,-0.78125,-0.4208937198067633,-0.16923309178743962,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9381541867954911,-0.07880434782608696,-0.0
2019-02-28,1.0,-0.0,-0.5542625724099042,-0.0,-0.0,-0.0,-1.0429589378171937,-0.8251396934433793,-0.43635617983288055,-0.18952171015532887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9761111395909161,-0.10201466140359872,-0.0
2019-03-01,1.0,-0.0,-0.5480321408465121,-0.0,-0.034290393571830696,-0.0,-0.9642253953631199,-0.8287015712165413,-0.4678335636419469,-0.1440708326935872,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9987716873944418,-0.1320436050974973,-0.0
2019-03-04,1.0,-0.0,-0.5057840289456251,-0.0,-0.03745604647607399,-0.0,-1.0537124802527646,-0.7651735208683689,-0.516179992865515,-0.1374917189012893,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9740100902002752,-0.1062528665341691,-0.0
2019-03-05,1.0,-0.0,-0.49780047529959043,-0.0,-0.04646811953279062,-0.0,-1.0310967285230317,-0.7437932952419477,-0.5212620721039591,-0.15654548212570157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9535318804672094,-0.10588056833695707,-0.0
2019-03-06,1.0,-0.0,-0.5015426634970411,-0.0,-0.05912700419806788,-0.0,-1.0320671690860352,-0.738657629861919,-0.5209144706893936,-0.1592736836781144,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9555915229376358,-0.09073896110464823,-0.0
2019-03-07,1.0,-0.0,-0.521168543845535,-0.0,-0.05380128720836685,-0.0,-1.0105591311343523,-0.7448209975864843,-0.5010559131134352,-0.16426991150442477,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9391592920353983,-0.09332260659694289,-0.0
2019-03-08,1.0,-0.0,-0.5028916268544129,-0.0,-0.08363087754588885,-0.0,-1.0149358813175762,-0.7469449333668594,-0.4965551923560472,-0.15790797083228564,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.91737490570782,-0.10867488056323862,-0.0
2019-03-11,1.0,-0.0,-0.4749167255475926,-0.0,-0.09548803876047239,-0.0,-1.0166548904814778,-0.7582517411930958,-0.49116786110830724,-0.16180478449581104,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9169274250529929,-0.13167457353386494,-0.0
2019-03-12,1.0,-0.0,-0.44963107965667826,-0.0,-0.07870300657531497,-0.0,-1.0126486974853186,-0.7564623801636301,-0.49430306680720776,-0.15861065100637456,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9162776690257491,-0.15268784821563017,-0.0
2019-03-13,1.0,-0.0,-0.4407281115234179,-0.0,-0.08890783271487314,-0.0,-1.0265770735131883,-0.7597031391033999,-0.500451308795507,-0.15108815565138903,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9077324240296861,-0.1394042723899308,-0.0
2019-03-14,1.0,-0.0,-0.44776494224008034,-0.0,-0.09000502260170767,-0.0,-1.0322953289804118,-0.7646911099949774,-0.49402310396785537,-0.16438975389251634,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9172275238573582,-0.11220492214967352,-0.0
2019-03-15,1.0,-0.0,-0.5276458101688062,-0.0,-0.05033862326897806,-0.0,-1.0496310522591732,-0.7356716870514505,-0.4484989386434853,-0.1550085919336905,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9911048215910239,-0.09617911654705345,-0.0
2019-03-18,1.0,-0.0,-0.5260147788237676,-0.0,-0.052636906569490834,-0.0,-1.0439821844316226,-0.7371697540236866,-0.45267739649762123,-0.15583561089179068,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9912946654519689,-0.10168033201741067,-0.0
2019-03-19,1.0,-0.0,-0.5250619594355369,-0.0,-0.0387941935157554,-0.0,-1.0375802943705428,-0.7276313792929037,-0.457892873400435,-0.16746750290830004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9970664103990694,-0.1064690708613626,-0.0
2019-03-20,1.0,-0.0,-0.4916692065427207,-0.0,-0.06451285177283347,-0.0,-1.0660367774052626,-0.729553997764909,-0.4816112973686884,-0.16224728233262217,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9888753428832673,-0.09519455450574012,-0.0
