Date,IWF,IWM,MTUM,RBC,SPY,VLUE,VXX
2018-09-24,-0.2559579713547781,-0.6138764968302418,-0.10630429678328246,1.0,-0.46254989434139465,-0.4962725992016905,0.0
2018-09-25,-0.25551281674839244,-0.6147341222068885,-0.10535279090935785,1.0,-0.46331150717914094,-0.49734269019584815,0.0
2018-09-26,-0.2551691729323308,-0.6145441729323309,-0.10423519736842106,1.0,-0.463874530075188,-0.4992363721804511,0.0
2018-09-27,-0.25393828544456903,-0.6257596318366865,-0.10192341731075578,1.0,-0.4665171986547879,-0.5018880169921529,0.0
2018-09-28,-0.25463236161926117,-0.6253098076242182,-0.10208898855187064,1.0,-0.4666292930485071,-0.5018883512333294,0.0
2018-10-01,-0.25591074116709467,-0.6243395613802061,-0.10189202750966676,1.0,-0.4675167507895747,-0.5020219014728888,0.0
2018-10-02,-0.25831610044313147,-0.6082127031019202,-0.10779911373707533,1.0,-0.4725258493353028,-0.5073264401772525,0.0
2018-10-03,-0.2581283406668045,-0.6045536426187875,-0.10740336060006497,1.0,-0.4736142692614358,-0.5093760151197473,0.0
2018-10-04,-0.2564581665035442,-0.6145564552006406,-0.10712696859151169,1.0,-0.4716908384494468,-0.5160304890707951,0.0
2018-10-05,-0.2501700730574699,-0.612263006891656,-0.10089029548345116,1.0,-0.4744003076103996,-0.5200686207814487,0.0
2018-10-08,-0.24884071240806926,-0.6102135452048322,-0.09856159730631775,1.0,-0.4762382963641197,-0.5197152730602239,0.0
2018-10-09,-0.2478660247511593,-0.6105384410904687,-0.09619871813805123,1.0,-0.4774788079274596,-0.5215169684260271,0.0
2018-10-10,-0.24713884370841344,-0.6129528315836168,-0.09436640544137218,1.0,-0.4780422889250332,-0.5247671151855685,0.0
2018-10-11,-0.22238688867579112,-0.6120942667015372,-0.06419085810594834,1.0,-0.47284456455409296,-0.5343620143550403,0.0
2018-10-12,-0.22034339983206416,-0.6125025335147812,-0.05964617656426441,1.0,-0.47050988794626053,-0.5324434664273098,0.0
2018-10-15,-0.2030127462340672,-0.6462050984936268,-0.033516801853997684,1.0,-0.4737253765932793,-0.5404113557358053,0.0
2018-10-16,-0.20063250739859573,-0.6599837521035223,-0.023994661405443044,1.0,-0.47548308477920265,-0.5413160796146927,0.0
2018-10-17,-0.19320435794980884,-0.6435737488142121,-0.01770776439474516,1.0,-0.47434386408715895,-0.5457785954523241,0.0
2018-10-18,-0.19269351269006352,-0.6428386651720273,-0.01802190221609037,1.0,-0.47495041821160644,-0.5458020752493461,0.0
2018-10-19,-0.18947549737318062,-0.6444463583383574,-0.013291993224815548,1.0,-0.47618637498923433,-0.5474119369563345,0.0
2018-10-22,-0.18782372175120807,-0.6647761798663155,-0.027315605196909634,1.0,-0.47052866113024105,-0.5431291414682138,0.0
2018-10-23,-0.19041417035686378,-0.6645249052125843,-0.032647390813579924,1.0,-0.4660357153193829,-0.5406500535440364,0.0
2018-10-24,-0.189347218989993,-0.6743949266930417,-0.035809867349313476,1.0,-0.46817547125901793,-0.5412497090993716,0.0
2018-10-25,-0.17468586312505366,-0.6563528637261357,-0.03314537596244669,1.0,-0.46927326330251595,-0.5288662449552051,0.0
2018-10-26,-0.1661265563704588,-0.6505202114958213,-0.018534311217238048,1.0,-0.4811529933481153,-0.5263516970834045,0.0
2018-10-29,-0.1481902703932217,-0.6725711523698501,-0.0,1.0,-0.4786329646583833,-0.543743424980808,0.0
2018-10-30,-0.15829532497149373,-0.6735176738882555,-0.005587229190421893,1.0,-0.4786202964652223,-0.5346351197263398,0.0
2018-10-31,-0.16096191475484217,-0.6596999688058305,-0.0069477923035476275,1.0,-0.47701556872642714,-0.5311799903581658,0.0
2018-11-01,-0.16522307102490558,-0.6554681509669724,-0.010990259279243462,1.0,-0.4770681282480902,-0.5311106693550677,0.0
