Date,BCSF,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-15,1.0,-0.0,-0.11170760635475514,-0.3997315771403601,-0.9188176909391678,-0.6909079559287119,0.0
2019-07-16,1.0,-0.0,-0.11377114676321869,-0.39915100817778887,-0.9182845371121794,-0.6901179848929396,0.0
2019-07-17,1.0,-0.0,-0.11882764217491729,-0.39565515949809604,-0.9166302515762531,-0.69021162369686,0.0
2019-07-18,1.0,-0.0,-0.1187159108617734,-0.39971949509116406,-0.9146641732896992,-0.6836216300451924,0.0
2019-07-19,1.0,-0.0,-0.12155040693504632,-0.39598989678505725,-0.9227914808693756,-0.6779444323178148,0.0
2019-07-22,1.0,-0.0,-0.11771489122981986,-0.38898585052670953,-0.9207442498285858,-0.6891790812192233,0.0
2019-07-23,1.0,-0.0,-0.12110629540706558,-0.38586261731782606,-0.9202706494964299,-0.6908733746998846,0.0
2019-07-24,1.0,-0.0,-0.1221813878161206,-0.3934844898467672,-0.9155973589136664,-0.6832253643951663,0.0
2019-07-25,1.0,-0.0,-0.10820651666511064,-0.4004605856907229,-0.9271154265085737,-0.6762829489932468,0.0
2019-07-26,1.0,-0.0,-0.0998694111062745,-0.4005658852061439,-0.931471923387849,-0.6773521547167464,0.0
2019-07-29,1.0,-0.0,-0.0921351107796526,-0.4006401292688232,-0.9303004878655107,-0.6843479071501819,0.0
2019-07-30,1.0,-0.0,-0.0900136713895103,-0.4006027839920457,-0.9308351976137211,-0.68571339796172,0.0
2019-07-31,1.0,-0.0,-0.10024222098006337,-0.39839140426060493,-0.9271163281783741,-0.6796472268803181,0.0
2019-08-01,1.0,-0.0,-0.11469478631950027,-0.3707093821510298,-0.9409982064444308,-0.665903890160183,0.0
2019-08-02,1.0,-0.0,-0.09608727902089256,-0.3961861787612807,-0.9449870194090739,-0.6533564099394239,0.0
2019-08-05,1.0,-0.0,-0.09346773944942816,-0.3899626992200746,-0.9489811646474922,-0.6503283085175252,0.0
2019-08-06,1.0,-0.0,-0.10184071222329164,-0.3666385948026949,-0.8939485081809432,-0.645271896053898,0.0
2019-08-07,1.0,-0.0,-0.11133391195043844,-0.3439679166791369,-0.8858528117798461,-0.6516924550324724,0.0
2019-08-08,1.0,-0.0,-0.11142703220399856,-0.3444271519214654,-0.8856398898599307,-0.6514425954746798,0.0
2019-08-09,1.0,-0.0,-0.0945148180011273,-0.3316621673736984,-0.8721113055860453,-0.6682785012904565,0.0
2019-08-12,1.0,-0.0,-0.08805068687825675,-0.33799147323543344,-0.8786416390336332,-0.6559687351965893,0.0
2019-08-13,1.0,-0.0,-0.08377781052011199,-0.3298953882422278,-0.881331958155297,-0.6518343892736114,0.0
2019-08-14,1.0,-0.0,-0.09587275549957526,-0.3251706259702979,-0.8655496646064617,-0.6426081607545622,0.0
2019-08-15,1.0,-0.0,-0.13559806696977494,-0.32689943095707874,-0.8315461382288182,-0.5654399359469274,0.0
2019-08-16,1.0,-0.0,-0.14087449207348482,-0.32410004006180965,-0.8263892863274767,-0.5701940136210153,0.0
2019-08-19,1.0,-0.0,-0.12303270057204654,-0.327347240800296,-0.8338788172012408,-0.5617440305091499,0.0
2019-08-20,1.0,-0.0,-0.12717681093652503,-0.32959895626524477,-0.8282375631062454,-0.5512224176073515,0.0
2019-08-21,1.0,-0.0,-0.13122505025339032,-0.33172899974519404,-0.8258826194048866,-0.5423402508422751,0.0
2019-08-22,1.0,-0.0,-0.13296594602232584,-0.3287551222269323,-0.8295888088172954,-0.5347746220149782,0.0
2019-08-23,1.0,-0.0,-0.13316753334840606,-0.32870789057200994,-0.8302622654307031,-0.5339984173637803,0.0
2019-08-26,1.0,-0.0,-0.11138048263946942,-0.32254918352560885,-0.8338906537368334,-0.518753831577774,0.0
2019-08-27,1.0,-0.0,-0.11009174311926606,-0.3181818181818182,-0.8307478454267444,-0.5211009174311926,0.0
2019-08-28,1.0,-0.0,-0.09290484140233723,-0.33252643294379525,-0.840845854201447,-0.5161380077907624,0.0
2019-08-29,1.0,-0.0,-0.08706654431189344,-0.34086927504796866,-0.8458886015405579,-0.5069658797030117,0.0
2019-08-30,1.0,-0.0,-0.07764138657208568,-0.34395522181274074,-0.8506470115547674,-0.4986561001967359,0.0
2019-09-03,1.0,-0.0,-0.0727661109107554,-0.3429411601520237,-0.8487530168946098,-0.5096956750908536,0.0
