Date,IWF,IWM,MTUM,SHOP,SPY,VLUE,VXX
2018-09-24,-0.9380396415965245,-1.29872386641325,-0.6193863698072223,1.0,-0.9273961444474612,-0.6468096660331251,0.0
2018-09-25,-0.9402952670429875,-1.2959183673469388,-0.6233716891011724,1.0,-0.9249891445940078,-0.6431285280069475,0.0
2018-09-26,-0.9399304801216597,-1.2961655442102975,-0.6210623506408863,1.0,-0.9266239409081034,-0.6474038670432326,0.0
2018-09-27,-0.9446344243608532,-1.2842642349237365,-0.6244911252239049,1.0,-0.9271562720512402,-0.6474515551213157,0.0
2018-09-28,-0.9456509935932239,-1.2835812791834076,-0.6246606580519057,1.0,-0.927516559887067,-0.6480616787924856,0.0
2018-10-01,-0.9463539121463865,-1.2825650214475757,-0.624640278004018,1.0,-0.9280013031438346,-0.648205462344573,0.0
2018-10-02,-0.946136721507303,-1.282782212086659,-0.6247488733235598,1.0,-0.9277298148449803,-0.6484226529836564,0.0
2018-10-03,-0.9508787250300187,-1.3042790088418295,-0.6272241021722519,1.0,-0.9293745224320489,-0.6462176618273114,0.0
2018-10-04,-0.9504150283966798,-1.3060834425513324,-0.6274574049803407,1.0,-0.9288990825688073,-0.6479903888160768,0.0
2018-10-05,-0.9624725274725274,-1.3252197802197803,-0.6287362637362638,1.0,-0.9329120879120879,-0.6451098901098902,0.0
2018-10-08,-0.9603553215989471,-1.3212151121346711,-0.625815649503756,1.0,-0.9334868673575698,-0.6425398914295114,0.0
2018-10-09,-0.9679832764880625,-1.326383540543514,-0.6370337770931895,1.0,-0.9322257674111564,-0.6374738695125977,0.0
2018-10-10,-0.9689304371734946,-1.3251031069562824,-0.6381633214187517,1.0,-0.9323068463018971,-0.6345339565576024,0.0
2018-10-11,-0.9122237017310253,-1.3104127829560586,-0.5699600532623169,1.0,-0.9029560585885485,-0.6307323568575233,0.0
2018-10-12,-0.9304270088346656,-1.3009570887673538,-0.57009886411443,1.0,-0.8699516196886832,-0.5873474968447623,0.0
2018-10-15,-0.9305957200694044,-1.3049581996950417,-0.5670645144329355,1.0,-0.8701298701298701,-0.5850991114149009,0.0
2018-10-16,-0.9272708135985686,-1.3215977265550996,-0.5554152194505841,1.0,-0.871960846226713,-0.586306704557415,0.0
2018-10-17,-0.9116274245410227,-1.2837879887978427,-0.5463644850119282,1.0,-0.8609065449642154,-0.5834975624935173,0.0
2018-10-18,-0.9277412569024455,-1.31948461740731,-0.5354719957927951,1.0,-0.8728898238232973,-0.603418353931107,0.0
2018-10-19,-0.9141738449490994,-1.3054032889584966,-0.5212738188462542,1.0,-0.8790394152962673,-0.6006786739754633,0.0
2018-10-22,-0.9130709324352769,-1.333771837507893,-0.538570827194275,1.0,-0.8759208587665755,-0.6007156388128815,0.0
2018-10-23,-0.932807587787073,-1.353173123035115,-0.558480311184526,1.0,-0.8753663345233655,-0.6086748015132946,0.0
2018-10-24,-0.9342028214000533,-1.3511844556827255,-0.5532073462869311,1.0,-0.8760713335107799,-0.6087303699760447,0.0
2018-10-25,-0.8939729270677854,-1.2840084409902723,-0.5508260847187195,1.0,-0.865047094549385,-0.553090740645427,0.0
2018-10-26,-0.9057154776804338,-1.300531914893617,-0.5603358364622445,1.0,-0.8739048811013767,-0.5743116395494368,0.0
