Date,ADI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3449380917698471,-0.4875455207574654,-0.1685943190094683,-0.42461762563729055,-0.48763292061179897,0.0
2018-09-25,1.0,-0.34728655072970377,-0.48585743831745754,-0.17212852107547555,-0.42299513530833993,-0.48475050249060564,0.0
2018-09-26,1.0,-0.3475135690186299,-0.4897755610972569,-0.16400176030511956,-0.43109872377878833,-0.5014522517236321,0.0
2018-09-27,1.0,-0.34876561308860615,-0.4860435114056178,-0.16504427373482672,-0.4309798862370258,-0.5012021345217851,0.0
2018-09-28,1.0,-0.3472128551740316,-0.4874937688766384,-0.16546931355012756,-0.43092983022021525,-0.5012169017388499,0.0
2018-10-01,1.0,-0.3470674486803519,-0.4877712609970674,-0.16563049853372433,-0.4308504398826979,-0.5012316715542521,0.0
2018-10-02,1.0,-0.34723321896718573,-0.48614410134600167,-0.16644673176739685,-0.43116037652854755,-0.5014808949884167,0.0
2018-10-03,1.0,-0.34695432960075046,-0.4815911356041508,-0.16585566043266695,-0.43272556721580585,-0.5042504543589142,0.0
2018-10-04,1.0,-0.3506287925424325,-0.4760062146395802,-0.16635886612142,-0.43775100401606426,-0.5006888869345998,0.0
2018-10-05,1.0,-0.34914499882876554,-0.4753162333099087,-0.16309440149918014,-0.4383052237057859,-0.502225345514172,0.0
2018-10-08,1.0,-0.3526708111134027,-0.4831030317315342,-0.1654341357060782,-0.43899708317374264,-0.5060840870923072,0.0
2018-10-09,1.0,-0.35361720937085606,-0.48315898040371297,-0.16737881243553854,-0.43801385000736703,-0.5046412258729925,0.0
2018-10-10,1.0,-0.35501929933115295,-0.4818350570140546,-0.16897963994224932,-0.43878723592327407,-0.5018120746044373,0.0
2018-10-11,1.0,-0.33187659180365825,-0.4784382959018292,-0.13721347534151423,-0.43265223431349853,-0.5140078721926372,0.0
2018-10-12,1.0,-0.34350532021682395,-0.4737144004359424,-0.13651877133105803,-0.4168698196001951,-0.49746178334815155,0.0
2018-10-15,1.0,-0.33251224472259616,-0.49256723856443163,-0.12049952739667173,-0.417380345430069,-0.5012745968550397,0.0
2018-10-16,1.0,-0.33159568069200585,-0.496204852060837,-0.11777847793085669,-0.4174949159338928,-0.5011886689771718,0.0
2018-10-17,1.0,-0.32369204593789874,-0.47681837515950654,-0.11025095703955762,-0.41709910676307954,-0.5078122784630653,0.0
