Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WKHS
2018-09-24,-2.7424647761726413,-5.335651863741751,-0.31371499910825756,-4.282860709827002,-4.1601569466738,0.0,1.0
2018-09-25,-2.8123411978221413,-5.422141560798548,-0.34918330308529943,-4.3517241379310345,-4.213430127041742,0.0,1.0
2018-09-26,-2.818644375795021,-5.432309649282209,-0.3558059240414319,-4.355805924041432,-4.209340359803743,0.0,1.0
2018-09-27,-2.820419985517741,-5.383236784938451,-0.36314265025343956,-4.34141926140478,-4.194424330195511,0.0,1.0
2018-09-28,-2.8252639242810336,-5.423734983618493,-0.36949399344739714,-4.365125591554423,-4.217874044412086,0.0,1.0
2018-10-01,-2.825509461426492,-5.419395924308588,-0.37099708879184856,-4.36353711790393,-4.215793304221251,0.0,1.0
2018-10-02,-2.8459429824561404,-5.38797514619883,-0.39528508771929827,-4.396929824561404,-4.2490862573099415,0.0,1.0
2018-10-03,-2.914189568143578,-5.45559917741634,-0.3976444195176668,-4.532809871003926,-4.39502710787063,0.0,1.0
2018-10-04,-2.960980207351555,-5.469745523091423,-0.4079170593779453,-4.598680490103676,-4.412818096135721,0.0,1.0
2018-10-05,-2.8755372827508876,-5.410203700242945,-0.31601569800037377,-4.62941506260512,-4.4571108204074,0.0,1.0
2018-10-08,-2.855681606843965,-5.3760461223730704,-0.2901246047982146,-4.63362469778687,-4.442068067695741,0.0,1.0
2018-10-09,-2.8755171116961264,-5.444151936818353,-0.25968409176382096,-4.706092515983452,-4.518427980443776,0.0,1.0
2018-10-10,-2.872816081157242,-5.4405410482810455,-0.25530715761788464,-4.703926357317302,-4.513808003005824,0.0,1.0
2018-10-11,-2.324792126251485,-5.043271678262345,-0.0,-4.296962497878839,-4.3040895978279305,0.0,1.0
2018-10-12,-2.3134279115803364,-4.932695480039591,-0.0,-4.129660178159024,-4.12042230287034,0.0,1.0
2018-10-15,-2.184842583576761,-4.936871145731905,-0.0,-4.047062641999351,-4.059720869847452,0.0,1.0
2018-10-16,-2.184163556709395,-4.936556871653416,-0.0,-4.04624371247769,-4.058899886418952,0.0,1.0
2018-10-17,-1.9766763848396498,-4.547491176921897,-0.0,-3.8674236611938,-3.952738990332975,0.0,1.0
2018-10-18,-1.9737730061349694,-4.541411042944786,-0.0,-3.8702453987730068,-3.9519938650306754,0.0,1.0
2018-10-19,-1.864457831325301,-4.4352409638554215,-0.0,-3.8433734939759034,-3.9171686746987953,0.0,1.0
2018-10-22,-1.8607689996996095,-4.4007209372183835,-0.0,-3.842445178732352,-3.9155902673475516,0.0,1.0
2018-10-23,-1.8621155288822204,-4.396099024756189,-0.0,-3.83555888972243,-3.909977494373593,0.0,1.0
