Date,ELP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.67091926781302,-1.0881952498613283,-0.09797791336795926,-1.1525389541626747,-1.0329786697594676,0.0
2018-09-25,1.0,-0.6713024058471221,-1.1025276621662776,-0.09105674550807025,-1.1641965282712414,-1.046543498122018,0.0
2018-09-26,1.0,-0.6726238830219333,-1.1043359057676687,-0.09367384240454915,-1.1637896019496345,-1.0427497969130788,0.0
2018-09-27,1.0,-0.673144248820336,-1.1011213151352175,-0.09462682023441069,-1.1629712314171192,-1.0420112638895935,0.0
2018-09-28,1.0,-0.6808044806517312,-1.1026476578411406,-0.09485743380855398,-1.1674643584521385,-1.0458757637474543,0.0
2018-10-01,1.0,-0.6822001527883882,-1.101502419149478,-0.09493251846193022,-1.1682709447415331,-1.0459893048128344,0.0
2018-10-02,1.0,-0.6826536327070923,-1.096074537956316,-0.0975510411893488,-1.1685250241841045,-1.046637136602006,0.0
2018-10-03,1.0,-0.7446411929170551,-1.1527876761142481,-0.091826106024889,-1.3008058768707855,-1.1920399100926484,0.0
2018-10-04,1.0,-0.7444958168207837,-1.1657309555261999,-0.09274548656979303,-1.3006384852487891,-1.2005724350506384,0.0
2018-10-05,1.0,-0.7218846663720725,-1.1611246133451172,-0.06114670790985417,-1.3379916040653999,-1.241548828988069,0.0
2018-10-08,1.0,-0.7222406914893617,-1.1627327127659575,-0.05047650709219858,-1.356604609929078,-1.2487256205673758,0.0
2018-10-09,1.0,-0.7610588026292414,-1.2897495114585185,-0.0,-1.486054361343045,-1.384378516018239,0.0
2018-10-10,1.0,-0.7684085510688836,-1.2910926365795725,-0.005760095011876485,-1.4934085510688837,-1.3795724465558195,0.0
2018-10-11,1.0,-0.6332821475288631,-1.2369902746971508,-0.0,-1.4392310754706252,-1.377864983222431,0.0
2018-10-12,1.0,-0.6510123734533183,-1.2254780652418447,-0.0,-1.4089426321709786,-1.338920134983127,0.0
2018-10-15,1.0,-0.6196638655462186,-1.244873949579832,-0.0,-1.4011204481792716,-1.3365826330532213,0.0
2018-10-16,1.0,-0.6102722424922817,-1.266348582655066,-0.0,-1.4006174571989896,-1.336065113668257,0.0
2018-10-17,1.0,-0.5661047027506655,-1.1953748890860691,-0.0,-1.4089951197870454,-1.375277284826974,0.0
2018-10-18,1.0,-0.5651233712226226,-1.1936235098419739,-0.0,-1.410535070695869,-1.3754366509564735,0.0
2018-10-19,1.0,-0.5355146333442946,-1.1649676641455662,-0.0,-1.4096240271840401,-1.3705469691987284,0.0
2018-10-22,1.0,-0.5361571381542851,-1.1498957533194336,-0.0,-1.4202238560298475,-1.3803906507187533,0.0
2018-10-23,1.0,-0.5507933010136624,-1.1584949316879685,-0.0,-1.4178602908770384,-1.3818862935213752,0.0
2018-10-24,1.0,-0.5466996699669968,-1.1517601760176017,-0.0,-1.4184818481848185,-1.3836083608360836,0.0
2018-10-25,1.0,-0.4766586058248344,-1.0479970560403744,-0.0,-1.4156240142992325,-1.3167910840079906,0.0
2018-10-26,1.0,-0.44942832014072126,-1.01867659992757,-0.0,-1.4111438770758964,-1.2943245899943092,0.0
2018-10-29,1.0,-0.39857651245551606,-1.0780824785430185,-0.0,-1.4152710906426629,-1.3414800083734562,0.0
2018-10-30,1.0,-0.4008690644468876,-1.0785822731794146,-0.0,-1.41563268938799,-1.3401916130045546,0.0
2018-10-31,1.0,-0.40278785366359204,-1.0477769717069125,-0.0,-1.4044460565861745,-1.3268214322727743,0.0
2018-11-01,1.0,-0.36694154867486123,-1.0812717182718738,-0.0,-1.4068772366578497,-1.3313624811991078,0.0
2018-11-02,1.0,-0.36903412019379445,-1.0581898773322338,-0.0,-1.404494382022472,-1.3223894443871766,0.0
2018-11-05,1.0,-0.3643434811724103,-1.0703137073095348,-0.0,-1.4047803018595788,-1.311749858342348,0.0
2018-11-06,1.0,-0.36520037086638507,-1.070361594725456,-0.0,-1.4041413413000927,-1.311270217368909,0.0
2018-11-07,1.0,-0.3640298892038134,-1.0735892811131151,-0.0,-1.403246585931461,-1.3124452460706004,0.0
2018-11-08,1.0,-0.3032018943683723,-1.0970349016781633,-0.0,-1.4020385050962627,-1.3454648409348295,0.0
