Date,EA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.599850331409023,-0.6467464899151879,-0.3547145606157794,-0.5988525408025088,-0.36337395766517,0.0
2018-09-25,1.0,-0.6013607380757312,-0.6450682150108645,-0.35738966266519434,-0.5972998966978948,-0.36102304705589,0.0
2018-09-26,1.0,-0.6025727826675694,-0.6466521754623525,-0.3597975982610555,-0.5969069593414816,-0.35748138117806366,0.0
2018-09-27,1.0,-0.6099311034162711,-0.6357048513190304,-0.3636882875807661,-0.6003284189483454,-0.36011851640309855,0.0
2018-09-28,1.0,-0.6113432622593663,-0.6351298260652165,-0.3636201292903318,-0.600771456123433,-0.36069145326618807,0.0
2018-10-01,1.0,-0.6106504646175841,-0.6371336669049321,-0.3639742673338099,-0.6007505360972123,-0.36154395997140815,0.0
2018-10-02,1.0,-0.6110271903323263,-0.6704431017119838,-0.35505682635592,-0.5999496475327292,-0.36012803913106023,0.0
2018-10-03,1.0,-0.6105399381695306,-0.6651089222805378,-0.3543748651951974,-0.6015170033791071,-0.363254008196132,0.0
2018-10-04,1.0,-0.6144859813084111,-0.6586628324946081,-0.35488856937455066,-0.6069734004313444,-0.3595255212077642,0.0
2018-10-05,1.0,-0.6096957970547136,-0.653910924791286,-0.34877638037908915,-0.6102690888243936,-0.3604213694507148,0.0
2018-10-08,1.0,-0.6081139095592444,-0.6506153405838581,-0.3448769318832284,-0.6141957641671437,-0.3597953634802519,0.0
2018-10-09,1.0,-0.6148680193930688,-0.654444244927276,-0.3555395941820794,-0.6121386245286408,-0.354318549111151,0.0
2018-10-10,1.0,-0.6146465916849331,-0.6558266556469871,-0.3544503934744332,-0.612490567393726,-0.3559236767400913,0.0
2018-10-11,1.0,-0.5823867620249614,-0.6496984995091853,-0.3088977702986958,-0.6031412144159305,-0.36173047258449026,0.0
2018-10-12,1.0,-0.5933871694451184,-0.6411118427893113,-0.3091879527258864,-0.5855197033237445,-0.33660277960697327,0.0
2018-10-15,1.0,-0.5882210457109243,-0.6497802692134675,-0.30087546281878264,-0.5853143707394719,-0.3361015952109069,0.0
2018-10-16,1.0,-0.5864109930428161,-0.6576442490741061,-0.2951092035582015,-0.5858571873593853,-0.3362638884081548,0.0
2018-10-17,1.0,-0.5725407177245877,-0.6226994912418479,-0.27927066616587565,-0.5887253730324034,-0.3512138491480861,0.0
2018-10-18,1.0,-0.5707300393229612,-0.6204137459394768,-0.281073687809882,-0.5941528466404514,-0.35301760984783725,0.0
2018-10-19,1.0,-0.5670555423284923,-0.6134485221591103,-0.27607904493044455,-0.5957280364613449,-0.34893370973776405,0.0
2018-10-22,1.0,-0.5648037236045039,-0.6322598309319278,-0.28854512474759575,-0.5906430747116602,-0.34617885622369005,0.0
2018-10-23,1.0,-0.5643659271432484,-0.6328403177211723,-0.2870788824979457,-0.5922007669131745,-0.34719939742536293,0.0
2018-10-24,1.0,-0.5646183899379691,-0.6358339901984303,-0.2877411837280236,-0.5929606909078448,-0.3459679906782275,0.0
2018-10-25,1.0,-0.53870526631758,-0.5942700863822833,-0.2847280125404396,-0.6018743954907781,-0.31564553246839877,0.0
