Date,DPHC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-16,1.0,-0.0,-0.015842740829925973,-0.08885762990689856,-0.07593548464005151,-0.011432045489765993,0.0
2019-12-17,1.0,-0.0,-0.016041569833267783,-0.08900330127402958,-0.07589354880999202,-0.010857258631580203,0.0
2019-12-18,1.0,-0.0,-0.014526978674681551,-0.09015552693096704,-0.07617718620294833,-0.011843423500787176,0.0
2019-12-19,1.0,-0.0,-0.014680452696981622,-0.09001466852706523,-0.07593049741810073,-0.011937557392102846,0.0
2019-12-20,1.0,-0.0,-0.01482330194421569,-0.09076587060045115,-0.07597837373339539,-0.011946960745700407,0.0
2019-12-23,1.0,-0.0,-0.018908440202803457,-0.08793319415448851,-0.07946316731285416,-0.006644795705338503,0.0
2019-12-24,1.0,-0.0,-0.01895638480626074,-0.08775529681236878,-0.07964306165298721,-0.006609085703378507,0.0
2019-12-26,1.0,-0.0,-0.01930833671448006,-0.08809279457743621,-0.07946490369698561,-0.006491801713644718,0.0
2019-12-27,1.0,-0.0,-0.019703081366207603,-0.08831181230159676,-0.07884812755089864,-0.006551781750483328,0.0
2019-12-30,1.0,-0.0,-0.019631696961022852,-0.08802060970373551,-0.07864605696293116,-0.006392824769810601,0.0
2019-12-31,1.0,-0.0,-0.01998761934239661,-0.0871169734053951,-0.07766481750434515,-0.005678436227708864,0.0
2020-01-02,1.0,-0.0,-0.019471852805186138,-0.08755183755183754,-0.07806616139949472,-0.006566089899423233,0.0
2020-01-03,1.0,-0.0,-0.018576146701482037,-0.08702650498980578,-0.07990843080444969,-0.006784228159912246,0.0
2020-01-06,1.0,-0.0,-0.018941736028537454,-0.08644470868014269,-0.07822829964328182,-0.0054577883472057085,0.0
2020-01-07,1.0,-0.0,-0.019377953411971956,-0.08582005165867186,-0.08160641805434872,-0.003487555497363503,0.0
2020-01-08,1.0,-0.0,-0.02046313180068409,-0.08627408917015267,-0.08348528728234832,-0.001573170295684508,0.0
