Date,IWF,IWM,MTUM,PRFT,SPY,VLUE,VXX
2018-09-24,-0.3484819794230891,-0.9070567443034779,-0.0,1.0,-0.4871552105030613,-0.41327400113614854,0.0
2018-09-25,-0.34662198476178435,-0.9095191426132592,-0.0,1.0,-0.48914040024027067,-0.41617400651259845,0.0
2018-09-26,-0.34477403815681057,-0.9097103378335553,-0.0,1.0,-0.4914115484566141,-0.42327438676554485,0.0
2018-09-27,-0.3464437266451327,-0.9057255050984863,-0.0,1.0,-0.49141807587560965,-0.42317436189752355,0.0
2018-09-28,-0.34281799643130256,-0.9182385929135864,-0.0,1.0,-0.49671807290339026,-0.42853046138159573,0.0
2018-10-01,-0.3440647711334948,-0.9171235496621191,-0.0,1.0,-0.49764120872115264,-0.42872625270942244,0.0
2018-10-02,-0.3422833862637539,-0.9449202835787379,-0.0,1.0,-0.4950758669361306,-0.4256568184005389,0.0
2018-10-03,-0.3424763376472861,-0.9309445624879273,-0.0,1.0,-0.5052475693773743,-0.44069924666795446,0.0
2018-10-04,-0.3438022911571631,-0.9281760844381516,-0.0,1.0,-0.5066289097695972,-0.4392778993435449,0.0
2018-10-05,-0.33120753749519294,-0.9239520574285349,-0.0,1.0,-0.5079797461863864,-0.441545955646712,0.0
2018-10-08,-0.33104708182430054,-0.9245537002019166,-0.0,1.0,-0.5079003878080831,-0.44149225986346596,0.0
2018-10-09,-0.3310685212486379,-0.9248766104736875,-0.0,1.0,-0.5077879623101083,-0.4411896673290174,0.0
2018-10-10,-0.3320731746387723,-0.9242302886617755,-0.0,1.0,-0.5082818056578989,-0.4392080222984012,0.0
2018-10-11,-0.2582158156405366,-0.9270817047622025,-0.0,1.0,-0.4875082079984991,-0.45405084268784596,0.0
2018-10-12,-0.2597262136522357,-0.9241061771885911,-0.0,1.0,-0.4711226476314082,-0.4351843268131393,0.0
2018-10-15,-0.22834889039995054,-0.9582122766891266,-0.0,1.0,-0.46658836619892446,-0.4376274958274093,0.0
2018-10-16,-0.224372449610486,-0.9649128230493386,-0.0,1.0,-0.4655620131074565,-0.4365957709904785,0.0
