Date,BWB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-12,1.0,-0.0,-0.5185440546984975,-0.0,-0.7262489586026603,-0.628055962538424,0.0
2018-11-13,1.0,-0.0,-0.504929178470255,-0.0,-0.7159490084985837,-0.6119830028328612,0.0
2018-11-14,1.0,-0.0,-0.5042488103331068,-0.0,-0.7168592794017675,-0.6114604577384999,0.0
2018-11-15,1.0,-0.0,-0.5050841664530462,-0.0,-0.7176792275484919,-0.6255091287134352,0.0
2018-11-16,1.0,-0.0,-0.49381665532108016,-0.0,-0.7111130020422056,-0.6314669843430906,0.0
2018-11-19,1.0,-0.0,-0.4936608333096974,-0.0,-0.7105255693904757,-0.6321297898289702,0.0
2018-11-20,1.0,-0.0,-0.4754434792387056,-0.0,-0.691827612380872,-0.6440358719181355,0.0
2018-11-21,1.0,-0.0,-0.47459082223268434,-0.0,-0.7024841452269517,-0.5923453986540751,0.0
2018-11-23,1.0,-0.0,-0.4511296932107653,-0.0,-0.7205947502491971,-0.5971314652785469,0.0
2018-11-26,1.0,-0.0,-0.4672137965453184,-0.0,-0.7148362769290487,-0.5905675548285136,0.0
2018-11-27,1.0,-0.0,-0.48537517132775365,-0.0,-0.7898282348137996,-0.6410136770581203,0.0
2018-11-28,1.0,-0.0,-0.4699140401146132,-0.0,-0.8047774983919069,-0.6491140868955032,0.0
2018-11-29,1.0,-0.0,-0.45187188857874594,-0.0,-0.7786826278380479,-0.6470317400938103,0.0
2018-11-30,1.0,-0.0,-0.4518482209791822,-0.0,-0.778126982296292,-0.6533648578513349,0.0
2018-12-03,1.0,-0.0,-0.45201889292091474,-0.0,-0.7762225678244341,-0.6517769713726169,0.0
2018-12-04,1.0,-0.0,-0.4646371640674455,-0.0,-0.7629049893537434,-0.6498244806353226,0.0
2018-12-06,1.0,-0.0,-0.41244854822560906,-0.0,-0.7530592946935143,-0.6156691511847815,0.0
2018-12-07,1.0,-0.0,-0.41809831604014286,-0.0,-0.7654646481827975,-0.6513862901854057,0.0
2018-12-10,1.0,-0.0,-0.4407512002259248,-0.0,-0.7781135272521886,-0.6051962722394802,0.0
2018-12-11,1.0,-0.0,-0.4404587052310473,-0.0,-0.7854762173765676,-0.5986046774375776,0.0
2018-12-12,1.0,-0.0,-0.44382852919438287,-0.0,-0.7864574449940305,-0.6123997953266247,0.0
2018-12-13,1.0,-0.0,-0.45340389016018307,-0.0,-0.7853832951945079,-0.6216533180778031,0.0
2018-12-14,1.0,-0.0,-0.45242113090981895,-0.0,-0.7860595486657324,-0.6216857821125189,0.0
2018-12-17,1.0,-0.0,-0.4513049195323443,-0.0,-0.7852385444358689,-0.621987822656719,0.0
2018-12-18,1.0,-0.0,-0.4561393423775581,-0.0,-0.7946366980915153,-0.6234766613014486,0.0
2018-12-19,1.0,-0.0,-0.46777082782721047,-0.0,-0.8287669221507651,-0.6400610812556896,0.0
2018-12-20,1.0,-0.0,-0.44427869427869426,-0.0,-0.8523751023751024,-0.6283783783783783,0.0
2018-12-21,1.0,-0.0,-0.44830387974812097,-0.0,-0.8622210614898,-0.5913061141580337,0.0
2018-12-24,1.0,-0.0,-0.38755547769212795,-0.0,-0.8453924316748423,-0.6869306236860546,0.0
2018-12-26,1.0,-0.0,-0.4000806265837365,-0.0,-0.809375719880212,-0.6700645012669892,0.0
2018-12-27,1.0,-0.0,-0.36632876712328766,-0.0,-0.6373972602739726,-0.736027397260274,0.0
2018-12-28,1.0,-0.0,-0.3835623984355634,-0.0,-0.6399867794089295,-0.7307406285289337,0.0
2018-12-31,1.0,-0.0,-0.41564490334165705,-0.0,-0.6523105412306052,-0.7377739120675627,0.0
2019-01-02,1.0,-0.0,-0.42065783514492755,-0.0,-0.6684782608695653,-0.7414798460144928,0.0
2019-01-03,1.0,-0.0,-0.42033005916154786,-0.0,-0.6960115492399581,-0.7143544597616553,0.0
