Date,ASB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18145795523290986,-0.7812764670296432,-0.11621294615849971,-0.4725650332728373,-0.4732909860859044,0.0
2018-09-25,1.0,-0.18135890609874153,-0.781461761858664,-0.11598499515972893,-0.4727734753146176,-0.47359027105517904,0.0
2018-09-26,1.0,-0.18225557539262263,-0.7826731624655794,-0.11786243834538687,-0.4724180712318819,-0.47075377492661974,0.0
2018-09-27,1.0,-0.18260474965965814,-0.7815459083345939,-0.11819694448646195,-0.47227348358795945,-0.47060959007714415,0.0
2018-09-28,1.0,-0.17985764046645464,-0.7856126003331818,-0.11882477661668939,-0.4730577010449796,-0.47160381644706956,0.0
2018-10-01,1.0,-0.18356563724150496,-0.7852175761440587,-0.11803467857034407,-0.4765722267772008,-0.4732319091433604,0.0
2018-10-02,1.0,-0.1837515950659294,-0.7890867108221427,-0.11709303032144376,-0.475876526705961,-0.47244333718174636,0.0
2018-10-03,1.0,-0.18351604968265053,-0.7840505329648638,-0.11649306082784171,-0.477421118163321,-0.4753257007500986,0.0
2018-10-04,1.0,-0.18230726905911843,-0.7975484502048052,-0.11594424405453323,-0.47624870086201626,-0.48474659167328976,0.0
2018-10-05,1.0,-0.16721071417675948,-0.7930687330302938,-0.10250465236889471,-0.488452972939992,-0.49949662893925983,0.0
2018-10-08,1.0,-0.16543826521288907,-0.7906133885606382,-0.09953097399037583,-0.49101541085460193,-0.4990558567338734,0.0
2018-10-09,1.0,-0.1642300194931774,-0.7911184210526316,-0.09670443469785575,-0.4925682261208577,-0.5011878654970761,0.0
2018-10-10,1.0,-0.16487531589684254,-0.7902140486557256,-0.097737721888987,-0.49295131382638613,-0.49904089151417347,0.0
2018-10-11,1.0,-0.12004755535740823,-0.7980086194085302,-0.043988705602615544,-0.48872046366473465,-0.5214147718828949,0.0
2018-10-12,1.0,-0.11709719273413542,-0.7974463316820005,-0.040634583628214205,-0.48083274357159717,-0.5127978296768106,0.0
2018-10-15,1.0,-0.09312065585457138,-0.8562941840432483,-0.0,-0.49123745024653953,-0.5297035584863066,0.0
2018-10-16,1.0,-0.08951011556400582,-0.8624223879266807,-0.0,-0.490211223671311,-0.5286533376905023,0.0
2018-10-17,1.0,-0.06954253729156289,-0.8294991647862147,-0.0,-0.4898748644609208,-0.5416581191571668,0.0
2018-10-18,1.0,-0.06863291213462723,-0.8278753408191387,-0.0,-0.4927731683719839,-0.5424667976193966,0.0
2018-10-19,1.0,-0.06185023574545348,-0.8312003982780333,-0.0,-0.49281049579758107,-0.5426245350982517,0.0
2018-10-22,1.0,-0.07659406661408724,-0.8972881150276042,-0.0,-0.5048534854092095,-0.5546927137050294,0.0
