Date,IWF,IWM,MTUM,SMTC,SPY,VLUE,VXX
2018-09-24,-0.6590302178496135,-1.2450691028343874,-0.22525181541344577,1.0,-0.8033263059264465,-0.7522136331693605,0.0
2018-09-25,-0.6592346245725795,-1.2444610988805096,-0.2258653801114806,1.0,-0.8028947491685793,-0.7516511312005246,0.0
2018-09-26,-0.6588533120810088,-1.2447611457503163,-0.2232900473489288,1.0,-0.8046973887768974,-0.7564108574375322,0.0
2018-09-27,-0.6588362170019225,-1.2451821634547757,-0.22342570450602522,1.0,-0.8048483143433207,-0.7565527265907066,0.0
2018-09-28,-0.6564756635093314,-1.246975522835975,-0.22418643908843663,1.0,-0.8046984901059739,-0.7567288755509706,0.0
2018-10-01,-0.6570852480540186,-1.2459908093407108,-0.22432711244490294,1.0,-0.8050267279377286,-0.7566819844321486,0.0
2018-10-02,-0.65704089777903,-1.2573601915762784,-0.22181527914729773,1.0,-0.8039160445133118,-0.7553646053434757,0.0
2018-10-03,-0.6563438438438438,-1.2492023273273274,-0.22095533033033032,1.0,-0.8060716966966966,-0.7596659159159158,0.0
2018-10-04,-0.6598199212155317,-1.2419339711123616,-0.22186268992684297,1.0,-0.8105421121740761,-0.7553929844306884,0.0
2018-10-05,-0.6453089244851259,-1.235417736888806,-0.2052958483164433,1.0,-0.8186148601316957,-0.7654695745575119,0.0
2018-10-08,-0.6470588235294118,-1.2395058261968273,-0.2059993448453367,1.0,-0.8195984837849221,-0.7675136880527867,0.0
2018-10-09,-0.648843524674595,-1.2404251334394607,-0.20900833411368105,1.0,-0.818475512688454,-0.765333832755876,0.0
2018-10-10,-0.6485232067510549,-1.2439287388654479,-0.2068917018284107,1.0,-0.8196436943272387,-0.7691983122362869,0.0
2018-10-11,-0.5860075561017798,-1.2494423961036005,-0.11666439073239565,1.0,-0.8054531385133598,-0.7943010605853702,0.0
2018-10-12,-0.6002157594282376,-1.2442127028363374,-0.11089135613790624,1.0,-0.7777228390344766,-0.7619454308446082,0.0
2018-10-15,-0.5824772329639766,-1.275088600780584,-0.08415952626620608,1.0,-0.777937284105693,-0.7664528284958055,0.0
2018-10-16,-0.5810792625487821,-1.2799982057147985,-0.08042883416319024,1.0,-0.7779572062979411,-0.766249495357287,0.0
2018-10-17,-0.5619244834119046,-1.2355817949508747,-0.06503062078688814,1.0,-0.7708948319161122,-0.7724368859320615,0.0
2018-10-18,-0.5627451844668754,-1.2374046810949002,-0.0641336448186186,1.0,-0.7706175342707279,-0.7729095958037643,0.0
2018-10-19,-0.5509534639608117,-1.2282627711686493,-0.05055983205038488,1.0,-0.772349545136459,-0.7715622813156053,0.0
2018-10-22,-0.5503414463316407,-1.231789528979163,-0.05555069164769742,1.0,-0.77004902819121,-0.769830152337594,0.0
2018-10-23,-0.5517920441118551,-1.2309745744168745,-0.05929718611876942,1.0,-0.7664872434466763,-0.7675812874710078,0.0
2018-10-24,-0.5518869987317969,-1.2309441553330127,-0.054663926181834084,1.0,-0.7671316744653868,-0.7684873398346962,0.0
2018-10-25,-0.5446738376127689,-1.2162560721721027,-0.05690492713393477,1.0,-0.7614937543372658,-0.7578938237335184,0.0
2018-10-26,-0.5307953131035666,-1.2018970771277737,-0.04034507918794798,1.0,-0.7694750847675865,-0.7494313060646379,0.0
2018-10-29,-0.5119312350325008,-1.2209202873759835,-0.02056962025316456,1.0,-0.7618457064659596,-0.7612042422169004,0.0
2018-10-30,-0.5136661106120878,-1.2208819881089867,-0.0216433551477822,1.0,-0.7617092262286667,-0.7594850079130844,0.0
2018-10-31,-0.5172574824877946,-1.195584801528338,-0.023986414773933346,1.0,-0.7569518149012947,-0.7516450859690087,0.0
2018-11-01,-0.5123844261599797,-1.2008228009161082,-0.01900076342353041,1.0,-0.7571040800746459,-0.7519297650352024,0.0
2018-11-02,-0.5138941758660068,-1.19079643023305,-0.01844097618745506,1.0,-0.7575180814617435,-0.7488897348052277,0.0
2018-11-05,-0.5089032694666498,-1.205938332698896,-0.017975722201074316,1.0,-0.7591253225056042,-0.7376390474982024,0.0
2018-11-06,-0.5155232213856696,-1.2107266728703157,-0.015100245326114542,1.0,-0.7561543016665258,-0.7322561543016666,0.0
2018-11-07,-0.5175364283293798,-1.2126821416468991,-0.012029820399864452,1.0,-0.7592765164351066,-0.7343273466621484,0.0
2018-11-08,-0.48253219968010774,-1.2235036619244044,-0.0,1.0,-0.7529674215001262,-0.7500631366276622,0.0
2018-11-09,-0.4824291906906275,-1.2230966710155298,-0.0,1.0,-0.7531248684819662,-0.7498842641302976,0.0
2018-11-12,-0.4816168746585991,-1.219000798352872,-0.0,1.0,-0.7531408882726165,-0.7480566410353375,0.0
2018-11-13,-0.46615442435378124,-1.21869127656909,-0.0,1.0,-0.7492379003633023,-0.741804818975237,0.0
2018-11-14,-0.4694389825544911,-1.2190101660879387,-0.0,1.0,-0.7522486717148475,-0.7428774630799482,0.0
2018-11-15,-0.4709916277504312,-1.2334132693844924,-0.0,1.0,-0.772476755437755,-0.7302789347469393,0.0
2018-11-16,-0.4717243120424135,-1.2330219641504672,-0.0,1.0,-0.7725742657578052,-0.7303711184044434,0.0
2018-11-19,-0.4863237352105509,-1.239090793435393,-0.0,1.0,-0.7773207243119461,-0.737967007336415,0.0
2018-11-20,-0.4898002549936252,-1.245771355716107,-0.0,1.0,-0.778750531236719,-0.7355716107097323,0.0
2018-11-21,-0.5044397463002115,-1.2454545454545454,-0.0,1.0,-0.7828752642706132,-0.6956025369978859,0.0
2018-11-23,-0.5046918589906163,-1.2433426325133148,-0.0,1.0,-0.7832868374334263,-0.6955786626088427,0.0
2018-11-26,-0.5049902731963123,-1.2424511545293073,-0.0,1.0,-0.7846993148946967,-0.6969043390002537,0.0
2018-11-27,-0.49844197406097357,-1.243094155297288,-0.0,1.0,-0.7785918814215934,-0.6907529055078322,0.0
2018-11-28,-0.49861040929762507,-1.243220481724777,-0.0,1.0,-0.7783392285666162,-0.6907107966986694,0.0
2018-11-29,-0.4781067556296914,-1.229691409507923,-0.0,1.0,-0.7716847372810675,-0.6906588824020016,0.0
2018-11-30,-0.485322476965931,-1.2690807799442898,-0.0,1.0,-0.8228840797085922,-0.7081208485108207,0.0
2018-12-03,-0.48650735767300185,-1.2699815521901412,-0.0,1.0,-0.8242309837401863,-0.709425543781372,0.0
2018-12-04,-0.4684296666379533,-1.292488586441554,-0.0,1.0,-0.8287104832457576,-0.7173744508570937,0.0
2018-12-06,-0.4624250806823421,-1.2244016932813613,-0.0,1.0,-0.824762144264219,-0.6797015801165179,0.0
2018-12-07,-0.46757493188010896,-1.224229721232446,-0.0,1.0,-0.8247327604275833,-0.6754558792705931,0.0
2018-12-10,-0.4645761717112434,-1.2277605433051062,-0.0,1.0,-0.8256057684245829,-0.6742265448142869,0.0
2018-12-11,-0.4656242139683072,-1.2271317179508676,-0.0,1.0,-0.8257315334954306,-0.6736815628406138,0.0
2018-12-12,-0.46861362873447465,-1.2274253105068815,-0.0,1.0,-0.8282141658274589,-0.6718277945619335,0.0
2018-12-13,-0.4682483128641489,-1.2230791801148508,-0.0,1.0,-0.8306576686087941,-0.6696567045311649,0.0
2018-12-14,-0.4696614146832048,-1.219493798189742,-0.0,1.0,-0.8316711364398257,-0.6695859872611465,0.0
2018-12-17,-0.45174889389765427,-1.2200100175306787,-0.0,1.0,-0.8170548459804658,-0.6851156189999166,0.0
2018-12-18,-0.44122403283990547,-1.21018368785504,-0.0,1.0,-0.8110876145457562,-0.6839159099390472,0.0
2018-12-19,-0.44979036074556855,-1.2090580763003862,-0.0,1.0,-0.8087093694217278,-0.6836730457885343,0.0
2018-12-20,-0.45056403450564037,-1.2059140676841407,-0.0,1.0,-0.8080623755806238,-0.6827720637027206,0.0
2018-12-21,-0.446847144272037,-1.2067926708484649,-0.0,1.0,-0.8077335754374381,-0.6654423902277979,0.0
2018-12-24,-0.42448343719252213,-1.1844047228599541,-0.0,1.0,-0.8030091833387996,-0.6878484749098065,0.0
2018-12-26,-0.4260869565217391,-1.1960585127996748,-0.0,1.0,-0.7723689557090613,-0.6688744412840308,0.0
2018-12-27,-0.3906686057937974,-1.157226524114618,-0.0,1.0,-0.7121182343461341,-0.6706497386109036,0.0
2018-12-28,-0.38605382046749165,-1.1625613828324495,-0.0,1.0,-0.711765861323905,-0.6681202121390689,0.0
2018-12-31,-0.384476321477697,-1.1656514049911573,-0.0,1.0,-0.7119669876203576,-0.6679504814305365,0.0
2019-01-02,-0.38226864030782515,-1.1652204640936037,-0.0,1.0,-0.710275236562095,-0.668577486355962,0.0
2019-01-03,-0.3874980379846178,-1.1628472767226494,-0.0,1.0,-0.7135457541987129,-0.6601396954952126,0.0
2019-01-04,-0.3904701997169367,-1.1642160717093883,-0.0,1.0,-0.7170545683283536,-0.6596949205849977,0.0
2019-01-07,-0.37694064810871497,-1.1410430136668084,-0.0039877656897286,1.0,-0.7086608076193426,-0.6409849394091912,0.0
2019-01-08,-0.3770992957201455,-1.1388437427443698,-0.004682300131568764,1.0,-0.7089234579366923,-0.640120733689343,0.0
2019-01-09,-0.3740192478645692,-1.1263865806052642,-0.003323928419587987,1.0,-0.711166080469988,-0.6501372086731341,0.0
2019-01-10,-0.37208218433215523,-1.137181030799705,-0.0,1.0,-0.7147240455198665,-0.6596885073989204,0.0
