Date,CBMG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.0892058165548097,-4.279642058165549,-0.20721476510067113,-3.3337527964205815,-3.0724272930648766,0.0
2018-09-25,1.0,-2.1000419756541207,-4.276059885266545,-0.22149153490975232,-3.330348397929201,-3.0640828319574642,0.0
2018-09-26,1.0,-2.156450921560223,-4.378625517931133,-0.2473210458636948,-3.4004857836833833,-3.1050150021431637,0.0
2018-09-27,1.0,-2.1628172226974622,-4.344881665240948,-0.2549187339606501,-3.3953521528371833,-3.0990875392073,0.0
2018-09-28,1.0,-2.1905246330475223,-4.447464031390787,-0.26551373346897256,-3.4644673739282084,-3.164946955384392,0.0
2018-10-01,1.0,-2.466677347004165,-4.847965395706504,-0.3668695930791413,-3.8333867350208264,-3.505607177186799,0.0
2018-10-02,1.0,-2.5210097719869706,-4.845928338762215,-0.404071661237785,-3.9234527687296414,-3.5921824104234528,0.0
2018-10-03,1.0,-2.5172413793103448,-4.836694860117111,-0.4011060507482108,-3.9202992843201043,-3.590110605074821,0.0
2018-10-04,1.0,-2.5138776172699235,-4.822269112157117,-0.4000973867878591,-3.914948871936374,-3.579776010387924,0.0
2018-10-05,1.0,-2.436117740652347,-4.73126491646778,-0.3416070007955449,-3.8657120127287192,-3.5361972951471756,0.0
2018-10-08,1.0,-2.4806943543153794,-4.818948734587931,-0.31959766385463984,-3.983614536015574,-3.620376378974692,0.0
2018-10-09,1.0,-2.486108854589764,-4.828269699431357,-0.3215272136474411,-3.9886271324126725,-3.622420796100731,0.0
2018-10-10,1.0,-2.4923626909327266,-4.824666883327917,-0.3272668183295418,-3.9931751706207343,-3.6121221969450765,0.0
2018-10-11,1.0,-2.1707620528771385,-4.789269051321929,-0.0,-3.904821150855366,-3.6870917573872477,0.0
2018-10-12,1.0,-2.07202581780842,-4.536306293090803,-0.0,-3.6426580607305272,-3.4180724658940886,0.0
2018-10-15,1.0,-1.959754134348017,-4.639982438167715,-0.0,-3.6177374506073465,-3.4173862139616564,0.0
2018-10-16,1.0,-1.9486387049300957,-4.7046357615894046,-0.0,-3.631935246504783,-3.4313465783664463,0.0
2018-10-17,1.0,-1.797673098751419,-4.4348751418842225,-0.0,-3.545261066969353,-3.410754824063564,0.0
