Date,IWF,IWM,MTUM,OPI,SPY,VLUE,VXX
2018-09-24,-0.9774651643442894,-1.957397159810654,-0.11094072938195877,1.0,-1.3896926461764116,-1.2315487699179943,0.0
2018-09-25,-0.9777614531855215,-1.9618004541204754,-0.10918926138640309,1.0,-1.393482035528249,-1.236075864832376,0.0
2018-09-26,-0.9812052705504648,-1.9666911912246674,-0.11403919470269547,1.0,-1.3946224332820547,-1.2318908434218447,0.0
2018-09-27,-0.981523631008167,-1.9695407685098407,-0.11433926897844424,1.0,-1.3957691792743336,-1.2331637434730218,0.0
2018-09-28,-0.9835220041529907,-1.96878558510282,-0.11561390582088553,1.0,-1.39647665617255,-1.233974144282939,0.0
2018-10-01,-0.9835220041529907,-1.9683166990421326,-0.11628374305043875,1.0,-1.396275705003684,-1.233974144282939,0.0
2018-10-02,-0.9847589633409427,-1.9846246810796297,-0.11413992211628846,1.0,-1.3964683765274608,-1.2340539814690479,0.0
2018-10-03,-0.9833020386266095,-1.9751877682403434,-0.11333154506437768,1.0,-1.3971968884120172,-1.2369903433476395,0.0
2018-10-04,-1.083261802575107,-2.067453505007153,-0.13876967095851217,1.0,-1.5427753934191701,-1.3208869814020028,0.0
2018-10-05,-1.0602824170310372,-2.06823883592574,-0.10221489498960648,1.0,-1.5783097985807468,-1.3588990036556519,0.0
2018-10-08,-1.0706052917723814,-2.0877129394708227,-0.09169989126495108,1.0,-1.6166002174700982,-1.3824574121058355,0.0
2018-10-09,-1.0742015821857602,-2.1121447406973335,-0.07310284207442132,1.0,-1.6475241722824494,-1.4178874890125988,0.0
2018-10-10,-1.077447245017585,-2.1107854630715126,-0.07583528722157093,1.0,-1.649985345838218,-1.4129542790152405,0.0
2018-10-11,-0.9249658935879944,-2.1445393839304945,-0.0,1.0,-1.6385438357147983,-1.4721763481008112,0.0
2018-10-12,-0.912396000838985,-2.102565895266727,-0.0,1.0,-1.5758931692651892,-1.400755086345522,0.0
2018-10-15,-0.85049786628734,-2.228520625889047,-0.0,1.0,-1.5958748221906116,-1.4375533428165006,0.0
2018-10-16,-0.8428622285510858,-2.2454254182983266,-0.0,1.0,-1.594873620505518,-1.436810252758989,0.0
2018-10-17,-0.7792494481236203,-2.1331401766004414,-0.0,1.0,-1.5584299116997793,-1.4276352097130243,0.0
2018-10-18,-0.7857687773077189,-2.149247520632499,-0.0,1.0,-1.5637700256605866,-1.4364380331507038,0.0
2018-10-19,-0.74351228889194,-2.123369490594535,-0.0,1.0,-1.5664561307153646,-1.431896196622271,0.0
2018-10-22,-0.7503457814661134,-2.1116874135546335,-0.0,1.0,-1.5946749654218533,-1.4589903181189487,0.0
2018-10-23,-0.7536983271118485,-2.111157196184156,-0.0,1.0,-1.5912484446287847,-1.4567261164108944,0.0
2018-10-24,-0.7533296337402885,-2.109947280799112,-0.0,1.0,-1.6023862375138733,-1.471073806881243,0.0
2018-10-25,-0.6794437141077977,-2.070988722064623,-0.0,1.0,-1.707396388293088,-1.4611499342697019,0.0
2018-10-26,-0.6328714501303334,-2.047331595554946,-0.0,1.0,-1.7317190286733435,-1.4477294553436686,0.0
2018-10-29,-0.6070943191084534,-2.040364229410166,-0.0,1.0,-1.7116064147866266,-1.4363278064691491,0.0
2018-10-30,-0.5850955327395118,-2.0429727340722104,-0.0,1.0,-1.714625688447678,-1.4568572788468077,0.0
2018-10-31,-0.5951930866864704,-1.9945989738050227,-0.0,1.0,-1.7140831758034027,-1.4473399945989738,0.0
2018-11-01,-0.5516984202318801,-2.045155603769747,-0.0,1.0,-1.723574479625737,-1.4596243813139873,0.0
2018-11-02,-0.5525257939166555,-2.000401983116709,-0.0,1.0,-1.7088302291303765,-1.4379606056545624,0.0
2018-11-05,-0.560753954897341,-1.9974419387411646,-0.0,1.0,-1.7175361831033322,-1.456075395489734,0.0
2018-11-06,-0.5608408570273548,-1.9969006872389166,-0.0,1.0,-1.7200512060369224,-1.459776310470287,0.0
2018-11-07,-0.5588512241054614,-1.9942830239440408,-0.0,1.0,-1.7158999192897497,-1.4567527576002153,0.0
2018-11-08,-0.4897497337593184,-2.000599041533546,-0.0,1.0,-1.6958865814696484,-1.4697151224707135,0.0
