Date,IWF,IWM,MTUM,SPY,USCR,VLUE,VXX
2018-09-24,-0.6397786091323733,-1.3775431763439758,-0.0006149746322964178,-1.0561164351970482,1.0,-1.0506841592784297,0.0
2018-09-25,-0.6381741457389872,-1.3860127624536849,-0.0,-1.062885961300947,1.0,-1.059077809798271,0.0
2018-09-26,-0.6378711716847179,-1.39280717209929,-0.0,-1.0728610664870186,1.0,-1.07861325594652,0.0
2018-09-27,-0.6413043478260869,-1.3839544513457556,-0.0,-1.0727225672877845,1.0,-1.0780538302277431,0.0
2018-09-28,-0.6388630009319665,-1.3871285078181628,-0.0,-1.07300403852128,1.0,-1.078595837216527,0.0
2018-10-01,-0.6480025001302152,-1.3916870670347414,-0.0,-1.083546018021772,1.0,-1.085316943590812,0.0
2018-10-02,-0.6517368887037134,-1.377896984532056,-0.0,-1.088224571636894,1.0,-1.090151554606531,0.0
2018-10-03,-0.6505879904256426,-1.3686647934228329,-0.0,-1.0899677385784161,1.0,-1.094182537204704,0.0
2018-10-04,-0.6552082791616829,-1.3606011753081282,-0.0,-1.0953247698788289,1.0,-1.0893442196682095,0.0
2018-10-05,-0.6292233662751591,-1.3469757334299168,-0.0,-1.0999637812386815,1.0,-1.0979458788223728,0.0
2018-10-08,-0.6548982188295165,-1.3922815945716709,-0.0,-1.1253710771840544,1.0,-1.128498727735369,0.0
2018-10-09,-0.6478117697046951,-1.3945188017845762,-0.0,-1.1313469301041004,1.0,-1.1375610792436797,0.0
2018-10-10,-0.6472806458466115,-1.3948905884852345,-0.0,-1.131453154875717,1.0,-1.1376673040152963,0.0
2018-10-11,-0.5523838755882956,-1.356558215674238,-0.0,-1.0812359320646614,1.0,-1.1254348270922858,0.0
2018-10-12,-0.5445845359258698,-1.346903640690668,-0.0,-1.0642057825712694,1.0,-1.1078535622056813,0.0
2018-10-15,-0.5177670098929942,-1.3665455279628507,-0.0,-1.0568847163335353,1.0,-1.1061982636785788,0.0
2018-10-16,-0.510631850093439,-1.3800191928885297,-0.0,-1.0554068387292288,1.0,-1.1047022576897823,0.0
2018-10-17,-0.4719705267350393,-1.3167380264861097,-0.0,-1.0572538086229213,1.0,-1.132629692323011,0.0
2018-10-18,-0.48233990023681156,-1.3448380107824858,-0.0,-1.0645437597621805,1.0,-1.1468231974605734,0.0
2018-10-19,-0.47516764987646853,-1.3505773206272373,-0.0,-1.06670700347905,1.0,-1.14959915292694,0.0
2018-10-22,-0.47525700463616205,-1.3403547671840355,-0.0,-1.0706510784116106,1.0,-1.1530941342471275,0.0
2018-10-23,-0.4754346182917612,-1.340337616528093,-0.0,-1.070395565633661,1.0,-1.1529352481733435,0.0
2018-10-24,-0.47717126623376627,-1.3389813311688312,-0.0,-1.0847199675324677,1.0,-1.1721286525974026,0.0
2018-10-25,-0.4242498170285436,-1.2621615028055624,-0.0,-1.0743595999024151,1.0,-1.118419126616248,0.0
2018-10-26,-0.3953140818589404,-1.240273827315239,-0.0,-1.0820517765029167,1.0,-1.103263751627055,0.0
2018-10-29,-0.3640678941311853,-1.2520138089758344,-0.0,-1.0678941311852705,1.0,-1.1107594936708862,0.0
2018-10-30,-0.3554416063641156,-1.2516892701394546,-0.0,-1.0678104183639239,1.0,-1.1173144198974458,0.0
2018-10-31,-0.35780925218736404,-1.2709914439019674,-0.0,-1.0775366171992071,1.0,-1.1276163774351042,0.0
2018-11-01,-0.36670219982556446,-1.2677585037309815,-0.0,-1.0808702393642795,1.0,-1.130099815873631,0.0
2018-11-02,-0.38156826942584704,-1.3818218705619802,-0.0,-1.1192939744370054,1.0,-1.1893386082369648,0.0
2018-11-05,-0.37877021341308864,-1.3884016829725758,-0.0,-1.1190753789222894,1.0,-1.182947229685203,0.0
2018-11-06,-0.3755522827687776,-1.386775684322787,-0.0,-1.125285663501092,1.0,-1.1908993956629932,0.0
2018-11-07,-0.3768580737120749,-1.3898391366320504,-0.0,-1.1298615353288537,1.0,-1.1940541641213602,0.0
2018-11-08,-0.3434602982668279,-1.3858323256751313,-0.0,-1.113714228133817,1.0,-1.1952841596130594,0.0
2018-11-09,-0.34362720403022673,-1.3854408060453398,-0.0,-1.1137531486146095,1.0,-1.1949622166246852,0.0
2018-11-12,-0.34147075041355457,-1.362875332096847,-0.0,-1.1189533309940347,1.0,-1.1894330542884355,0.0
2018-11-13,-0.31776305960858525,-1.3594940491011405,-0.0,-1.116727254618794,1.0,-1.1857975200438227,0.0
2018-11-14,-0.31876120294762,-1.3585441147181836,-0.0,-1.116660027882892,1.0,-1.1851722764389565,0.0
2018-11-15,-0.31774073152525506,-1.3625279920378204,-0.0,-1.1241602388653895,1.0,-1.171933316745459,0.0
2018-11-16,-0.31094774488376714,-1.3474071130538445,-0.0,-1.1246771309358237,1.0,-1.1841843830717267,0.0
