Date,IWF,IWM,MTUM,SPY,ST,VLUE,VXX
2018-09-24,-0.2817806466620144,-0.4890672249360316,-0.14151546871365434,-0.4647592463363573,1.0,-0.5305594324261456,0.0
2018-09-25,-0.28006190504000467,-0.4958243298487415,-0.13575308065175495,-0.47059510599778076,1.0,-0.5378146352858728,0.0
2018-09-26,-0.27953250547845143,-0.49560262965668367,-0.1337326515704894,-0.4717019722425128,1.0,-0.541300219138057,0.0
2018-09-27,-0.2804450674610128,-0.4928450440978915,-0.1345131709596402,-0.4715553998014135,1.0,-0.5410314818059693,0.0
2018-09-28,-0.2789509039399515,-0.4942609305178305,-0.13496305382750665,-0.471450684891498,1.0,-0.5410204737287887,0.0
2018-10-01,-0.28050027760731716,-0.49323514800853274,-0.13465415972648373,-0.47260454107127203,1.0,-0.5411881593173782,0.0
2018-10-02,-0.28064176749079434,-0.4936583084926062,-0.13484131159039103,-0.47241218072359575,1.0,-0.5409141387573791,0.0
2018-10-03,-0.28048032255237093,-0.49124959827037135,-0.13463055482513805,-0.4731060274052648,1.0,-0.5421743068337862,0.0
2018-10-04,-0.282864569642805,-0.48713455416338086,-0.13507987966938287,-0.4760653056456088,1.0,-0.5394725313239288,0.0
2018-10-05,-0.2785647662352804,-0.4848723329835607,-0.13031945901830477,-0.478139209513816,1.0,-0.5428471493529206,0.0
2018-10-08,-0.27941262334325917,-0.48709639750102174,-0.13099200093419747,-0.47795877853681323,1.0,-0.5439072809015005,0.0
2018-10-09,-0.2800502175118975,-0.487139061633237,-0.13243408951563457,-0.4772123441651339,1.0,-0.5427870719103092,0.0
2018-10-10,-0.2793340380549683,-0.49568357998590556,-0.1275839793281654,-0.48044397463002114,1.0,-0.5533239370448673,0.0
2018-10-11,-0.2416227274036938,-0.5013109747313222,-0.07352983547987438,-0.48111332007952284,1.0,-0.5836574754372317,0.0
2018-10-12,-0.24707393662574936,-0.4958606908364259,-0.07151013417071082,-0.46874107907507856,1.0,-0.5715386811304596,0.0
2018-10-15,-0.22217426335174956,-0.5578383977900553,-0.028113489871086556,-0.47982849907918973,1.0,-0.5896063535911602,0.0
2018-10-16,-0.21936861545564726,-0.5767588157211289,-0.015380619841865296,-0.48280140820684475,1.0,-0.5913314480290875,0.0
2018-10-17,-0.20856515164484007,-0.5514565322833747,-0.003166994778738338,-0.4856343975577049,1.0,-0.6043253730491597,0.0
2018-10-18,-0.21147025171624712,-0.5573226544622426,-0.0004576659038901602,-0.4849256292906178,1.0,-0.6062356979405034,0.0
2018-10-19,-0.19431049733215394,-0.547978428966816,-0.0,-0.49579136588010386,1.0,-0.6152024424344451,0.0
2018-10-22,-0.19634729339020413,-0.5594137348638824,-0.0,-0.4936879168694358,1.0,-0.6131737898262388,0.0
2018-10-23,-0.19634729339020413,-0.5594137348638824,-0.0,-0.4936592906420863,1.0,-0.6131737898262388,0.0
2018-10-24,-0.19572392021810878,-0.554570239632659,-0.0,-0.4984072320275506,1.0,-0.6211508107332473,0.0
2018-10-25,-0.18653468726000513,-0.544443496316523,-0.0,-0.4978524902579856,1.0,-0.6155530904229598,0.0
2018-10-26,-0.17900361909070348,-0.5379156299479756,-0.0,-0.49977380683103373,1.0,-0.6106932820628816,0.0
2018-10-29,-0.15492758941930385,-0.5532845891087711,-0.0,-0.4916861925867374,1.0,-0.6231544476752392,0.0
2018-10-30,-0.14322019540294798,-0.5541876094200033,-0.0,-0.49288417010221947,1.0,-0.6334500480036144,0.0
2018-10-31,-0.1457452674140783,-0.6662071923053361,-0.0,-0.5564847148195797,1.0,-0.6947252343319243,0.0
2018-11-01,-0.12541729196655538,-0.6838075403509846,-0.0,-0.5571651710514226,1.0,-0.6963033291476524,0.0
2018-11-02,-0.13075820859120146,-0.6594311149050334,-0.0,-0.5657449468004024,1.0,-0.6927227828419865,0.0
2018-11-05,-0.12373150751925664,-0.6842523535884583,-0.0,-0.5707910502506418,1.0,-0.677833475975058,0.0
2018-11-06,-0.12957470877793745,-0.6892408352951966,-0.0,-0.5670345797535695,1.0,-0.6715993518207111,0.0
2018-11-07,-0.12898395721925132,-0.6895339954163484,-0.0,-0.5658976317799848,1.0,-0.6713216195569137,0.0
2018-11-08,-0.10391936610097452,-0.6930993654937915,-0.0,-0.5593673153404778,1.0,-0.6795288260117186,0.0
2018-11-09,-0.10372776394875842,-0.6929451763705907,-0.0,-0.5597413636087669,1.0,-0.6792240908263008,0.0
2018-11-12,-0.10281732808239927,-0.6874280521054226,-0.0,-0.5611026961526809,1.0,-0.678036958497425,0.0
2018-11-13,-0.08278165623495426,-0.685333413577275,-0.0,-0.5628610977371208,1.0,-0.6781716417910447,0.0
2018-11-14,-0.08428657435279951,-0.6846478025285972,-0.0,-0.5634557495484648,1.0,-0.6778747742323902,0.0
2018-11-15,-0.08328572717159265,-0.6850777233230103,-0.0,-0.5649297934393698,1.0,-0.6734117081090832,0.0
