Date,IWF,IWM,MSGS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.527593984962406,-0.9132330827067668,1.0,-0.12582706766917293,-0.6914285714285714,-0.5012781954887218,0.0
2018-09-25,-0.5281451976551931,-0.9120321659401773,1.0,-0.12716067939275513,-0.6904028257928754,-0.4999624229670825,0.0
2018-09-26,-0.5323906485671193,-0.9190422322775265,1.0,-0.13239064856711916,-0.6923076923076924,-0.494607843137255,0.0
2018-09-27,-0.5327303561334088,-0.9167514603354062,1.0,-0.13306953080836634,-0.6918032786885246,-0.4942528735632184,0.0
2018-09-28,-0.5352776939329912,-0.9163145185632358,1.0,-0.13314971325083008,-0.6929142770902506,-0.4953591910654995,0.0
2018-10-01,-0.5348037919703894,-0.9186841409525248,1.0,-0.1336631793632209,-0.6932054235751784,-0.4964686331533029,0.0
2018-10-02,-0.5352310199749839,-0.9375734374407763,1.0,-0.12917408937573438,-0.6926050866088012,-0.4956600841450934,0.0
2018-10-03,-0.534661716796727,-0.9289718918099856,1.0,-0.1281157663459353,-0.6954693537389196,-0.5009470414425335,0.0
2018-10-04,-0.5396945697070749,-0.9216719087498578,1.0,-0.12895524650422524,-0.7023002008412595,-0.4968358027966198,0.0
2018-10-05,-0.5253616346262794,-0.9146051289798692,1.0,-0.11221059787740303,-0.7151112286135136,-0.509612116176304,0.0
2018-10-08,-0.5278219998483815,-0.9199454173299977,1.0,-0.11333484951861117,-0.7167386854673642,-0.5125843378060798,0.0
2018-10-09,-0.5405384703764696,-0.9316763050055531,1.0,-0.12860480257362797,-0.7191605070659876,-0.5098234460572172,0.0
2018-10-10,-0.5415358701477682,-0.9303652094020366,1.0,-0.1297373861113238,-0.7195467422096317,-0.5069673072505934,0.0
2018-10-11,-0.4987052382361646,-0.9172832198875407,1.0,-0.07627996448653447,-0.7007990529742527,-0.5062148564664102,0.0
2018-10-12,-0.5128822713670536,-0.9106269615356544,1.0,-0.07273191737829356,-0.6779432158236625,-0.4751842931172907,0.0
2018-10-15,-0.5102799650043744,-0.9153907844852727,1.0,-0.067111402741324,-0.6781860600758238,-0.47444590259550884,0.0
2018-10-16,-0.5077631242465204,-0.9322324918715524,1.0,-0.055931026924341515,-0.6809264603806672,-0.4763453037664853,0.0
2018-10-17,-0.4914179238183969,-0.892249256458953,1.0,-0.043716630236141474,-0.6748127709893575,-0.48113376572186195,0.0
2018-10-18,-0.4965239004358632,-0.903209538561291,1.0,-0.039659954612586,-0.6765246208710061,-0.48622167789344756,0.0
2018-10-19,-0.48879837067209775,-0.89445099510487,1.0,-0.03062135991710437,-0.6774931218065531,-0.48172365741237,0.0
2018-10-22,-0.4921888964358489,-0.8866764379937798,1.0,-0.021485003396131984,-0.6855539270010368,-0.4889715082400887,0.0
2018-10-23,-0.49227909636831574,-0.886509865599085,1.0,-0.021875893623105516,-0.6851229625393194,-0.48866885902201884,0.0
2018-10-24,-0.49238415331807783,-0.8885512013729978,1.0,-0.020165903890160184,-0.686141304347826,-0.4882723112128146,0.0
2018-10-25,-0.4623693019082784,-0.8385037440905484,1.0,-0.01797853618137272,-0.6820111114945305,-0.44991200524517755,0.0
