Date,IWF,IWM,MTUM,SPY,TD,VLUE,VXX
2018-09-24,-0.1592494434432312,-0.33357362450969996,-0.05033393406127425,-0.3080038163892717,1.0,-0.2690766458178734,0.0
2018-09-25,-0.15907452177970052,-0.3338847181575264,-0.049985155023964035,-0.30828773804979426,1.0,-0.2694787292700513,0.0
2018-09-26,-0.15866547816121226,-0.3337365762553589,-0.04830425739632412,-0.309244874570228,1.0,-0.2723799821724182,0.0
2018-09-27,-0.1594688613609367,-0.3313465128118106,-0.048977600543017134,-0.30911674868488037,1.0,-0.2722085525199389,0.0
2018-09-28,-0.15859142978362323,-0.3321807382265592,-0.04925753075943997,-0.3090369113279593,1.0,-0.2722528638099279,0.0
2018-10-01,-0.158877315060356,-0.33190487302967947,-0.049281880476059144,-0.30916265354180367,1.0,-0.27224897638797546,0.0
2018-10-02,-0.1601018675721562,-0.3225382003395586,-0.05265280135823429,-0.31177843803056027,1.0,-0.275169779286927,0.0
2018-10-03,-0.16113179448994788,-0.32917774704818636,-0.05344112328475694,-0.31094564408041697,1.0,-0.27275821721093496,0.0
2018-10-04,-0.1632917854256179,-0.3256902199344876,-0.05377121708427277,-0.3137363338579997,1.0,-0.2705789764750925,0.0
2018-10-05,-0.1604904227562947,-0.3239929575970982,-0.05095136075345226,-0.3146596525465074,1.0,-0.2711112996627283,0.0
2018-10-08,-0.15978136519639,-0.32274056184059996,-0.04987076818778865,-0.3154103639676285,1.0,-0.2707300538112792,0.0
2018-10-09,-0.16050088990592423,-0.32278159166031023,-0.05146622595135181,-0.3146453089244851,1.0,-0.2694508009153318,0.0
2018-10-10,-0.16231742734191168,-0.3217518495749687,-0.05333559451381086,-0.31598583935725943,1.0,-0.2664871854662625,0.0
2018-10-11,-0.14608214389746577,-0.3177146186176189,-0.03451791436061754,-0.3121801007032583,1.0,-0.27015105488743707,0.0
2018-10-12,-0.1450112885519584,-0.3160794548354357,-0.032353611300979725,-0.31065266471965036,1.0,-0.26719691791462125,0.0
2018-10-15,-0.1375581515558772,-0.3277163237878631,-0.02222681691305696,-0.3110307040215032,1.0,-0.26905820324614904,0.0
2018-10-16,-0.13678094371614077,-0.33094164840163764,-0.019829618295355858,-0.31117406228030275,1.0,-0.26901286133741364,0.0
2018-10-17,-0.13227784499907713,-0.3201944176698591,-0.016283505260351508,-0.3104530259838805,1.0,-0.2715900002050819,0.0
2018-10-18,-0.13249651324965134,-0.32061694970875376,-0.015998031011567805,-0.31025925014357203,1.0,-0.2716383624579539,0.0
2018-10-19,-0.1298340282887744,-0.318616629874908,-0.013449431771727577,-0.31099255988880714,1.0,-0.27107350175782846,0.0
2018-10-22,-0.129471681904645,-0.32059070176515103,-0.01552432963122047,-0.30966844613528055,1.0,-0.27011106338589924,0.0
2018-10-23,-0.12914842247411712,-0.32092728239963986,-0.014506690673977984,-0.3107378156074805,1.0,-0.270777918729795,0.0
2018-10-24,-0.13002944062806673,-0.3186130192999673,-0.010283774942754334,-0.3125204448806019,1.0,-0.2730618253189402,0.0
2018-10-25,-0.11760814657418915,-0.30074570019644786,-0.008980475484103755,-0.31602052680110654,1.0,-0.26121557150302693,0.0
2018-10-26,-0.11113102706578241,-0.2968074724661927,-0.0,-0.3242118260938838,1.0,-0.2594650574575293,0.0
2018-10-29,-0.10292979985321248,-0.2993275544006507,-0.0,-0.3203538769761768,1.0,-0.26100410608374824,0.0
2018-10-30,-0.09985324448675234,-0.29934158337299693,-0.0,-0.3204624781849913,1.0,-0.26352530541012215,0.0
2018-10-31,-0.10129208155523944,-0.2930496285759443,-0.0,-0.31954322743796426,1.0,-0.2617946894262683,0.0
2018-11-01,-0.09218136238921458,-0.30025068593197923,-0.0,-0.31935808610173505,1.0,-0.262095102741754,0.0
2018-11-02,-0.09533544316238476,-0.2862028974112004,-0.0,-0.324199477129322,1.0,-0.25994142275863424,0.0
2018-11-05,-0.09306210691823899,-0.2926493710691824,-0.0,-0.3248820754716981,1.0,-0.254815251572327,0.0
2018-11-06,-0.09299811291083504,-0.2925184777480736,-0.0,-0.32503145148608276,1.0,-0.2551698380248467,0.0
2018-11-07,-0.09267554717277693,-0.2926441117529176,-0.0,-0.3243742386734253,1.0,-0.2550198436087862,0.0
2018-11-08,-0.08063571400679449,-0.2932758014760436,-0.0,-0.32057089304541375,1.0,-0.25793666289195205,0.0
2018-11-09,-0.08067791315213997,-0.2932872539831303,-0.0,-0.3206029365823181,1.0,-0.2579272102467979,0.0
