Date,EIX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2763563070376799,-0.4984603325681653,-0.0,-0.5643301046973853,-0.4602485863053581,0.0
2018-09-25,1.0,-0.275283103486938,-0.5001401502410584,-0.0,-0.5655622827671264,-0.4620192846731696,0.0
2018-09-26,1.0,-0.27403954167602784,-0.5002808357672432,-0.0,-0.5671197483711525,-0.4669175466187373,0.0
2018-09-27,1.0,-0.2754818617961451,-0.4965350840277193,-0.0,-0.5669556434643548,-0.46662738826698086,0.0
2018-09-28,1.0,-0.2765957446808511,-0.49629484084657266,-0.0,-0.5671700443496323,-0.46690619210688816,0.0
2018-10-01,1.0,-0.2766832952848003,-0.5026915814097686,-0.0,-0.5690933175502381,-0.46994165891603956,0.0
2018-10-02,1.0,-0.27707311573369414,-0.502283105022831,-0.0,-0.5691132532837252,-0.4701505158126163,0.0
2018-10-03,1.0,-0.27773529328461777,-0.49097912595236076,-0.0,-0.5790919647661937,-0.48452148299204123,0.0
2018-10-04,1.0,-0.2814172826918175,-0.4858526637777211,-0.0,-0.5836802900274733,-0.48134930750276145,0.0
2018-10-05,1.0,-0.26500183206967504,-0.4751543166380112,-0.0,-0.5897291355449703,-0.48868344654584406,0.0
2018-10-08,1.0,-0.26191348457094543,-0.4722558827673665,-0.0,-0.5950683387346766,-0.4888544455403692,0.0
2018-10-09,1.0,-0.25754754246374356,-0.4728006320185091,-0.0,-0.5978782235765476,-0.49328480334066926,0.0
2018-10-10,1.0,-0.2604816623845958,-0.47214771732685845,-0.0,-0.6002992744007454,-0.4904147491459386,0.0
2018-10-11,1.0,-0.19851218050029976,-0.4520954820426182,-0.0,-0.5795138699656658,-0.49482260613657425,0.0
2018-10-12,1.0,-0.19561642358396464,-0.4434529426037258,-0.0,-0.5721295123069042,-0.4847545358962608,0.0
2018-10-15,1.0,-0.1780214464242522,-0.45677121126609155,-0.0,-0.5685183692117499,-0.4842108092128249,0.0
2018-10-16,1.0,-0.17449393800908625,-0.4628619048899164,-0.0,-0.5675959031156752,-0.48329256162800077,0.0
2018-10-17,1.0,-0.15843360776862994,-0.4312328477939624,-0.0,-0.5619854338188727,-0.4871490394764619,0.0
2018-10-18,1.0,-0.15800860090230326,-0.43046724533678077,-0.0,-0.5626731393293407,-0.48716460438487724,0.0
2018-10-19,1.0,-0.14389523485898006,-0.4174660846381054,-0.0,-0.5657526727134903,-0.4867867318399247,0.0
2018-10-22,1.0,-0.14393780755941785,-0.40862213380797824,-0.0,-0.5721652183017485,-0.49280180085854886,0.0
2018-10-23,1.0,-0.14323121235925634,-0.4089028541503011,-0.0,-0.5730295888976171,-0.49334904425242204,0.0
2018-10-24,1.0,-0.14158690308070507,-0.4066112244364245,-0.0,-0.5733824990846802,-0.49359276112767403,0.0
2018-10-25,1.0,-0.10776399887958037,-0.368108782562196,-0.0,-0.5981513075806575,-0.4723587380000509,0.0
2018-10-26,1.0,-0.08721018720511389,-0.3631474811019228,-0.0,-0.6162041499670234,-0.47011820810714827,0.0
2018-10-29,1.0,-0.08203441295546558,-0.3622216599190283,-0.0,-0.6160931174089069,-0.47001518218623484,0.0
2018-10-30,1.0,-0.06526924833781657,-0.36573110693802974,-0.0,-0.6198040907476019,-0.48688017053240623,0.0
2018-10-31,1.0,-0.06831281935110374,-0.3499962244204486,-0.0,-0.6167535049963503,-0.48199048553953033,0.0
