Date,BWMX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-18,1.0,-1.444219316018911,-0.6888315834714803,-1.069933075458955,-1.8686068643703568,-0.06827531159820716,0.0
2020-05-19,1.0,-1.4886105482900474,-0.6010314975133543,-1.163504635598944,-1.886780868177074,-0.0,0.0
2020-05-20,1.0,-1.4928799410753744,-0.5891234961944513,-1.1681807021851214,-1.8877976921188313,-0.0,0.0
2020-05-21,1.0,-1.4925226771267466,-0.5617798480019613,-1.1842976219661683,-1.8903530277028682,-0.0,0.0
2020-05-22,1.0,-1.4916314143829317,-0.5699221384341855,-1.179817301207774,-1.8894610998712527,-0.0,0.0
2020-05-26,1.0,-1.4914485379758475,-0.5696070618525103,-1.1793048488935205,-1.8897811561331455,-0.0,0.0
2020-05-27,1.0,-1.4943994059038306,-0.5996039358871217,-1.1653567671266787,-1.9165171112073767,-0.012562658580357695,0.0
2020-05-28,1.0,-1.53591263650546,-0.5658658346333854,-1.2014976599063962,-1.9369734789391575,-0.0,0.0
2020-05-29,1.0,-1.5428535732133932,-0.5527861069465267,-1.2073963018490754,-1.9437781109445278,-0.0,0.0
2020-06-01,1.0,-1.5570862426872996,-0.5450713971189532,-1.2315531232307984,-1.9567842989243254,-0.0,0.0
2020-06-02,1.0,-1.5567295597484276,-0.5428930817610063,-1.231761006289308,-1.9579245283018867,-0.0,0.0
2020-06-03,1.0,-1.5562822286504843,-0.5413784429631493,-1.2358822789586217,-1.9549742170796127,-0.0,0.0
2020-06-04,1.0,-1.5585387323943665,-0.5270372233400403,-1.25125754527163,-1.9508928571428572,-0.0,0.0
2020-06-05,1.0,-1.5513231504180023,-0.5326544723112703,-1.2453956879753598,-1.956376893582249,-0.0,0.0
2020-06-08,1.0,-1.5768986537973075,-0.4825374650749301,-1.318770637541275,-1.971742443484887,-0.0,0.0
2020-06-09,1.0,-1.5809747429876888,-0.4742987688792994,-1.3221855565427085,-1.9685239243558825,-0.0,0.0
2020-06-10,1.0,-1.5847296268088347,-0.4668697638994669,-1.3264153338410765,-1.9688372683422186,-0.0,0.0
2020-06-11,1.0,-1.6263587830449606,-0.4299221714800283,-1.3878561780407794,-1.987907634913488,-0.0,0.0
2020-06-12,1.0,-1.5931064791562026,-0.3221371170266198,-1.428867403314917,-1.934141135107986,-0.0,0.0
2020-06-15,1.0,-1.595305341115923,-0.3072240005021026,-1.4382100043933974,-1.935605347392205,-0.0,0.0
2020-06-16,1.0,-1.6180498579993687,-0.2862101609340486,-1.4411486273272325,-1.9656674029662353,-0.0,0.0
