Date,IWF,IWM,MTUM,SPY,VLUE,VOD,VXX
2018-09-24,-0.2714028622846859,-0.46779215585454337,-0.0,-0.5859113891507413,-0.5314365698288914,1.0,0.0
2018-09-25,-0.27187044811926997,-0.4675120669465627,-0.0,-0.5856681803901408,-0.5310313312198327,1.0,0.0
2018-09-26,-0.2716782817319776,-0.4673826116759968,-0.0,-0.5857420313035532,-0.5313321147035303,1.0,0.0
2018-09-27,-0.270925677028225,-0.47073121907975635,-0.0,-0.586147730847322,-0.5318710858188681,1.0,0.0
2018-09-28,-0.2712349139163759,-0.47074300749299314,-0.0,-0.586083624091975,-0.5318595206772293,1.0,0.0
2018-10-01,-0.2775505501468979,-0.4733567601820382,-0.0,-0.5933233481191313,-0.5360907886398987,1.0,0.0
2018-10-02,-0.276447163386622,-0.48430195648409996,-0.0,-0.5911005944479714,-0.5338200496335199,1.0,0.0
2018-10-03,-0.2777199676263152,-0.4902300844028212,-0.0,-0.5906174124176206,-0.5319690137588161,1.0,0.0
2018-10-04,-0.27770067083044186,-0.49115197779319925,-0.0,-0.5901572981725653,-0.532529493407356,1.0,0.0
2018-10-05,-0.26336251583918907,-0.4821161156548785,-0.0,-0.5952655224052529,-0.5391083976500404,1.0,0.0
2018-10-08,-0.26102455010636466,-0.47907204047605356,-0.0,-0.596561835221066,-0.5380612890243202,1.0,0.0
2018-10-09,-0.28,-0.49372177713037146,-0.0,-0.6023889293517845,-0.5372177713037145,1.0,0.0
2018-10-10,-0.27825806640682244,-0.5012747999882777,-0.0,-0.6049585323681974,-0.5460832869325676,1.0,0.0
2018-10-11,-0.20258198374733447,-0.5044666013486254,-0.0,-0.5972278254855627,-0.5774018788542447,1.0,0.0
2018-10-12,-0.20837010676156584,-0.49648398576512454,-0.0,-0.5825195729537366,-0.5596014234875445,1.0,0.0
2018-10-15,-0.19136731506460317,-0.5096975720573619,-0.0,-0.5790998154195655,-0.5595342893653272,1.0,0.0
2018-10-16,-0.18188575676139287,-0.5353936760249299,-0.0,-0.580822231116702,-0.5608382411801704,1.0,0.0
2018-10-17,-0.16288177617491265,-0.5021413276231262,-0.0,-0.5799898568691536,-0.5725233855516736,1.0,0.0
2018-10-18,-0.16303122534099876,-0.5028745350016909,-0.0,-0.5796415285762597,-0.5726242813662497,1.0,0.0
2018-10-19,-0.15099037600716203,-0.49311772605192483,-0.0,-0.5811604744852283,-0.5724037600716204,1.0,0.0
2018-10-22,-0.1514147765551314,-0.48181001571973947,-0.0,-0.591763979339771,-0.5821356388951269,1.0,0.0
2018-10-23,-0.14557911723903627,-0.4893689306644772,-0.0,-0.6045695195492766,-0.591659352792956,1.0,0.0
2018-10-24,-0.14385964912280702,-0.48862478777589136,-0.0,-0.6050933786078099,-0.5920769666100736,1.0,0.0
2018-10-25,-0.11877183811593804,-0.4537100723581038,-0.0,-0.6083308113461908,-0.5704459790354086,1.0,0.0
2018-10-26,-0.10415701240288947,-0.44399618372631866,-0.0,-0.6141202126209622,-0.5636363636363636,1.0,0.0
