Date,IWF,IWM,MTUM,SPY,UPS,VLUE,VXX
2018-09-24,-0.35431738623103853,-0.5435530921820303,-0.025437572928821473,-0.49824970828471415,1.0,-0.4955659276546091,0.0
2018-09-25,-0.35388027901818286,-0.544494060648513,-0.02445787000554534,-0.49908064092461263,1.0,-0.4966873887283659,0.0
2018-09-26,-0.35342057603552024,-0.5444295145177309,-0.022316994800490743,-0.5004089501665011,1.0,-0.5004965823450371,0.0
2018-09-27,-0.3567027768855666,-0.5370981399830642,-0.02455689549449587,-0.5009489882325459,1.0,-0.500656991853301,0.0
2018-09-28,-0.3557580004671806,-0.5377540294323756,-0.02502335902826442,-0.5007591684185938,1.0,-0.5005839757066106,0.0
2018-10-01,-0.3559143866616054,-0.5375361345519316,-0.025199287528834644,-0.500773790404999,1.0,-0.500540193301603,0.0
2018-10-02,-0.35729096696942264,-0.5256855816126865,-0.029613621097514677,-0.5038988347302941,1.0,-0.5039572442393622,0.0
2018-10-03,-0.3570385940328137,-0.5227126758918665,-0.029427220178665267,-0.5046709873299469,1.0,-0.5055176037834997,0.0
2018-10-04,-0.3572220924801495,-0.5222442783745913,-0.029804997664642695,-0.5047874824848202,1.0,-0.5051669780476413,0.0
2018-10-05,-0.348438136234076,-0.515996742481531,-0.01942877086847769,-0.5112849746960618,1.0,-0.5133500087254959,0.0
2018-10-08,-0.3470507942961693,-0.5133157145761333,-0.01600209101733802,-0.5145935585049225,1.0,-0.5131995469462434,0.0
2018-10-09,-0.3443214909726267,-0.5168025626092021,-0.005853232382061736,-0.5222189866045428,1.0,-0.5228596389050669,0.0
2018-10-10,-0.344205958586947,-0.5171098232227626,-0.005300404811136674,-0.5223519818271835,1.0,-0.5233421673413519,0.0
2018-10-11,-0.2904856574836694,-0.507526270945754,-0.0,-0.5062766259585345,1.0,-0.5358420903152513,0.0
2018-10-12,-0.29045795076888414,-0.5014645412043035,-0.0,-0.4976060384160424,1.0,-0.5269250267560412,0.0
2018-10-15,-0.28698857560920704,-0.5031234171872362,-0.0,-0.4968765828127638,1.0,-0.5269007822612415,0.0
2018-10-16,-0.2835795694385817,-0.5087097228084986,-0.0,-0.4959335866047559,1.0,-0.5259040382721261,0.0
2018-10-17,-0.26997528258394204,-0.4829061015913573,-0.0,-0.49270975088177305,1.0,-0.5316188518899103,0.0
2018-10-18,-0.2691741437262146,-0.4813189255257091,-0.0,-0.49515264312897583,1.0,-0.5322092280341121,0.0
2018-10-19,-0.26543911705166245,-0.479742658273481,-0.0,-0.4952996311804997,1.0,-0.5325975430520508,0.0
2018-10-22,-0.26534301048357944,-0.46800700759155756,-0.0,-0.50557548455271,1.0,-0.5418647979755847,0.0
2018-10-23,-0.264699338043055,-0.46812593869944924,-0.0,-0.5062301830116259,1.0,-0.5422762418646048,0.0
2018-10-24,-0.2638371252155532,-0.46851532513767585,-0.0,-0.5064805028647716,1.0,-0.5424987484007342,0.0
2018-10-25,-0.25776697688547684,-0.4604401977299715,-0.0,-0.5056474551931734,1.0,-0.5377371516942366,0.0
2018-10-26,-0.24072906673975608,-0.4520213786487598,-0.0,-0.5158284226394408,1.0,-0.5322461285459777,0.0
2018-10-29,-0.23653677758318742,-0.4521398861646235,-0.0,-0.5147219789842382,1.0,-0.5330560420315237,0.0
2018-10-30,-0.23007687467512924,-0.4522474215522666,-0.0,-0.515032965830438,1.0,-0.5383963012611823,0.0
2018-10-31,-0.23150923856761324,-0.44443233226140516,-0.0,-0.5133809342126778,1.0,-0.5359186788030741,0.0
2018-11-01,-0.21357345248474283,-0.4597046643417611,-0.0,-0.5139221883173496,1.0,-0.5372711421098518,0.0
2018-11-02,-0.2168854415274463,-0.4429919722282491,-0.0,-0.518225211542634,1.0,-0.5339553048383597,0.0
2018-11-05,-0.21816060137317161,-0.44014762951504793,-0.0,-0.5184129827132351,1.0,-0.5370566365437325,0.0
2018-11-06,-0.21755300377338005,-0.4396394929011592,-0.0,-0.5192333794825855,1.0,-0.5382360127046176,0.0
2018-11-07,-0.21822731105006934,-0.44067012972884767,-0.0,-0.5213359079659495,1.0,-0.5394489923576926,0.0
2018-11-08,-0.20940934437767308,-0.4394726869146229,-0.0,-0.517513940772021,1.0,-0.5405771208922093,0.0
2018-11-09,-0.20863114576564867,-0.4396794455273987,-0.0,-0.5186538878059346,1.0,-0.5404212692224388,0.0
2018-11-12,-0.20815653630982947,-0.4354476906029567,-0.0,-0.5195805518769763,1.0,-0.5394448798681116,0.0
2018-11-13,-0.1946950171821306,-0.43102985395189003,-0.0,-0.5206722508591065,1.0,-0.5382839347079038,0.0
2018-11-14,-0.19746971736204574,-0.4316016150740243,-0.0,-0.5234993270524899,1.0,-0.5392193808882907,0.0
2018-11-15,-0.19707440372153054,-0.43273548629971226,-0.0,-0.5268762268412702,1.0,-0.532254161176692,0.0
2018-11-16,-0.19561424698714336,-0.42840271626808385,-0.0,-0.5258609120433744,1.0,-0.5342083366884076,0.0
2018-11-19,-0.1949798657718121,-0.42875167785234897,-0.0,-0.5263892617449665,1.0,-0.534469798657718,0.0
2018-11-20,-0.1468885672937771,-0.42407675403333867,-0.0,-0.5401993889692877,1.0,-0.5687945543227743,0.0
