Date,IWF,IWM,MTUM,NRK,SPY,VLUE,VXX
2018-09-24,-0.0841277070213735,-0.21095528997911336,-0.0,1.0,-0.15321073543037517,-0.12214771424533193,0.0
2018-09-25,-0.08435929648241206,-0.21085113065326633,-0.0,1.0,-0.15314070351758793,-0.1220006281407035,0.0
2018-09-26,-0.08470078356861328,-0.21115525336432014,-0.0,1.0,-0.1531020837586169,-0.12131966144811016,0.0
2018-09-27,-0.08747271385272548,-0.2069350000785213,-0.0,1.0,-0.15407446958870552,-0.12194355889881747,0.0
2018-09-28,-0.08646805568649635,-0.20829012287483112,-0.0,1.0,-0.15428490619402283,-0.12226202822035763,0.0
2018-10-01,-0.08614067124236509,-0.21036143819658712,-0.0,1.0,-0.15460298469869657,-0.12310307915118696,0.0
2018-10-02,-0.08662310054326432,-0.2090544051649476,-0.0,1.0,-0.1552161247145894,-0.12376978190693647,0.0
2018-10-03,-0.08628642496182364,-0.2056170400340045,-0.0,1.0,-0.15640496843563545,-0.12597408730970858,0.0
2018-10-04,-0.08929584567862321,-0.20216856836663938,-0.0,1.0,-0.16062535459875182,-0.12390468385551283,0.0
2018-10-05,-0.08847833600402175,-0.20138561598642662,-0.0,1.0,-0.15917302918905332,-0.12194049077827002,0.0
2018-10-08,-0.08840898382283649,-0.20135071462227108,-0.0,1.0,-0.15900738181247054,-0.12181561174807601,0.0
2018-10-09,-0.0890616411464468,-0.2014605418138987,-0.0,1.0,-0.15874361994503336,-0.12122497055359245,0.0
2018-10-10,-0.08962345591813031,-0.2008758299194802,-0.0,1.0,-0.15895214327196247,-0.12013624020969692,0.0
2018-10-11,-0.07207840858702466,-0.1919236708918824,-0.0,1.0,-0.14843809727680005,-0.11658843136955092,0.0
2018-10-12,-0.07542736651856315,-0.18638451690639354,-0.0,1.0,-0.13880563295428872,-0.10551999397544995,0.0
2018-10-15,-0.06483288790126424,-0.1954145521155521,-0.0,1.0,-0.13612203837722592,-0.10507191976216931,0.0
2018-10-16,-0.06679994588663249,-0.19318472199257442,-0.0,1.0,-0.13711726066108496,-0.10604716881867512,0.0
2018-10-17,-0.0631101969026219,-0.18555948068982994,-0.0,1.0,-0.13537241574624753,-0.10651522604301748,0.0
2018-10-18,-0.06291820037852257,-0.18514820499828621,-0.0,1.0,-0.13568692904937188,-0.1064930032934444,0.0
2018-10-19,-0.05692400785158729,-0.17850554186283335,-0.0,1.0,-0.13551367386395502,-0.10491904895435158,0.0
2018-10-22,-0.05678983185958282,-0.17513765666287773,-0.0,1.0,-0.1375090417915295,-0.10678909375415185,0.0
2018-10-23,-0.05641684384597213,-0.17520080321285142,-0.0,1.0,-0.13787502952988426,-0.10700153555398063,0.0
2018-10-24,-0.05596426307331673,-0.1744386619292633,-0.0,1.0,-0.13741909802591812,-0.10647363222220586,0.0
2018-10-25,-0.044211826196835245,-0.15684500732316703,-0.0,1.0,-0.1403894201774791,-0.0944832141523793,0.0
2018-10-26,-0.03948570123865517,-0.15331925338204233,-0.0,1.0,-0.14203150864775385,-0.09217135681260344,0.0
2018-10-29,-0.0338971026419592,-0.1543318482363291,-0.0,1.0,-0.1382700984704447,-0.09236924997871677,0.0
2018-10-30,-0.03678245803391371,-0.15462834095492375,-0.0,1.0,-0.13845258045275086,-0.09032294714119352,0.0
2018-10-31,-0.03836317135549872,-0.14829520566333668,-0.0,1.0,-0.13765525427081715,-0.08868039168586003,0.0
2018-11-01,-0.03546770208259795,-0.15038475114719377,-0.0,1.0,-0.13743734557006707,-0.08864101659018708,0.0
2018-11-02,-0.03644990074476622,-0.14534908276900985,-0.0,1.0,-0.13853496459192724,-0.0875417083163215,0.0
