Date,CAH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5167191188040913,-1.2854543666404403,-0.0,-1.0154405979543666,-1.0997738001573563,0.0
2018-09-25,1.0,-0.516332152695789,-1.2862554112554112,-0.0,-1.016086186540732,-1.1006493506493507,0.0
2018-09-26,1.0,-0.5155496506249385,-1.2860446806416692,-0.0,-1.0165338057277826,-1.1025981694715086,0.0
2018-09-27,1.0,-0.5230875258442453,-1.2755242689770603,-0.0,-1.0195431721965147,-1.1045584326080535,0.0
2018-09-28,1.0,-0.524273756770064,-1.2750369276218612,-0.0,-1.0197439684884293,-1.104628261939931,0.0
2018-10-01,1.0,-0.5243818343020392,-1.276327455423111,-0.0,-1.0198502610580238,-1.105063540537878,0.0
2018-10-02,1.0,-0.5271348369939919,-1.266325224071703,-0.0,-1.0229981286319314,-1.1081946222791295,0.0
2018-10-03,1.0,-0.5262872895540022,-1.2552426897706017,-0.0,-1.0265334252239835,-1.114699222211283,0.0
2018-10-04,1.0,-0.5302337023370234,-1.2483148831488315,-0.0,-1.0309963099630997,-1.1105043050430505,0.0
2018-10-05,1.0,-0.5045305382769262,-1.2358328843610717,-0.0,-1.0364892001763237,-1.1210265954841554,0.0
2018-10-08,1.0,-0.499853171495693,-1.231205951448708,-0.0,-1.0424334377447142,-1.1207909162098668,0.0
2018-10-09,1.0,-0.49426583022936676,-1.2325524406979023,-0.0,-1.046706528131739,-1.1275240148990393,0.0
2018-10-10,1.0,-0.49615365770003433,-1.2312215199176835,-0.0,-1.0479690332696359,-1.1244548973492088,0.0
2018-10-11,1.0,-0.37320551342585967,-1.2246387179854057,-0.0,-1.0181714122192016,-1.153431582963705,0.0
2018-10-12,1.0,-0.36295634173880315,-1.2110933383515243,-0.0,-0.9970831765148663,-1.1334211516748212,0.0
2018-10-15,1.0,-0.3305347091932458,-1.2367729831144467,-0.0,-0.9895872420262665,-1.1335365853658537,0.0
2018-10-16,1.0,-0.3271431251172388,-1.2419808666291503,-0.0,-0.9882292252860626,-1.1321984618270493,0.0
2018-10-17,1.0,-0.2945796968305007,-1.1858520900321543,-0.0,-0.9758383096003674,-1.1372071658245293,0.0
