Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZEN
2018-09-24,-0.7950893257922614,-1.1551755094712273,-0.458479217164916,-0.6257294191579136,-0.4542598078822156,0.0,1.0
2018-09-25,-0.8007278936017254,-1.1530823148813805,-0.4658968368080518,-0.6237868439971244,-0.4496764917325665,0.0,1.0
2018-09-26,-0.809860111367649,-1.1685454298519626,-0.4755308071890986,-0.6302231880121327,-0.44293539770926704,0.0,1.0
2018-09-27,-0.8114794879913156,-1.162377312406712,-0.4770907775114207,-0.6297435433533854,-0.4423537925731602,0.0,1.0
2018-09-28,-0.8078315980081484,-1.1668628338614757,-0.4777727478497057,-0.6306926210955183,-0.44377546401086465,0.0,1.0
2018-10-01,-0.8083748302399275,-1.165866908103214,-0.47772747849705743,-0.6311000452693526,-0.44391127206880937,0.0,1.0
2018-10-02,-0.8084932254251159,-1.194462126034373,-0.4702191506774575,-0.6306265345094116,-0.442938983359098,0.0,1.0
2018-10-03,-0.8094327597195667,-1.200400619138669,-0.4711372120549941,-0.6302467449694984,-0.4413184011654375,0.0,1.0
2018-10-04,-0.8127502730251183,-1.1933927921368765,-0.47178740444120854,-0.634919912631962,-0.4375227520931925,0.0,1.0
2018-10-05,-0.8028188162784374,-1.1883440587328924,-0.46061814556331004,-0.6389014773860238,-0.44117647058823534,0.0,1.0
2018-10-08,-0.8011489573438277,-1.1851449767042115,-0.4578640249694667,-0.6400235219613698,-0.4392726285791831,0.0,1.0
2018-10-09,-0.8098505156981235,-1.1909218955881684,-0.4707165250579308,-0.6385115180153573,-0.4336407833159162,0.0,1.0
2018-10-10,-0.8099327517266448,-1.1915212649945475,-0.4703289712831698,-0.6384496546710287,-0.4335241730279898,0.0,1.0
2018-10-11,-0.7661454192066437,-1.1897694142592103,-0.4108136761197986,-0.6154695644491563,-0.43510910857849633,0.0,1.0
2018-10-12,-0.7800314053912588,-1.1838087760621128,-0.41066910930820905,-0.5872371979412021,-0.4001134083573236,0.0,1.0
2018-10-15,-0.7796669282413462,-1.1883337692911327,-0.4074025634318598,-0.5862760484785072,-0.39789868340744616,0.0,1.0
2018-10-16,-0.7812431842966194,-1.1842966194111233,-0.41094874591057795,-0.5868266085059979,-0.3987350054525627,0.0,1.0
