Date,GPC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20809555072976113,-0.4712893288217767,-0.01815564870461088,-0.3803090752992273,-0.44727539013181156,0.0
2018-09-25,1.0,-0.20669994678559667,-0.47624356992626005,-0.013810404682867497,-0.38458809517776144,-0.45267719129311,0.0
2018-09-26,1.0,-0.20632224700872034,-0.4759937132427499,-0.01244676536199554,-0.38526668018657473,-0.45495335631717704,0.0
2018-09-27,1.0,-0.21036616289684554,-0.4684045034993407,-0.01485951922101633,-0.38649964499442135,-0.4556243026676134,0.0
2018-09-28,1.0,-0.20965615173952734,-0.46896236940866215,-0.015239882341008216,-0.3863728572877574,-0.4555228725022822,0.0
2018-10-01,1.0,-0.2099657664511221,-0.46859388867757074,-0.015316343349816155,-0.38650944592367187,-0.4554329909978446,0.0
2018-10-02,1.0,-0.21036082866343792,-0.4656540811927885,-0.016608768415447422,-0.38704769632578545,-0.45599310292365036,0.0
2018-10-03,1.0,-0.21034736494887213,-0.45659841161097153,-0.014970439724949887,-0.3918956636472051,-0.46355078531374483,0.0
2018-10-04,1.0,-0.22098219986209364,-0.4501877059018822,-0.015297392547948005,-0.40743672906504586,-0.45991776693822306,0.0
2018-10-05,1.0,-0.21260243294141598,-0.44510612307222475,-0.006744032167760981,-0.412963811268896,-0.4675268488827811,0.0
2018-10-08,1.0,-0.2123385573536168,-0.44524988513961916,-0.0,-0.4235795599571187,-0.4710551840318546,0.0
2018-10-09,1.0,-0.2091408145027448,-0.44519341248563765,-0.0,-0.42512447338184606,-0.4738414400612792,0.0
2018-10-10,1.0,-0.20727803528899588,-0.44899997439114964,-0.0,-0.4256703116597096,-0.47893672053061537,0.0
2018-10-11,1.0,-0.16541409890275066,-0.44042787714815373,-0.0,-0.41211984568365145,-0.48717370609749994,0.0
2018-10-12,1.0,-0.1646573367471227,-0.435979020109871,-0.0,-0.4046583310547118,-0.4804742847199781,0.0
2018-10-15,1.0,-0.14929297940957578,-0.4490449020094269,-0.0,-0.4014388489208633,-0.48097246340858346,0.0
2018-10-16,1.0,-0.141256721768572,-0.46659032065325634,-0.0,-0.4012646883091018,-0.48045708026289585,0.0
2018-10-17,1.0,-0.12860130397342848,-0.4440398573010211,-0.0,-0.399876983638824,-0.48778447533521957,0.0
2018-10-18,1.0,-0.13117631065081445,-0.4517141656573646,-0.0,-0.39874434584867885,-0.4901253182391181,0.0
2018-10-19,1.0,-0.1129328878182713,-0.4775299816095526,-0.0,-0.4585696894345585,-0.5411712901805372,0.0
2018-10-22,1.0,-0.11291868507628941,-0.4702484262881123,-0.0,-0.46260653317099704,-0.5446985985545165,0.0
2018-10-23,1.0,-0.11276909924613351,-0.47029869692495013,-0.0,-0.4627600321235201,-0.5447786326779099,0.0
2018-10-24,1.0,-0.11109098437014803,-0.4675499430700756,-0.0,-0.46296967187661736,-0.5461132387951558,0.0
2018-10-25,1.0,-0.08589669181659897,-0.4364985238083222,-0.0,-0.4727093794948144,-0.5282495142446189,0.0
2018-10-26,1.0,-0.07631638248328701,-0.42900423145296573,-0.0,-0.47572548135907256,-0.5227471894639325,0.0
2018-10-29,1.0,-0.07263995197358547,-0.4290109560258142,-0.0,-0.4759617789784381,-0.5237630696883285,0.0
2018-10-30,1.0,-0.05687512527560634,-0.43132391260773706,-0.0,-0.478602926438164,-0.538685107235919,0.0
2018-10-31,1.0,-0.06507765800465198,-0.4127003976690093,-0.0,-0.48405572368256505,-0.5392291723982693,0.0
2018-11-01,1.0,-0.05028994201159768,-0.4249900019996001,-0.0,-0.4841781643671266,-0.5400669866026795,0.0
