Date,IWF,IWM,MTUM,OTTR,SPY,VLUE,VXX
2018-09-24,-0.2171530346622825,-0.7333333333333333,-0.0,1.0,-0.47198246335114397,-0.31760515139060147,0.0
2018-09-25,-0.2172840859272249,-0.7332310390179746,-0.0,1.0,-0.47194213064445417,-0.31756904866286717,0.0
2018-09-26,-0.21635775389339768,-0.7329184031585874,-0.0,1.0,-0.4724994516341303,-0.32005373985523144,0.0
2018-09-27,-0.21603972892144757,-0.7345186160726535,-0.0,1.0,-0.47274124070568224,-0.32041045902269044,0.0
2018-09-28,-0.21684597650675155,-0.7340816774618508,-0.0,1.0,-0.47291140630146006,-0.3206993083763311,0.0
2018-10-01,-0.21660113826950045,-0.7371807209040171,-0.0,1.0,-0.4734816199719557,-0.32217975859888376,0.0
2018-10-02,-0.2154720520885063,-0.7519726314627821,-0.0,1.0,-0.4713899464768527,-0.3200904927440269,0.0
2018-10-03,-0.21537227569421394,-0.7407899103883173,-0.0,1.0,-0.4785374488328355,-0.3310930412656267,0.0
2018-10-04,-0.22230540997698472,-0.7346310623076283,-0.0,1.0,-0.48809028644316893,-0.3278706707705959,0.0
2018-10-05,-0.20837127169384434,-0.728582071020611,-0.0,1.0,-0.49129487073365896,-0.33087768672571255,0.0
2018-10-08,-0.20545183384887317,-0.7266902342023862,-0.0,1.0,-0.49792863455589925,-0.3317222713212549,0.0
2018-10-09,-0.19976742254340063,-0.7283273804579561,-0.0,1.0,-0.5023673062546723,-0.33834482376720104,0.0
2018-10-10,-0.20211027721620647,-0.7276302306904094,-0.0,1.0,-0.5041402420449196,-0.33551192223545373,0.0
2018-10-11,-0.15267667678422736,-0.717639474603132,-0.0,1.0,-0.48489081092696557,-0.330871095114024,0.0
2018-10-12,-0.1477430741255749,-0.7189004171569152,-0.0,1.0,-0.48272542517916356,-0.3247406139694085,0.0
2018-10-15,-0.1121595827620507,-0.7633411296609942,-0.0,1.0,-0.4817055138855284,-0.33118262225448286,0.0
2018-10-16,-0.11104241707435084,-0.7649857534541153,-0.0,1.0,-0.481237567872695,-0.3307617870006989,0.0
2018-10-17,-0.10069250975085568,-0.7453633686221444,-0.0,1.0,-0.47626628459232134,-0.3309984345565019,0.0
2018-10-18,-0.10049877958187414,-0.7453040432983127,-0.0,1.0,-0.47636103151862463,-0.33091902791043193,0.0
2018-10-19,-0.08604583848643528,-0.73757334947241,-0.0,1.0,-0.4789885009078231,-0.3287898323816541,0.0
2018-10-22,-0.08624327460702606,-0.7271072897985019,-0.0,1.0,-0.48734043675493194,-0.3367180082287161,0.0
2018-10-23,-0.08575799941966288,-0.7272415521380148,-0.0,1.0,-0.48785248885488935,-0.3370439737265557,0.0
2018-10-24,-0.08428967154728928,-0.7290858725761773,-0.0,1.0,-0.48840522358527894,-0.33639361561799236,0.0
2018-10-25,-0.05527689630463712,-0.6948766506295424,-0.0,1.0,-0.49790152523287956,-0.31103490633637015,0.0
2018-10-26,-0.040364088131639664,-0.6850231992089449,-0.0,1.0,-0.5048299992393702,-0.30519003067873535,0.0
2018-10-29,-0.019377005280044463,-0.6973953464871283,-0.0,1.0,-0.49781471843973424,-0.31172473031351844,0.0
2018-10-30,-0.008315430304562112,-0.6983444963983318,-0.0,1.0,-0.49910274232276003,-0.32169847087071907,0.0
2018-10-31,-0.012022187084305901,-0.6826544185929775,-0.0,1.0,-0.497477599578345,-0.31772205908189644,0.0
2018-11-01,-0.0,-0.7177448041058998,-0.0,1.0,-0.4994410285075461,-0.32359367854057625,0.0
2018-11-02,-0.0,-0.6912230070124807,-0.0,1.0,-0.5166451482240957,-0.3237133237133238,0.0
2018-11-05,-0.0,-0.6966721498165254,-0.0,1.0,-0.5160571934708338,-0.31795520688346196,0.0
2018-11-06,-0.0,-0.697165991902834,-0.0,1.0,-0.5157135627530364,-0.3174848178137652,0.0
2018-11-07,-0.0,-0.7249358000104816,-0.0,1.0,-0.5508359100676066,-0.3446098212881924,0.0
2018-11-08,-0.0,-0.720258822306533,-0.0,1.0,-0.5374980510368484,-0.3408866483031027,0.0
2018-11-09,-0.0,-0.7207251729698798,-0.0,1.0,-0.5392238464339593,-0.34110180512927224,0.0
2018-11-12,-0.0,-0.7071332366348942,-0.0,1.0,-0.5447316618317447,-0.33829776212184004,0.0
2018-11-13,-0.0,-0.7019346882145885,-0.0,1.0,-0.5391433930269006,-0.32822897664499884,0.0
2018-11-14,-0.0,-0.7015799614643545,-0.0,1.0,-0.5393705844572897,-0.32809248554913295,0.0
2018-11-15,-0.0,-0.701762035445895,-0.0,1.0,-0.5404601297801944,-0.32260381133140115,0.0
2018-11-16,-0.0,-0.695867980043495,-0.0,1.0,-0.5382627606498658,-0.3243955481642574,0.0
2018-11-19,-0.0,-0.6972989595612731,-0.0,1.0,-0.5399774486187279,-0.3253549279893393,0.0
2018-11-20,-0.0,-0.689231553459921,-0.0,1.0,-0.5335797119918441,-0.32590799031477,0.0
2018-11-21,-0.0,-0.6858990552215429,-0.0,1.0,-0.5326630626989339,-0.3075834891123124,0.0
2018-11-23,-0.0,-0.6747033577379449,-0.0,1.0,-0.5396364554405453,-0.31027518303458723,0.0
2018-11-26,-0.0,-0.679645481402924,-0.0,1.0,-0.5374340327752948,-0.307981718556675,0.0
2018-11-27,-0.0,-0.6805628847845206,-0.0,1.0,-0.5307953260459857,-0.3015454202789295,0.0
2018-11-28,-0.0,-0.6805639324487334,-0.0,1.0,-0.5307348210695617,-0.30176919983916367,0.0
2018-11-29,-0.0,-0.6741238814177872,-0.0,1.0,-0.5253461980702894,-0.30015497675348696,0.0
2018-11-30,-0.0,-0.6747997997997998,-0.0,1.0,-0.5253503503503504,-0.30235235235235236,0.0
2018-12-03,-0.0,-0.6750456923962846,-0.0,1.0,-0.5258255927493053,-0.30284669888084925,0.0
2018-12-04,-0.0,-0.6750949430341795,-0.0,1.0,-0.5229362382570458,-0.30046971816909857,0.0
2018-12-06,-0.0,-0.6500342935528121,-0.0,1.0,-0.5180286106212032,-0.2815010777973741,0.0
2018-12-07,-0.0,-0.6520160894731679,-0.0,1.0,-0.5217060727950554,-0.27894143039340724,0.0
2018-12-10,-0.0,-0.655742092457421,-0.0,1.0,-0.518345498783455,-0.25900243309002435,0.0
2018-12-11,-0.0,-0.65818759936407,-0.0,1.0,-0.5362847009905833,-0.251412498471322,0.0
