Date,IWF,IWM,KKR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.31056521475737564,-0.6777730659720118,1.0,-0.13788089901254014,-0.49848549100381656,-0.40431332162113043,0.0
2018-09-25,-0.31163325864470415,-0.6765578635014837,1.0,-0.13973838793677706,-0.49736571186338036,-0.40262217646702597,0.0
2018-09-26,-0.3112410262623815,-0.6764002059794627,1.0,-0.13827885984309213,-0.49813709750704277,-0.4050525550540697,0.0
2018-09-27,-0.3122029485665849,-0.6732055822964913,1.0,-0.1391638664365937,-0.49792631610813426,-0.4047770411406775,0.0
2018-09-28,-0.30829102186008334,-0.6828007661670367,1.0,-0.139886291082667,-0.5011401295187133,-0.40825757806086777,0.0
2018-10-01,-0.31044558071585093,-0.6818237156074993,1.0,-0.13945702459215972,-0.5029522766009252,-0.4089055271487704,0.0
2018-10-02,-0.31247335404105003,-0.6671843595834095,1.0,-0.14474084901638345,-0.5072172483098849,-0.4136670930020098,0.0
2018-10-03,-0.3121461187214612,-0.6607305936073059,1.0,-0.14383561643835616,-0.509558599695586,-0.41786910197869104,0.0
2018-10-04,-0.31096128618932856,-0.666249733060801,1.0,-0.14378107934958356,-0.5080386833033345,-0.4217334268891668,0.0
2018-10-05,-0.3040569308436227,-0.6634024694361657,1.0,-0.1369746365792835,-0.5116781217687489,-0.42506538531719484,0.0
2018-10-08,-0.30627385132040913,-0.6686307433979545,1.0,-0.1383910853304839,-0.5121966112043963,-0.42750725080140434,0.0
2018-10-09,-0.31289867517173703,-0.672565014720314,1.0,-0.1489511776251227,-0.5101815505397449,-0.4221356722276742,0.0
2018-10-10,-0.312315815324165,-0.6746377701375246,1.0,-0.1473784381139489,-0.5106520137524558,-0.4247298624754421,0.0
2018-10-11,-0.3071415458050303,-0.678814026069396,1.0,-0.13845541888501314,-0.5119331742243436,-0.42347469555106787,0.0
2018-10-12,-0.31549457871464054,-0.6750863165546066,1.0,-0.13734932461081836,-0.49681991640923134,-0.40393118904839787,0.0
2018-10-15,-0.3066759388038943,-0.6891515994436718,1.0,-0.12517385257301808,-0.4969764769909899,-0.40554514119852453,0.0
2018-10-16,-0.30390492359932086,-0.7077067669172932,1.0,-0.11272131942760125,-0.4999090468105748,-0.40753092408440456,0.0
2018-10-17,-0.2969327365037402,-0.6916814371977048,1.0,-0.10730915973202752,-0.49803226484813895,-0.4102202060864602,0.0
2018-10-18,-0.29689377553472723,-0.6917808219178082,1.0,-0.1071857726508051,-0.4980473443883681,-0.4102078827204999,0.0
2018-10-19,-0.2957767631863511,-0.6953622491889944,1.0,-0.10338820136969842,-0.4996095157995915,-0.4095878889823381,0.0
2018-10-22,-0.2946063086925114,-0.7024139176498917,1.0,-0.10992053936913075,-0.4959667710089093,-0.4069949434143993,0.0
2018-10-23,-0.2937543309933416,-0.7037449911120485,1.0,-0.10686631918291103,-0.49929197674068276,-0.40920731523605797,0.0
2018-10-24,-0.29328686164570383,-0.7151992726170632,1.0,-0.1104409759054402,-0.5022579178663433,-0.40957720866798,0.0
2018-10-25,-0.27775959048837834,-0.6942055295973335,1.0,-0.10833010922293981,-0.5031397875063243,-0.3926668849141395,0.0
2018-10-26,-0.2872266626451515,-0.705806062434022,1.0,-0.1156085055044488,-0.5048710601719197,-0.40265419996983864,0.0
2018-10-29,-0.28327562848110793,-0.709227758542827,1.0,-0.11154598825831702,-0.5036278789703448,-0.40298058106277285,0.0
2018-10-30,-0.3145737855178735,-0.7200733272227315,1.0,-0.12416743049190347,-0.5118240146654446,-0.3846318362358693,0.0
2018-10-31,-0.3149217585692996,-0.7478576751117735,1.0,-0.11847988077496274,-0.5247454048683557,-0.3987829110779931,0.0
2018-11-01,-0.3164875442629061,-0.7462260048456234,1.0,-0.12002236441572964,-0.5246940423681431,-0.3987388954463565,0.0
2018-11-02,-0.31577801281652457,-0.7502955266596154,1.0,-0.12057487712312574,-0.5242020780190381,-0.39995644870279345,0.0
2018-11-05,-0.32083242332532524,-0.7415369255249445,1.0,-0.11959065239774111,-0.5262238307697108,-0.4118748244984555,0.0
2018-11-06,-0.3216759218818244,-0.7418418918075748,1.0,-0.1194546702439633,-0.5256442253696887,-0.4111499344855556,0.0
2018-11-07,-0.3192517537022604,-0.7414809041309431,1.0,-0.12352299298519097,-0.5232735775526111,-0.4101636788776306,0.0
2018-11-08,-0.3122438842667329,-0.7427045821433006,1.0,-0.11681981870110517,-0.5207686576431144,-0.4118961877561157,0.0
2018-11-09,-0.3135427346444217,-0.7434057228073446,1.0,-0.11607170596824805,-0.5208624599993786,-0.41293068630192314,0.0
2018-11-12,-0.3132799403985845,-0.7417271993543181,1.0,-0.11566399701992923,-0.5213882163034705,-0.41214999689575965,0.0
2018-11-13,-0.31113936612293,-0.7453327544501643,1.0,-0.11083545245921975,-0.5231966755566582,-0.41065558518886064,0.0
2018-11-14,-0.31203870247472554,-0.7446504992867332,1.0,-0.11083545245921975,-0.5233517335483471,-0.4102834460088073,0.0
2018-11-15,-0.31186398610076943,-0.7454703400347481,1.0,-0.11017001737403823,-0.523548026805659,-0.4114854802680566,0.0
2018-11-16,-0.3096434108527132,-0.7371782945736434,1.0,-0.10359689922480621,-0.5271937984496124,-0.42316279069767443,0.0
2018-11-19,-0.3116939619006184,-0.7351378228036918,1.0,-0.11631809565244412,-0.5225457596569191,-0.42192112868641035,0.0
2018-11-20,-0.3045176893739729,-0.7355120771448947,1.0,-0.1078416173141918,-0.5255961055471148,-0.42721155933149363,0.0
