Date,EBSB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21394110358282145,-0.6573778703435185,-0.06706915188104717,-0.37668397880361715,-0.3212939284490259,0.0
2018-09-25,1.0,-0.2128329233780317,-0.6618794466925864,-0.0632124626411701,-0.3806501097622259,-0.32629797138247507,0.0
2018-09-26,1.0,-0.21249404667407526,-0.6617452505688733,-0.06199396729639625,-0.3813039106736519,-0.3283589987828756,0.0
2018-09-27,1.0,-0.21172664350685513,-0.6672412421437853,-0.06080776472460155,-0.382481635683789,-0.32960301254342467,0.0
2018-09-28,1.0,-0.20932207888729626,-0.6703296703296703,-0.06134203960290916,-0.38299623082231776,-0.3303604607952434,0.0
2018-10-01,1.0,-0.20915414432113844,-0.6707375351776137,-0.06159401051346041,-0.38289173259703707,-0.3305368236605958,0.0
2018-10-02,1.0,-0.20938321429519688,-0.6701006292647956,-0.06202373682393861,-0.3829222313676552,-0.3306959084512651,0.0
2018-10-03,1.0,-0.20943631680960093,-0.6696758091495632,-0.06215649310994875,-0.3829753338820593,-0.33088176725167934,0.0
2018-10-04,1.0,-0.2081912172244724,-0.676961202302281,-0.061900447665742916,-0.38155510552121086,-0.33606906842890644,0.0
2018-10-05,1.0,-0.20098221396336607,-0.6748871781258297,-0.055349084151844974,-0.3843111229094771,-0.33912928059463765,0.0
2018-10-08,1.0,-0.20011136448003394,-0.6738346502625021,-0.054197380283183966,-0.38487033992681763,-0.3385480193031765,0.0
2018-10-09,1.0,-0.1982273643986838,-0.675140643243817,-0.04861479673070799,-0.3884141810848105,-0.3432491242967838,0.0
2018-10-10,1.0,-0.2001221066043746,-0.6740815459757911,-0.0506211509874708,-0.3897855170949246,-0.3398810787853047,0.0
2018-10-11,1.0,-0.15690556032129768,-0.6868647482388418,-0.0,-0.3890145311809509,-0.3666848631365515,0.0
2018-10-12,1.0,-0.1543463116340274,-0.6861728203937353,-0.0,-0.38166008721005235,-0.35799984518925615,0.0
2018-10-15,1.0,-0.11971903996682391,-0.7284225804779432,-0.0,-0.379736664765953,-0.3640039396609818,0.0
2018-10-16,1.0,-0.11575262543757293,-0.7354077531440425,-0.0,-0.3788149876831324,-0.3630493971217425,0.0
2018-10-17,1.0,-0.1004398077119771,-0.7088575227574921,-0.0,-0.3767771299989772,-0.3709471207936995,0.0
2018-10-18,1.0,-0.09980055231666156,-0.7077068630459242,-0.0,-0.3783113429477345,-0.3712028229518257,0.0
