Date,BYD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.44235380926028406,-0.8865891901863124,-0.11252536432392547,-0.6331304187419295,-0.6147943183914407,0.0
2018-09-25,1.0,-0.44123627490849937,-0.8906429073163519,-0.10906133313616029,-0.6366963658545602,-0.6193574623830825,0.0
2018-09-26,1.0,-0.4435027203079315,-0.8938524741848329,-0.11292053739960768,-0.636589066952885,-0.6141974166327399,0.0
2018-09-27,1.0,-0.44565659554010584,-0.887467179468215,-0.11471469250397545,-0.6364409600236678,-0.6138086609223031,0.0
2018-09-28,1.0,-0.4442718733821463,-0.8883588491975446,-0.11530212262406626,-0.6361955476665927,-0.6137859625767325,0.0
2018-10-01,1.0,-0.4444773139074807,-0.88791923972932,-0.11551972784084606,-0.6362090004807159,-0.6136893096180157,0.0
2018-10-02,1.0,-0.4444403343937264,-0.8909521343493377,-0.11507731005400605,-0.6355700229340829,-0.6130428349485831,0.0
2018-10-03,1.0,-0.4442348938687967,-0.8887656238443902,-0.11504326603061904,-0.6359366910731455,-0.6139708601434806,0.0
2018-10-04,1.0,-0.44266617155588567,-0.8997400668399554,-0.11503898997400669,-0.6343483104344598,-0.6215744522836986,0.0
2018-10-05,1.0,-0.4317273534635879,-0.8948712255772647,-0.102797513321492,-0.6410597986974542,-0.6299585553582002,0.0
2018-10-08,1.0,-0.43947900291938025,-0.9113706115727226,-0.10655737704918034,-0.6460438655587994,-0.639344262295082,0.0
2018-10-09,1.0,-0.4404387541179994,-0.9117625037436357,-0.10841569332135369,-0.6451781970649895,-0.6378406708595388,0.0
2018-10-10,1.0,-0.445682764831701,-0.9114788547412661,-0.11268715524034673,-0.6498930541483733,-0.6327066681676611,0.0
2018-10-11,1.0,-0.40473225404732255,-0.9125705076551169,-0.055673577027324006,-0.6408321734671453,-0.6489268185480918,0.0
2018-10-12,1.0,-0.4343497199751089,-0.9234598630989422,-0.051466012665178085,-0.6246934368022256,-0.6264870602877118,0.0
2018-10-15,1.0,-0.4202024631802069,-0.9480320140335489,-0.030406022731425647,-0.625333479516135,-0.6305960603734971,0.0
2018-10-16,1.0,-0.41944089164991777,-0.9507399963456971,-0.028320847798282478,-0.625324319386077,-0.6304403435044765,0.0
2018-10-17,1.0,-0.4071750495763476,-0.9219397872723994,-0.017991707229132865,-0.6221020371371913,-0.6363079141878493,0.0
2018-10-18,1.0,-0.4055341101771348,-0.9195858436451533,-0.019517298603845736,-0.6257801507990909,-0.6372163497961687,0.0
2018-10-19,1.0,-0.4012873993095512,-0.9191239930955121,-0.011579401611047181,-0.6269418872266973,-0.6371547756041427,0.0
2018-10-22,1.0,-0.40038162442396313,-0.9238551267281105,-0.01695708525345622,-0.6240999423963134,-0.6349366359447004,0.0
