Date,AVY,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.09978518285654406,-0.0,-0.21937545845122078,-0.0,-0.19189458241643087,-0.0,-0.41855286597506025,-0.0,-0.0,-0.017290160326941213,-0.1703604736456041,-0.0,-0.0,-0.0,-0.3581420936812323,-0.144320444304726,-0.0
2019-01-03,1.0,-0.0,-0.11248041775456918,-0.0,-0.20054830287206266,-0.0,-0.17516971279373367,-0.016057441253263707,-0.4192689295039164,-0.0,-0.0,-0.029007832898172322,-0.1827154046997389,-0.0,-0.0,-0.0,-0.3589556135770235,-0.11676240208877285,-0.0
2019-01-04,1.0,-0.0,-0.10597655432279673,-0.0,-0.1929296629683902,-0.0,-0.17780510780824785,-0.007509943479171028,-0.42743876910194684,-0.0,-0.0,-0.03176679924638895,-0.19392401088549296,-0.0,-0.0,-0.0,-0.35830542181285324,-0.12104877538203894,-0.0
2019-01-07,1.0,-0.0,-0.09288937295783413,-0.0,-0.21220372387324307,-0.0,-0.19010943415797935,-0.0019708521342254033,-0.414449458015663,-0.0,-0.0,-0.028784814065660493,-0.19065401172138374,-0.0,-0.0,-0.0,-0.34132047092993095,-0.12081842228100202,-0.0
2019-01-08,1.0,-0.0,-0.0939614716482149,-0.0,-0.21216521040213646,-0.0,-0.1897637999429594,-0.002333480256164277,-0.41437423837797194,-0.0,-0.0,-0.027820270165158548,-0.19087868495423788,-0.0,-0.0,-0.0,-0.3411029583344137,-0.12032979854287122,-0.0
2019-01-09,1.0,-0.0,-0.07914245124628697,-0.0,-0.20286710577295622,-0.0,-0.19454991605320934,-0.009634508588402427,-0.414929613844763,-0.0,-0.0,-0.03995867234921865,-0.18243574841792587,-0.0,-0.0,-0.0,-0.333152524861165,-0.12635929226398038,-0.0
2019-01-10,1.0,-0.0,-0.0778096493268212,-0.0,-0.20345246401529835,-0.0,-0.19727627464661346,-0.00832105847998553,-0.41750006460449135,-0.0,-0.0,-0.03977052484688735,-0.18027237253533868,-0.0,-0.0,-0.0,-0.3338501692637672,-0.1259529162467375,-0.0
2019-01-11,1.0,-0.0,-0.07991797959872297,-0.0,-0.2034157863316635,-0.0,-0.20336387468528566,-0.002699405611648973,-0.4194980143795261,-0.0,-0.0,-0.03361279102966751,-0.19376022010538063,-0.0,-0.0,-0.0,-0.3425389986243414,-0.11677524852700703,-0.0
2019-01-14,1.0,-0.0,-0.07214481052220341,-0.0,-0.20187524417241826,-0.0,-0.20690194035681728,-0.03932803750488345,-0.40622476885011066,-0.0,-0.0,-0.034457611668185964,-0.18322698268003645,-0.0,-0.0,-0.0,-0.34189347571298345,-0.11842687849980466,-0.0
2019-01-15,1.0,-0.0,-0.0547462284203432,-0.0,-0.22245839597698167,-0.0,-0.21289335890922284,-0.029887500648037742,-0.3919332261910934,-0.0,-0.0,-0.051868940847114936,-0.19959562444916792,-0.0,-0.0,-0.0,-0.31854943231893823,-0.11021825911141066,-0.0
2019-01-16,1.0,-0.0,-0.03905624822530266,-0.0,-0.23056867756008156,-0.0,-0.20336095407728647,-0.043625287178295766,-0.4054828467435917,-0.0,-0.0,-0.036758821859108386,-0.21980433155218257,-0.0,-0.0,-0.0,-0.31283719249335296,-0.08985776607553111,-0.0
2019-01-17,1.0,-0.0,-0.02333857699151559,-0.0,-0.2361967145472832,-0.0,-0.21927946978879231,-0.06096397348943962,-0.40459550764628516,-0.0,-0.0,-0.0038940609123965238,-0.22956907445135002,-0.0,-0.0,-0.0,-0.3040204244784279,-0.09699048404982334,-0.0
2019-01-18,1.0,-0.0,-0.02327679538072898,-0.0,-0.2368923029334433,-0.0,-0.21985358560602156,-0.06183945971026447,-0.4033871217198536,-0.0,-0.0,-0.004459452492653503,-0.2277929576738671,-0.0,-0.0,-0.0,-0.3033716554106305,-0.0968190957364541,-0.0
2019-01-22,1.0,-0.0,-0.024981328388575547,-0.0,-0.23384583687450103,-0.0,-0.21893430168173272,-0.06075356048314404,-0.4042339488526616,-0.0,-0.0,-0.0035540446573437377,-0.22743310412320686,-0.0,-0.0,-0.0,-0.3042828813515671,-0.09737567282185995,-0.0
2019-01-23,1.0,-0.0,-0.02875151765648007,-0.0,-0.22288238485185088,-0.0,-0.23670274598951202,-0.04613675699413603,-0.4182532096820025,-0.0,-0.0,-0.013562036630415128,-0.1937692128852264,-0.0,-0.0,-0.0,-0.3138642763038929,-0.10934876391723282,-0.0
2019-01-24,1.0,-0.0,-0.032402984689267,-0.0,-0.22976427151377452,-0.0,-0.21667398208153674,-0.04915958792698356,-0.4386408819808423,-0.0,-0.0,-0.009991996075495082,-0.17804859156747824,-0.0,-0.0,-0.0,-0.3107330045699827,-0.11649583021352405,-0.0
2019-01-25,1.0,-0.0,-0.04318164198775099,-0.0,-0.21327234669354217,-0.0,-0.20652763780137998,-0.06902343850944519,-0.4272682636896917,-0.0,-0.0,-0.009535622916505157,-0.18890353257358453,-0.0,-0.0,-0.0,-0.3246246479055224,-0.10186836188851849,-0.0
2019-01-28,1.0,-0.0,-0.045035268583830716,-0.0,-0.20977701986926078,-0.0,-0.2112756117096866,-0.06883187349817844,-0.4345141203524274,-0.0,-0.0,-0.008087228380228923,-0.18822830271555177,-0.0,-0.0,-0.0,-0.3207244916414748,-0.09733095625662094,-0.0
2019-01-29,1.0,-0.0,-0.0437579436100952,-0.0,-0.2139392524576557,-0.0,-0.2373615542240552,-0.07260135398023501,-0.4502892122532618,-0.0,-0.0,-0.011646305086504294,-0.16177729359582912,-0.0,-0.0,-0.021840064327030322,-0.30583871553445907,-0.0747801727492024,-0.0
