Date,IWF,IWM,MTUM,ORCL,SPY,VLUE,VXX
2018-09-24,-0.38260734769803134,-0.5094093938924198,-0.11043249108665323,1.0,-0.5880328631219967,-0.5098124321810572,0.0
2018-09-25,-0.38466307110532516,-0.5077180583968756,-0.11366313309776208,1.0,-0.5864174570702374,-0.50712913024611,0.0
2018-09-26,-0.3864362609747774,-0.5102534669438153,-0.11680575807402352,1.0,-0.5862004777712283,-0.5027456333571185,0.0
2018-09-27,-0.38794680224447403,-0.5056266856806274,-0.11811389775862603,1.0,-0.5860123384071674,-0.5024025792851164,0.0
2018-09-28,-0.3869737739475479,-0.5063860127720256,-0.11851323702647407,1.0,-0.5857461714923431,-0.5023560047120095,0.0
2018-10-01,-0.38762982483335917,-0.5057200434041234,-0.11852425980468144,1.0,-0.5860796775693691,-0.502340722368625,0.0
2018-10-02,-0.38844973495768625,-0.4976905669735578,-0.12154747512322144,1.0,-0.587804953656344,-0.504417371896215,0.0
2018-10-03,-0.39323910188254424,-0.521764963412346,-0.12380386515729563,1.0,-0.5883419851147664,-0.5,0.0
2018-10-04,-0.39843529964011887,-0.5151306524800501,-0.12445626662494132,1.0,-0.5954310749491473,-0.49594742606790804,0.0
2018-10-05,-0.3893532090064243,-0.5082953907565646,-0.11442025821742656,1.0,-0.6028503711095865,-0.503648724505707,0.0
2018-10-08,-0.38787520239133144,-0.5054489973844812,-0.11119068377132893,1.0,-0.6058973720264044,-0.5032693984306887,0.0
2018-10-09,-0.38692199906585706,-0.505713840884322,-0.10857854585084852,1.0,-0.6073797290985521,-0.5052156313249261,0.0
2018-10-10,-0.3865349866035267,-0.5068851641846844,-0.10742102311670508,1.0,-0.6077325690074148,-0.5068851641846844,0.0
2018-10-11,-0.35753032242335586,-0.500761869933565,-0.06613031023343695,1.0,-0.6044066556957397,-0.5186201011763272,0.0
2018-10-12,-0.3648534555542154,-0.4930647690266554,-0.06326136774816066,1.0,-0.5920274996984682,-0.5021107224701483,0.0
2018-10-15,-0.3575255869957857,-0.5040337146297411,-0.052227573750752564,1.0,-0.5926550270921132,-0.5038229981938591,0.0
2018-10-16,-0.35623325405665773,-0.509377728271668,-0.04828852695908721,1.0,-0.5928590781828581,-0.503748080801999,0.0
2018-10-17,-0.347340852950805,-0.48742596946519456,-0.0403857028064641,1.0,-0.5917383411208,-0.509240796404869,0.0
2018-10-18,-0.3480409670120281,-0.48871620816958433,-0.03962724782660474,1.0,-0.5913719185423365,-0.5095272120995593,0.0
2018-10-19,-0.3404941559402279,-0.47950880307737836,-0.030862553632194114,1.0,-0.5969522118656606,-0.5111998816392958,0.0
2018-10-22,-0.3432292437472251,-0.47340535740713335,-0.023531152878496376,1.0,-0.6031374870504662,-0.516590202752701,0.0
2018-10-23,-0.34586688773093316,-0.4732354334438655,-0.02904429180483183,1.0,-0.5985018948365703,-0.5140632401705353,0.0
2018-10-24,-0.3473385211705181,-0.4700417196792615,-0.02296061780631417,1.0,-0.6012367961653401,-0.517294434417256,0.0
2018-10-25,-0.3264492648970278,-0.43745125790705064,-0.01865919528609803,1.0,-0.6088501198694434,-0.4970104849657722,0.0
