Date,IWF,IWM,MFL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.12332444262070853,-0.23751880727670632,1.0,-0.0,-0.19532211735740665,-0.15358706059362603,0.0
2018-09-25,-0.12284032980943584,-0.2379657189777276,1.0,-0.0,-0.19566184269047862,-0.15414485613602927,0.0
2018-09-26,-0.1224336162058582,-0.23771557623870793,1.0,-0.0,-0.1957637558171366,-0.15502669039145905,0.0
2018-09-27,-0.12519460079037859,-0.23331565531281542,1.0,-0.0,-0.1966708295553693,-0.1555950934939182,0.0
2018-09-28,-0.1295761078998073,-0.23377718139278833,1.0,-0.0,-0.19926713459950454,-0.1577036884117809,0.0
2018-10-01,-0.12924512005527725,-0.23812402832959062,1.0,-0.0,-0.20038003109345312,-0.15966488167213683,0.0
2018-10-02,-0.12965874730021598,-0.2371317494600432,1.0,-0.0,-0.20086393088552917,-0.160207343412527,0.0
2018-10-03,-0.13012419137233197,-0.23952675822465147,1.0,-0.0,-0.20062614591621405,-0.15940775590687378,0.0
2018-10-04,-0.1357501433062933,-0.23535235977696328,1.0,-0.0,-0.20889714950754745,-0.15706369747607218,0.0
2018-10-05,-0.13317765092544545,-0.23295277633627404,1.0,-0.0,-0.20793980280228336,-0.1557516000691922,0.0
2018-10-08,-0.1320406119418448,-0.2313084919017854,1.0,-0.0,-0.20834340573954485,-0.15500569810408538,0.0
2018-10-09,-0.13447048251071478,-0.23213051292686296,1.0,-0.0,-0.2079531314807134,-0.15363611226323795,0.0
2018-10-10,-0.13414212636527026,-0.23230333195078115,1.0,-0.0,-0.2078321581639707,-0.15391262270150696,0.0
2018-10-11,-0.10323845921753998,-0.22290388548057258,1.0,-0.0,-0.19470984612290054,-0.15536893627007273,0.0
2018-10-12,-0.10429874364789035,-0.21743664443083446,1.0,-0.0,-0.18707893996325295,-0.14645854369092748,0.0
2018-10-15,-0.10462077861938941,-0.21633645354414052,1.0,-0.0,-0.18696457513313267,-0.14590017530513016,0.0
2018-10-16,-0.10580137008968461,-0.2149121355528345,1.0,-0.0,-0.18751034186054208,-0.14647383922957277,0.0
