Date,AMEH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-8.700280112044817,-10.496265172735761,-7.205415499533146,-9.704481792717086,-9.57889822595705,0.0
2018-09-25,1.0,-9.316841579210395,-11.310844577711144,-7.645177411294353,-10.425287356321839,-10.276861569215392,0.0
2018-09-26,1.0,-9.317341329335331,-11.312343828085957,-7.646176911544227,-10.424787606196903,-10.274862568715642,0.0
2018-09-27,1.0,-9.39828801611279,-11.380161127895267,-7.707452165156093,-10.51007049345418,-10.356495468277947,0.0
2018-09-28,1.0,-9.38430583501006,-11.375754527162979,-7.693661971830987,-10.501006036217305,-10.34708249496982,0.0
2018-10-01,1.0,-9.383802816901408,-11.377263581488934,-7.690643863179075,-10.502012072434608,-10.348088531187123,0.0
2018-10-02,1.0,-9.465482233502538,-11.51015228426396,-7.74010152284264,-10.601015228426396,-10.444670050761422,0.0
2018-10-03,1.0,-9.401412002017146,-11.418053454362077,-7.682299546142208,-10.539082198688856,-10.387796268280383,0.0
2018-10-04,1.0,-9.391041771514846,-11.379969803724208,-7.6688475088072465,-10.528434826371415,-10.358832410669352,0.0
2018-10-05,1.0,-9.188427299703266,-11.159248269040555,-7.493570722057369,-10.38427299703264,-10.230464886251237,0.0
2018-10-08,1.0,-9.203171456888008,-11.17641228939544,-7.492566897918731,-10.424677898909811,-10.257185332011893,0.0
2018-10-09,1.0,-9.272363818090955,-11.281859070464767,-7.52823588205897,-10.52823588205897,-10.36431784107946,0.0
2018-10-10,1.0,-9.285642821410706,-11.290145072536268,-7.540270135067534,-10.540770385192596,-10.368184092046022,0.0
2018-10-11,1.0,-7.912250217202433,-9.904865334491747,-6.277584708948741,-9.18853171155517,-9.157254561251086,0.0
2018-10-12,1.0,-7.919257340241796,-9.858376511226252,-6.246113989637307,-9.100604490500864,-9.053972366148532,0.0
2018-10-15,1.0,-7.712044105173876,-9.80576759966073,-6.032230703986429,-8.941051738761661,-8.917726887192536,0.0
2018-10-16,1.0,-7.651642796967144,-9.762847514743049,-5.969671440606572,-8.880791912384161,-8.857624262847514,0.0
2018-10-17,1.0,-7.3160663698907324,-9.309186564144072,-5.657628490489681,-8.582760016187779,-8.603804127883448,0.0
2018-10-18,1.0,-7.311893203883495,-9.301779935275082,-5.657362459546926,-8.581715210355988,-8.60032362459547,0.0
2018-10-19,1.0,-7.110146071851561,-9.059613106987761,-5.486379786814055,-8.40505329648638,-8.417686537702329,0.0
2018-10-22,1.0,-7.089693154996065,-9.009834775767112,-5.450826121164437,-8.388670338316286,-8.400472069236821,0.0
2018-10-23,1.0,-7.100827097282395,-9.020480504135486,-5.461992910594723,-8.394643560456872,-8.407640803465931,0.0
2018-10-24,1.0,-7.11878453038674,-9.030386740331492,-5.454617205998422,-8.420678768745066,-8.438042620363062,0.0
2018-10-25,1.0,-6.591814159292036,-8.383849557522124,-5.044616519174041,-7.9749262536873164,-7.877581120943953,0.0
2018-10-26,1.0,-6.366141732283465,-8.14387974230494,-4.818539727988547,-7.800286327845383,-7.662133142448103,0.0
2018-10-29,1.0,-6.273082386363636,-8.136363636363635,-4.730823863636363,-7.731534090909091,-7.6399147727272725,0.0
2018-10-30,1.0,-6.382909090909091,-8.361818181818181,-4.789818181818182,-7.944,-7.885090909090909,0.0
2018-10-31,1.0,-6.336092119467434,-8.226700251889168,-4.74091399784095,-7.875494782295791,-7.804965815041382,0.0
2018-11-01,1.0,-6.246428571428571,-8.23,-4.649285714285714,-7.826071428571428,-7.762499999999999,0.0
2018-11-02,1.0,-6.122427624694803,-7.9731426578304845,-4.512731077781653,-7.685036623648412,-7.586327171259156,0.0
2018-11-05,1.0,-6.099164926931106,-7.9805149617258175,-4.5,-7.66562282533055,-7.549408489909533,0.0
2018-11-06,1.0,-6.179036229335209,-8.087583538515652,-4.536405205768554,-7.747449876890609,-7.62363700316567,0.0
2018-11-07,1.0,-6.176988036593948,-8.090429275158339,-4.548909218859958,-7.745601688951442,-7.62420830401126,0.0
2018-11-08,1.0,-5.878890392422192,-7.83085250338295,-4.2787550744248986,-7.45872801082544,-7.382611637347767,0.0
2018-11-09,1.0,-5.873563218390805,-7.824543610547667,-4.277890466531441,-7.454361054766735,-7.37660581473969,0.0
