Date,IWF,IWM,MTUM,NXJ,SPY,VLUE,VXX
2018-09-24,-0.08539615492126595,-0.18883746932944065,-0.0,1.0,-0.15369444358170017,-0.1250116470478616,0.0
2018-09-25,-0.08642933660399621,-0.1884150222788033,-0.0,1.0,-0.15338994892176802,-0.12431106488022234,0.0
2018-09-26,-0.0865481642474579,-0.18849646821392532,-0.0,1.0,-0.15334937514554065,-0.12402390747496701,0.0
2018-09-27,-0.08765941601762497,-0.1862413504204549,-0.0,1.0,-0.15352034008750426,-0.1240729822819375,0.0
2018-09-28,-0.08875601801521975,-0.18596055288088212,-0.0,1.0,-0.1539214163690014,-0.12439819847802454,0.0
2018-10-01,-0.08910291262135922,-0.1856776699029126,-0.0,1.0,-0.1541747572815534,-0.12444271844660193,0.0
2018-10-02,-0.0901378249452274,-0.1820780956228538,-0.0,1.0,-0.15564740432276208,-0.12598474136457574,0.0
2018-10-03,-0.09001506983392112,-0.18076032749700935,-0.0,1.0,-0.1560426926841394,-0.12678857178367797,0.0
2018-10-04,-0.09222018462686102,-0.1778509930687222,-0.0,1.0,-0.15903086438939484,-0.1249961147546079,0.0
2018-10-05,-0.09028734120414068,-0.17574697881690315,-0.0,1.0,-0.15778235102975538,-0.12352422362170609,0.0
2018-10-08,-0.09059098580209639,-0.17635127812098408,-0.0,1.0,-0.15761685788161703,-0.12372458853948935,0.0
2018-10-09,-0.09299838829655344,-0.17716340193404415,-0.0,1.0,-0.1572030746342673,-0.12234998760228119,0.0
2018-10-10,-0.09414844996669093,-0.1764760562071049,-0.0,1.0,-0.15786945946364667,-0.12076471408431066,0.0
2018-10-11,-0.07900827446412634,-0.16784909313688415,-0.0,1.0,-0.14854705250578606,-0.11729468891342822,0.0
2018-10-12,-0.08031714746461208,-0.16257540464671805,-0.0,1.0,-0.14126799259391984,-0.10900077644388699,0.0
2018-10-15,-0.07239387985949872,-0.1686610704292433,-0.0,1.0,-0.1389831517532893,-0.10830803119604691,0.0
2018-10-16,-0.074114352113935,-0.16667163245240293,-0.0,1.0,-0.1398116974048804,-0.10913803891189704,0.0
2018-10-17,-0.07161579812519436,-0.16147615028062848,-0.0,1.0,-0.13853717772150398,-0.10927480859508047,0.0
2018-10-18,-0.07122760254701614,-0.16063971568191912,-0.0,1.0,-0.13953798311861393,-0.10941803642825411,0.0
2018-10-19,-0.06676061299982386,-0.15496741236568612,-0.0,1.0,-0.1386882743232928,-0.10748047677764078,0.0
2018-10-22,-0.06656876422644835,-0.15099493354871868,-0.0,1.0,-0.1411851090388428,-0.10978779646082677,0.0
2018-10-23,-0.06652568508238611,-0.150997150997151,-0.0,1.0,-0.14123123916938352,-0.10980409434017682,0.0
2018-10-24,-0.06601395321568856,-0.14901506712786539,-0.0,1.0,-0.14088057688925368,-0.10976431963416779,0.0
2018-10-25,-0.055217179949100685,-0.13238111578164766,-0.0,1.0,-0.14354751079465844,-0.09861027708672901,0.0
2018-10-26,-0.051689549690545636,-0.12965782172583057,-0.0,1.0,-0.14463968129757418,-0.09679163406132175,0.0
2018-10-29,-0.04941036398684658,-0.12912461730354916,-0.0,1.0,-0.14283081982084136,-0.09602846127678875,0.0
2018-10-30,-0.045787571742365196,-0.12924254233685256,-0.0,1.0,-0.14304541911712607,-0.09905760646212712,0.0
2018-10-31,-0.0476821565531243,-0.1222507331378299,-0.0,1.0,-0.14248251748251747,-0.09746503496503496,0.0
2018-11-01,-0.04591124952440004,-0.12351507123430522,-0.0,1.0,-0.14232769189577668,-0.09743105562053464,0.0
2018-11-02,-0.04724453682377395,-0.11701589798325937,-0.0,1.0,-0.14400876355260941,-0.09614628391663389,0.0
2018-11-05,-0.04865252616180939,-0.11393046022279735,-0.0,1.0,-0.14426971981546077,-0.09971025092832225,0.0
2018-11-06,-0.04856909699749557,-0.11393758617778652,-0.0,1.0,-0.14446914483496073,-0.1000084419056195,0.0
2018-11-07,-0.04843677481962786,-0.11393330801794578,-0.0,1.0,-0.1441430038113722,-0.09989733203943574,0.0
2018-11-08,-0.0452527346321377,-0.11315284527794507,-0.0,1.0,-0.14235493494306642,-0.09981932520063307,0.0
2018-11-09,-0.04479033862448688,-0.11332782268798072,-0.0,1.0,-0.143057287361475,-0.099836081650952,0.0
2018-11-12,-0.04477424398961271,-0.1073772093932371,-0.0,1.0,-0.14531036215899254,-0.09867925055147574,0.0
2018-11-13,-0.03781437084353008,-0.10386162843751298,-0.0,1.0,-0.14492513169355842,-0.09600840626598643,0.0
2018-11-14,-0.03814408759729576,-0.10359320346739295,-0.0,1.0,-0.1449447678035697,-0.09583719290484026,0.0
2018-11-15,-0.038054355477646344,-0.1035349004127041,-0.0,1.0,-0.14570249416831152,-0.09298955127054895,0.0
2018-11-16,-0.03733215693843227,-0.10171220601615705,-0.0,1.0,-0.14539965259588078,-0.094143759133144,0.0
2018-11-19,-0.03782688410691885,-0.10155636123020086,-0.0,1.0,-0.1451041479990626,-0.09404336857776982,0.0
2018-11-20,-0.030289318524612644,-0.09861511037981627,-0.0,1.0,-0.14522144522144523,-0.09705196764020294,0.0
2018-11-21,-0.03198965000680921,-0.09595533160833447,-0.0,1.0,-0.1437968132915702,-0.09011303282037315,0.0
2018-11-23,-0.032218985653227346,-0.09400266790079764,-0.0,1.0,-0.14461111262352652,-0.09032749843465004,0.0
2018-11-26,-0.03183439039660289,-0.09633339684786456,-0.0,1.0,-0.14361542858698317,-0.08924245311266571,0.0
2018-11-27,-0.029917949413440025,-0.09654845053231166,-0.0,1.0,-0.14210347867362855,-0.08763816369431071,0.0
2018-11-28,-0.02936666259550272,-0.09930925918386732,-0.0,1.0,-0.14118796563937627,-0.08720433171843829,0.0
2018-11-29,-0.02686680291812731,-0.09812812148938185,-0.0,1.0,-0.14077663332566356,-0.08771977315485295,0.0
2018-11-30,-0.027206001841720385,-0.09877579762743081,-0.0,1.0,-0.1422322734413087,-0.08599209143600021,0.0
2018-12-03,-0.0273913220173668,-0.0988227962990558,-0.0,1.0,-0.1423346292959807,-0.08612958723363903,0.0
2018-12-04,-0.027868519146052182,-0.09852931209759404,-0.0,1.0,-0.14282616062351747,-0.08624872924432396,0.0
2018-12-06,-0.028235918529821533,-0.07921448948450872,-0.0,1.0,-0.14237378093279374,-0.07705168181516618,0.0
2018-12-07,-0.030650425921503063,-0.07889499243690788,-0.0,1.0,-0.14227901175596425,-0.0750471034684075,0.0
2018-12-10,-0.02575310722561618,-0.07852327785970087,-0.0,1.0,-0.1418264166842216,-0.07050505582473142,0.0
2018-12-11,-0.02762743781192799,-0.07797047630334873,-0.0,1.0,-0.14241693991229804,-0.06881839371074151,0.0
2018-12-12,-0.02854055763453328,-0.07801876350603489,-0.0,1.0,-0.14308491013545566,-0.0680308859958889,0.0
2018-12-13,-0.028381403924667457,-0.07697879625971289,-0.0,1.0,-0.1441459238772554,-0.06749637824311866,0.0
2018-12-14,-0.025748859353302917,-0.08604112940554123,-0.0,1.0,-0.14163856377702838,-0.06904714673014614,0.0
2018-12-17,-0.026467553768418823,-0.08591042565011507,-0.0,1.0,-0.14268141054469458,-0.06764371312928229,0.0
2018-12-18,-0.027629079606285613,-0.08861230291035162,-0.0,1.0,-0.14462760516982587,-0.06743886401976543,0.0
2018-12-19,-0.02726004649618067,-0.08876785121222186,-0.0,1.0,-0.14485552972434407,-0.06757887744935237,0.0
2018-12-20,-0.025375727910647725,-0.08295860028917452,-0.0,1.0,-0.15155132847838487,-0.06660299521137596,0.0
2018-12-21,-0.025063959066197634,-0.0836531286643215,-0.0,1.0,-0.1525690224922716,-0.0711944355612408,0.0
2018-12-24,-0.02239736751320224,-0.07970437597855796,-0.0,1.0,-0.15134145370591512,-0.07341506780245734,0.0
2018-12-26,-0.02354382682705103,-0.0814482022634748,-0.0,1.0,-0.14379257190287348,-0.06873427227572759,0.0
2018-12-27,-0.01567016188612238,-0.07603074410586755,-0.0,1.0,-0.13221780099283242,-0.07220717276061851,0.0
2018-12-28,-0.015523362790577137,-0.07610075932308809,-0.0,1.0,-0.13214294969808485,-0.0720061160494467,0.0
2018-12-31,-0.014381492096014938,-0.07817099581134179,-0.0,1.0,-0.13233825684385253,-0.0719074604800747,0.0
2019-01-02,-0.01446061266308718,-0.0781780924960444,-0.0,1.0,-0.13244105517080385,-0.0718361735792286,0.0
2019-01-03,-0.007969218729620451,-0.08222251206469283,-0.0,1.0,-0.1302595539324377,-0.08383983305073693,0.0
2019-01-04,-0.0,-0.08567793199257345,-0.0,1.0,-0.12539437296321784,-0.0872748990535049,0.0
2019-01-07,-0.0,-0.07984409369814378,-0.0,1.0,-0.1234772765278689,-0.08303425565031708,0.0
2019-01-08,-0.0,-0.08173306028875753,-0.0,1.0,-0.12258671097201294,-0.08362634107388947,0.0
2019-01-09,-0.0,-0.08314748688332281,-0.0,1.0,-0.1228649143387519,-0.0830959225503719,0.0
2019-01-10,-0.0,-0.08344294003868473,-0.0,1.0,-0.12274661508704061,-0.08330109606705352,0.0
2019-01-11,-0.0,-0.07953606116966315,-0.0,1.0,-0.12431545773920231,-0.08773765240752221,0.0
2019-01-14,-0.0,-0.0799164743945038,-0.0,1.0,-0.12331627589229323,-0.08574264317294182,0.0
2019-01-15,-0.0,-0.07817841708056505,-0.0,1.0,-0.12374379152422113,-0.08815068051344901,0.0
2019-01-16,-0.0,-0.07802287055062075,-0.0,1.0,-0.12150785772300077,-0.08967731122771282,0.0
2019-01-17,-0.0,-0.07806178979102785,-0.0,1.0,-0.12133783400757557,-0.08896132340436497,0.0
2019-01-18,-0.0,-0.07827337383891905,-0.0,1.0,-0.12351180837144227,-0.09370263372672981,0.0
2019-01-22,-0.0,-0.04852592423166283,-0.0,1.0,-0.10769360411224403,-0.047598983977175595,0.0
2019-01-23,-0.0,-0.0483752953735801,-0.0,1.0,-0.10746200626132016,-0.04364931809185668,0.0
2019-01-24,-0.0,-0.046497396145815835,-0.0,1.0,-0.11095778636396361,-0.04247762125320982,0.0
2019-01-25,-0.0,-0.03694390261098447,-0.0,1.0,-0.10614321637564333,-0.031973396629926445,0.0
2019-01-28,-0.0,-0.03407313315220587,-0.0,1.0,-0.11080531150394599,-0.031273890594309774,0.0
2019-01-29,-0.0,-0.03377234242709313,-0.0,1.0,-0.11086547507055503,-0.0312793979303857,0.0
