Date,IWF,IWM,MTUM,RCKT,SPY,VLUE,VXX
2018-09-24,-1.208651813302976,-2.124979671491299,-0.4677996422182468,1.0,-1.6987315010570825,-1.631322166205887,0.0
2018-09-25,-1.2389533448531227,-2.145478482679174,-0.4918127211388134,1.0,-1.7146383608985436,-1.637620340656628,0.0
2018-09-26,-1.240760556424397,-2.147748785908305,-0.49534941147419537,1.0,-1.7142151617417072,-1.633138529920158,0.0
2018-09-27,-1.2441631042420256,-2.134001973035186,-0.4986024334100625,1.0,-1.7129233804669517,-1.6312890496547188,0.0
2018-09-28,-1.2403355815101167,-2.1389208751439384,-0.5000822503701267,1.0,-1.7133574601085706,-1.6323408455338049,0.0
2018-10-01,-1.2434567901234568,-2.13761316872428,-0.500082304526749,1.0,-1.7159670781893006,-1.6333333333333333,0.0
2018-10-02,-1.2469595433109952,-2.1820137337635472,-0.4916852817076197,1.0,-1.7182923802432366,-1.6344833291966576,0.0
2018-10-03,-1.2597044828449788,-2.2263127139160197,-0.49645212455129817,1.0,-1.7283579597629186,-1.637114951164538,0.0
2018-10-04,-1.271040534893439,-2.2137902214793144,-0.49895528625156704,1.0,-1.7433347262849979,-1.6306727956539908,0.0
2018-10-05,-1.2488984953030178,-2.2030093939645856,-0.47152714273838225,1.0,-1.750519577687256,-1.6392883863995347,0.0
2018-10-08,-1.2434515915119364,-2.1948773209549075,-0.463776525198939,1.0,-1.7519064986737403,-1.6351956233421752,0.0
2018-10-09,-1.2402694610778444,-2.2050066533599466,-0.4457751164337991,1.0,-1.7690452428476382,-1.6565202927478375,0.0
2018-10-10,-1.2417564070456633,-2.219300442440938,-0.4397695967943902,1.0,-1.7766925452875866,-1.6704232406711745,0.0
2018-10-11,-1.1193993703075806,-2.2199079680310003,-0.26552030354403816,1.0,-1.7523209816743361,-1.715831113263906,0.0
2018-10-12,-1.1349458943348185,-2.2040897517504776,-0.24968173138128583,1.0,-1.7067154678548697,-1.6612826225334185,0.0
2018-10-15,-1.1078423598445801,-2.242090238680517,-0.21037189754975816,1.0,-1.7044643565141544,-1.6648957259535326,0.0
2018-10-16,-1.103889905337682,-2.279691353114311,-0.18821096173733198,1.0,-1.7118765412457244,-1.671147880041365,0.0
2018-10-17,-1.0612181479179614,-2.1890926041019263,-0.15250155376009944,1.0,-1.6917339962709759,-1.6741765071472965,0.0
2018-10-18,-1.0594413755543453,-2.1865712285069634,-0.1557613008636116,1.0,-1.7006146424959152,-1.6778962110013225,0.0
2018-10-19,-1.0503452020789699,-2.189899930183849,-0.13365914203708013,1.0,-1.7046776821037934,-1.6787681328058335,0.0
2018-10-22,-1.0505700767858528,-2.188241681532615,-0.1357325680601877,1.0,-1.7036376328240133,-1.6780423485612348,0.0
2018-10-23,-1.0507483629560337,-2.2031493607733084,-0.12137511693171188,1.0,-1.7250545681322107,-1.6951200498908636,0.0
2018-10-24,-1.0593246834453651,-2.2015788650930124,-0.0994997655150852,1.0,-1.7411286540565891,-1.7146318586837581,0.0
2018-10-25,-0.9765712998423067,-2.0862056018622814,-0.06923481264549072,1.0,-1.7433355860929638,-1.6338514680483591,0.0
2018-10-26,-0.9475680499776885,-2.0671575189647475,-0.02208835341365462,1.0,-1.774505429123903,-1.6258366800535475,0.0
2018-10-29,-0.9054785380680553,-2.0997850100081545,-0.0,1.0,-1.7609904366520868,-1.647268144413967,0.0
2018-10-30,-0.9291620111731843,-2.110465549348231,-0.0,1.0,-1.7702048417132215,-1.6389571694599627,0.0
2018-10-31,-0.9608284556506078,-2.076542098153985,-0.0,1.0,-1.8066186402521387,-1.660213117214468,0.0
2018-11-01,-0.9232613908872902,-2.1058153477218227,-0.0,1.0,-1.8041816546762588,-1.660746402877698,0.0
2018-11-02,-0.9238378579397547,-2.065898103384158,-0.0,1.0,-1.8021569356638156,-1.645890665674972,0.0
2018-11-05,-0.9124520928834449,-2.147666641617194,-0.0,1.0,-1.830014278199444,-1.6246336514616369,0.0
2018-11-06,-0.9308915517371317,-2.1683623483306955,-0.0,1.0,-1.8250056522722133,-1.6121787625292034,0.0
2018-11-07,-0.9289370671484491,-2.167268894911171,-0.0,1.0,-1.821514604034929,-1.6101324902137908,0.0
2018-11-08,-0.870864619730875,-2.1604341684633117,-0.0,1.0,-1.7933982603523904,-1.6096944465095533,0.0
2018-11-09,-0.8775311962938056,-2.172158708809684,-0.0,1.0,-1.801539266233281,-1.6209370096390945,0.0
2018-11-12,-0.8738296923762817,-2.135309852875613,-0.0,1.0,-1.8101500965968196,-1.6113092584336453,0.0
2018-11-13,-0.8419228784192287,-2.1286588512865885,-0.0,1.0,-1.804615498046155,-1.5978028459780285,0.0
2018-11-14,-0.840091756696759,-2.140002959893444,-0.0,1.0,-1.8128607370134675,-1.6067781559863843,0.0
2018-11-15,-0.8365221245475364,-2.1396173450542957,-0.0,1.0,-1.813326438649627,-1.5976213341212973,0.0
2018-11-16,-0.8264718902169101,-2.1185627858934635,-0.0,1.0,-1.8157001623137083,-1.617160985686882,0.0
2018-11-19,-0.8291531425199173,-2.1172912363529064,-0.0,1.0,-1.813956919445264,-1.6164060194747711,0.0
2018-11-20,-0.7488477576999049,-2.09854415099861,-0.0,1.0,-1.8182017704294389,-1.650230448460019,0.0
