Date,DAO,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-24,1.0,-1.433868838028169,-0.30149647887323944,-1.310299295774648,-1.4560959507042253,-0.0,0.0
2020-06-25,1.0,-1.4268352767285268,-0.2858159522636448,-1.3125307932337,-1.4491706355723437,-0.0,0.0
2020-06-26,1.0,-1.428008537186012,-0.28189131505499915,-1.3118809172002408,-1.450719641000383,-0.0,0.0
2020-06-29,1.0,-1.4207799290973548,-0.2721570766293973,-1.3153531497136624,-1.4458140169075537,-0.0,0.0
2020-06-30,1.0,-1.4237140366172625,-0.2611159546643418,-1.3189843068875327,-1.4451830863121187,-0.0,0.0
2020-07-01,1.0,-1.4196409140369968,-0.26120783460282915,-1.3090859630032645,-1.4507616974972797,-0.0,0.0
2020-07-02,1.0,-1.410521140609636,-0.2909428602643942,-1.3043810772424342,-1.45679012345679,-0.0,0.0
2020-07-06,1.0,-1.4133369773162068,-0.2921563268652637,-1.3031975949713035,-1.4572834107679695,-0.0,0.0
2020-07-07,1.0,-1.4078014184397163,-0.29530823786142935,-1.2983087834151665,-1.45417348608838,-0.0,0.0
2020-07-08,1.0,-1.4090933900987936,-0.2945254080017466,-1.2983461601440969,-1.4562523879700888,-0.0,0.0
2020-07-09,1.0,-1.4102102102102103,-0.29413049413049414,-1.298989898989899,-1.4566748566748569,-0.0,0.0
2020-07-10,1.0,-1.4122754327526896,-0.29083164964779123,-1.30142521705892,-1.456069458854366,-0.0,0.0
2020-07-13,1.0,-1.4149243954364321,-0.2881161635460451,-1.3015448441508817,-1.4542278508652222,-0.0,0.0
2020-07-14,1.0,-1.4042703850972273,-0.2852007189934092,-1.2908110463532871,-1.46663761642791,-0.0,0.0
2020-07-15,1.0,-1.4165300994209549,-0.27865180815033325,-1.294438981754616,-1.4730689391456353,-0.0,0.0
2020-07-16,1.0,-1.4194429273620972,-0.270398689240852,-1.297433096668487,-1.4741671217913708,-0.0,0.0
2020-07-17,1.0,-1.4258184605277566,-0.2717617431293113,-1.3011058797766344,-1.4759115296178693,-0.0,0.0
2020-07-20,1.0,-1.4258265820013136,-0.27216991460477336,-1.3004160280271513,-1.4756952047295817,-0.0,0.0
2020-07-21,1.0,-1.4056696526108807,-0.28910858641031245,-1.2856128468429102,-1.4817019882018791,-0.0,0.0
2020-07-22,1.0,-1.3995354239256679,-0.3267518389469609,-1.2830595652895305,-1.5213207234113157,-0.0,0.0
2020-07-23,1.0,-1.4140860816098377,-0.3367803242034656,-1.3022358859698155,-1.5366126327557292,-0.0,0.0
2020-07-24,1.0,-1.4003233359348868,-0.3462481882038131,-1.293510982272271,-1.5346192440628832,-0.0,0.0
2020-07-27,1.0,-1.400512620493676,-0.3449601604725024,-1.291692204825319,-1.5347969019891903,-0.0,0.0
2020-07-28,1.0,-1.4002228412256268,-0.34445682451253484,-1.2911977715877438,-1.5351532033426185,-0.0,0.0
2020-07-29,1.0,-1.40275290957923,-0.34400179051029545,-1.29632945389436,-1.5522605192479857,-0.0,0.0
2020-07-30,1.0,-1.4096263884214069,-0.3309772242791428,-1.305621003029283,-1.5636149444631435,-0.0,0.0
2020-07-31,1.0,-1.413369254083179,-0.3300218892069372,-1.306561149463995,-1.5626648706291744,-0.0,0.0
2020-08-03,1.0,-1.4138414907947912,-0.3298158958239784,-1.3065222272114951,-1.56275258194881,-0.0,0.0
2020-08-04,1.0,-1.4202049780380672,-0.33399031422457487,-1.3127604459961708,-1.56430904381124,-0.0,0.0
2020-08-05,1.0,-1.42468843399312,-0.33226188462189143,-1.315062313201376,-1.5671347205774544,-0.0,0.0
2020-08-06,1.0,-1.427563632259157,-0.32366386364919014,-1.3219143292510864,-1.5704610869687907,-0.0,0.0
2020-08-07,1.0,-1.4251537550076174,-0.3257349207244823,-1.32285730406816,-1.5685831969756814,-0.0,0.0
