Date,HSY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2804972342829953,-0.605870457384167,-0.0,-0.5584071849164337,-0.5291441146731696,0.0
2018-09-25,1.0,-0.2785614171115021,-0.6094891599320073,-0.0,-0.5611487191721588,-0.5329377031580831,0.0
2018-09-26,1.0,-0.2793451031850173,-0.610223070499821,-0.0,-0.5611356316354527,-0.5315221281164261,0.0
2018-09-27,1.0,-0.2813133118817781,-0.605619115719223,-0.0,-0.561136932427601,-0.5313431057084972,0.0
2018-09-28,1.0,-0.28001430316755566,-0.6071694627372687,-0.0,-0.5611311421675259,-0.5315116660210376,0.0
2018-10-01,1.0,-0.2800476829086574,-0.6074206526598123,-0.0,-0.5610788258083743,-0.5316048278945016,0.0
2018-10-02,1.0,-0.2806353558231017,-0.6061211109786625,-0.0,-0.5613601144355703,-0.531976397663607,0.0
2018-10-03,1.0,-0.28034147215091637,-0.5950988000716375,-0.0,-0.567637752969972,-0.5418183989015581,0.0
2018-10-04,1.0,-0.2846693536348709,-0.5893715479922376,-0.0,-0.573190028362442,-0.5383191521122556,0.0
2018-10-05,1.0,-0.265775687581855,-0.5795630432194309,-0.0,-0.5816763900464341,-0.5495297059173712,0.0
2018-10-08,1.0,-0.26327585691659444,-0.5795953739951589,-0.0,-0.5926246899560709,-0.5528792995248484,0.0
2018-10-09,1.0,-0.2561407723259864,-0.5832983004023783,-0.0,-0.6000540508077593,-0.5633295297579725,0.0
2018-10-10,1.0,-0.2551112447384245,-0.585207456404089,-0.0,-0.6004209260372819,-0.5658749248346362,0.0
2018-10-11,1.0,-0.19182627932700705,-0.5682307737090295,-0.0,-0.5787972288525353,-0.5719857949583745,0.0
2018-10-12,1.0,-0.19211667097292798,-0.5583211322596389,-0.0,-0.5645221485373066,-0.5559096259294348,0.0
2018-10-15,1.0,-0.18457923841723736,-0.5623621099681958,-0.0,-0.5629065069768775,-0.5553995587518983,0.0
2018-10-16,1.0,-0.17664997986075148,-0.5813913343690661,-0.0,-0.5633810921226767,-0.555613096265608,0.0
2018-10-17,1.0,-0.15773397064230563,-0.5466809966908956,-0.0,-0.5598325649800605,-0.5640750063636621,0.0
2018-10-18,1.0,-0.15752262443438914,-0.5464649321266968,-0.0,-0.5600113122171946,-0.5640837104072398,0.0
2018-10-19,1.0,-0.14307744069982617,-0.5346828912689957,-0.0,-0.5619637750238322,-0.5640666180676275,0.0
2018-10-22,1.0,-0.14380337664533951,-0.5231545421235096,-0.0,-0.575298063643282,-0.5762845626990615,0.0
2018-10-23,1.0,-0.14321962221595713,-0.5233436707076402,-0.0,-0.5760078939949252,-0.5767127149703974,0.0
