Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YMAB
2019-05-22,-0.0,-1.1810576923076923,-0.2741346153846154,-3.8818269230769236,-3.2783653846153844,0.0,1.0
2019-05-23,-0.0,-1.1687962340282447,-0.31972331636084156,-3.887212988759727,-3.2314343356710538,0.0,1.0
2019-05-24,-0.0,-1.0711545838128116,-0.373801304181051,-3.8880897583429226,-3.2565209052550825,0.0,1.0
2019-05-28,-0.0,-1.0402768432183025,-0.38921464962030183,-3.9075266749975968,-3.2754974526578873,0.0,1.0
2019-05-29,-0.0,-1.0515444200057378,-0.3881610404513723,-3.8955723438844796,-3.227598737687673,0.0,1.0
2019-05-30,-0.0,-1.036224884080371,-0.39248454404945904,-3.940011591962906,-3.2911514683153014,0.0,1.0
2019-05-31,-0.0,-1.0433732612055642,-0.38639876352395675,-3.9346986089644513,-3.295498454404946,0.0,1.0
2019-06-03,-0.0,-1.0428011846756473,-0.4268653864526607,-3.8989204165472438,-3.1852488774242858,0.0,1.0
2019-06-04,-0.0,-1.0380460759009655,-0.45215562565720296,-3.920562087754517,-3.1485517636937197,0.0,1.0
2019-06-05,-0.0,-1.0090367237069795,-0.5699865410497982,-4.0518169582772545,-2.98269563545472,0.0,1.0
2019-06-06,-0.0,-1.0050971340642432,-0.5679938449701866,-4.0603962300442396,-2.983746874398923,0.0,1.0
2019-06-07,-0.0,-1.0135446685878964,-0.5615754082612873,-4.053698366954851,-2.9773294908741597,0.0,1.0
2019-06-10,-0.0,-1.0188516746411482,-0.5424880382775119,-4.029282296650718,-2.9787559808612443,0.0,1.0
2019-06-11,-0.0,-1.0159869806624546,-0.5377177867126173,-4.037239134596975,-2.982194141298105,0.0,1.0
2019-06-12,-0.0,-1.0189564384873144,-0.5416945907132599,-4.034849210148396,-2.9784585926280513,0.0,1.0
2019-06-13,-0.0,-1.0087415946205571,-0.5317963496637849,-4.056388088376561,-3.009221902017291,0.0,1.0
2019-06-14,-0.0,-0.9915611814345993,-0.5462217107786728,-4.060126582278481,-2.9915611814345993,0.0,1.0
2019-06-17,-0.0,-0.9711787875876645,-0.553943702565088,-4.089153617062157,-2.992794696896916,0.0,1.0
2019-06-18,-0.0,-0.9236151603498541,-0.5757045675413022,-4.154227405247814,-3.064625850340136,0.0,1.0
2019-06-19,-0.0,-0.9145373596593109,-0.5719125048393341,-4.150116144018583,-3.0421022067363532,0.0,1.0
2019-06-20,-0.0,-0.9140503875968992,-0.5599806201550388,-4.16453488372093,-3.051356589147287,0.0,1.0
2019-06-21,-0.0,-0.9430878490125498,-0.5465512209358887,-4.155851736550248,-3.083082011868859,0.0,1.0
