Date,IWF,IWM,MTUM,NUV,SPY,VLUE,VXX
2018-09-24,-0.07335278659981621,-0.2288123297167454,-0.0,1.0,-0.1680504280256009,-0.14193361169775426,0.0
2018-09-25,-0.07648254500871136,-0.2284151771310576,-0.0,1.0,-0.16780667225914694,-0.1404949345034523,0.0
2018-09-26,-0.07575708658875185,-0.2280783883256925,-0.0,1.0,-0.16814102150190482,-0.14228062245754503,0.0
2018-09-27,-0.07647751657819585,-0.2265122057471079,-0.0,1.0,-0.16818599848335727,-0.1422739960309137,0.0
2018-09-28,-0.07903507636551903,-0.2262652083872638,-0.0,1.0,-0.1693955475019415,-0.14321770644576756,0.0
2018-10-01,-0.08013022984595948,-0.22574793073845506,-0.0,1.0,-0.1703678507216094,-0.1435281921700115,0.0
2018-10-02,-0.08031113271754983,-0.22596013612056395,-0.0,1.0,-0.17050721114892237,-0.1436882190892886,0.0
2018-10-03,-0.07995398797854933,-0.2221052119955284,-0.0,1.0,-0.17188082238387636,-0.14620157801791878,0.0
2018-10-04,-0.08110209436804511,-0.22028929167274083,-0.0,1.0,-0.17329964202990103,-0.14508317540534849,0.0
2018-10-05,-0.07973845657087505,-0.219341298030352,-0.0,1.0,-0.1719728769777204,-0.14341298030351957,0.0
2018-10-08,-0.07894312612844984,-0.21822607686355427,-0.0,1.0,-0.1720724787206603,-0.14282950735104463,0.0
2018-10-09,-0.08120230393185009,-0.21900259757022314,-0.0,1.0,-0.1716816443748891,-0.14152724221938984,0.0
2018-10-10,-0.08033795899904687,-0.22022261352805286,-0.0,1.0,-0.17164504612203357,-0.14326101355390058,0.0
2018-10-11,-0.058904862911462026,-0.21107706811218477,-0.0,1.0,-0.16023253986958913,-0.1410165763217849,0.0
2018-10-12,-0.06372799479771471,-0.20609410562497096,-0.0,1.0,-0.1496121510520693,-0.12886494186136527,0.0
2018-10-15,-0.05679625885512324,-0.2110413161915639,-0.0,1.0,-0.14745420029941506,-0.12808482397789883,0.0
2018-10-16,-0.05720901512812596,-0.21057425131213336,-0.0,1.0,-0.14763815992590304,-0.12828033343624573,0.0
2018-10-17,-0.052121045476070445,-0.2003421780242274,-0.0,1.0,-0.14563952156179824,-0.12947772023891357,0.0
2018-10-18,-0.05150588595016052,-0.19923559088824336,-0.0,1.0,-0.14792845130713958,-0.13014829536768077,0.0
2018-10-19,-0.04927209942650258,-0.19711882197240518,-0.0,1.0,-0.1465232669577255,-0.12829913138719443,0.0
2018-10-22,-0.0491425255409801,-0.19001878350106133,-0.0,1.0,-0.1533833208619031,-0.13455400638333612,0.0
2018-10-23,-0.047819240823689484,-0.1904667267974256,-0.0,1.0,-0.15492333328237506,-0.13552351978964428,0.0
2018-10-24,-0.04725721624266145,-0.18724009295499022,-0.0,1.0,-0.15625,-0.13813295009784735,0.0
2018-10-25,-0.039658739916634184,-0.17496326506132487,-0.0,1.0,-0.15539628752211593,-0.12935196569406543,0.0
2018-10-26,-0.034729878721058434,-0.17123573408027654,-0.0,1.0,-0.15709645698620342,-0.12685121725915552,0.0
2018-10-29,-0.029749640543705443,-0.17185716615033428,-0.0,1.0,-0.15374353349243292,-0.12692883506514682,0.0
2018-10-30,-0.02866331717872334,-0.1718465163843315,-0.0,1.0,-0.15376520978761873,-0.12779926785529025,0.0
2018-10-31,-0.030104132865276263,-0.165801351072303,-0.0,1.0,-0.15289536564500428,-0.1261689135372725,0.0
2018-11-01,-0.026763344828602584,-0.16822884428331417,-0.0,1.0,-0.15263654316620978,-0.12610899873257286,0.0
2018-11-02,-0.02790021156558533,-0.16252350728725903,-0.0,1.0,-0.1539139633286319,-0.12488246356370475,0.0
2018-11-05,-0.02788592921264123,-0.16255527966736702,-0.0,1.0,-0.1539162246741989,-0.12485491382983413,0.0
2018-11-06,-0.025909405408588382,-0.16160991623607002,-0.0,1.0,-0.15642803515435233,-0.1281632292540741,0.0
2018-11-07,-0.025588204999926426,-0.16187225026117918,-0.0,1.0,-0.1558688071099601,-0.12811759685702093,0.0
2018-11-08,-0.023354751635712816,-0.1612240706510577,-0.0,1.0,-0.15456385881524512,-0.1278643311915031,0.0
2018-11-09,-0.02338717960004108,-0.16126003198497585,-0.0,1.0,-0.1546429567029065,-0.12791055944363747,0.0
2018-11-12,-0.02324492751503094,-0.15711171901285856,-0.0,1.0,-0.15567811114849545,-0.1268304100411065,0.0
2018-11-13,-0.015560932496848694,-0.15391413958475203,-0.0,1.0,-0.15514568452165345,-0.12425563975137283,0.0
2018-11-14,-0.016157312814270602,-0.1535596806213682,-0.0,1.0,-0.1553130751061456,-0.12407077337738556,0.0
2018-11-15,-0.01590615801760262,-0.15359519770324936,-0.0,1.0,-0.15508866559368972,-0.12537880435570636,0.0
2018-11-16,-0.015516117348786673,-0.1523361101050344,-0.0,1.0,-0.1548279608837378,-0.12608475190148496,0.0
2018-11-19,-0.01581989656221478,-0.15223028669940747,-0.0,1.0,-0.15464962985498426,-0.12602315036145276,0.0
2018-11-20,-0.010951274763010952,-0.15025899259815026,-0.0,1.0,-0.1542989885581543,-0.12734644408212736,0.0
2018-11-21,-0.011231597845601437,-0.14850987432675045,-0.0,1.0,-0.15307719928186714,-0.1234326750448833,0.0
2018-11-23,-0.011470820472327902,-0.14682363075156127,-0.0,1.0,-0.15375780633120378,-0.12359486038331778,0.0
2018-11-26,-0.011309327324655194,-0.14759533274968784,-0.0,1.0,-0.15323564447378618,-0.12306787031588617,0.0
2018-11-27,-0.009281771116386832,-0.1478361602928978,-0.0,1.0,-0.151626097651669,-0.12143531363519351,0.0
2018-11-28,-0.009483893116667618,-0.1474366310007438,-0.0,1.0,-0.15188533501172968,-0.12164559134862962,0.0
2018-11-29,-0.004940978797932478,-0.14525338535362886,-0.0,1.0,-0.15124805991826737,-0.1224707741816059,0.0
2018-11-30,-0.005125284738041002,-0.14545842824601365,-0.0,1.0,-0.1519362186788155,-0.12118451025056948,0.0
2018-12-03,-0.005297711445620132,-0.14550192967715292,-0.0,1.0,-0.15202438086557768,-0.12129195801706091,0.0
2018-12-04,-0.006248840825760061,-0.14530694933873567,-0.0,1.0,-0.15322500107000697,-0.12190946314182585,0.0
2018-12-06,-0.0060944146154382536,-0.12265532389652047,-0.0,1.0,-0.15382469841712573,-0.1120284498988913,0.0
2018-12-07,-0.008969297939711811,-0.1223897669098467,-0.0,1.0,-0.1538171825524139,-0.10972394649109346,0.0
