Date,BANC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1968665724926159,-0.8485617054064467,-0.0466803647104148,-0.534384230127135,-0.5840182355207397,0.0
2018-09-25,1.0,-0.1963884069147227,-0.8500096394833236,-0.045273440010282114,-0.5356982199087462,-0.5857592699697962,0.0
2018-09-26,1.0,-0.19701789903274528,-0.8508628169285646,-0.046723866448150644,-0.5353642469231016,-0.5835020405540023,0.0
2018-09-27,1.0,-0.19642914796758465,-0.862299422077293,-0.044587221128079293,-0.5386304200432634,-0.5866722629386886,0.0
2018-09-28,1.0,-0.19580306698950767,-0.862598870056497,-0.045036319612590796,-0.5384342211460855,-0.5865375302663438,0.0
2018-10-01,1.0,-0.1956598960183421,-0.863209222720961,-0.04540317111764136,-0.5383149804630736,-0.5866890560919689,0.0
2018-10-02,1.0,-0.19590992795528703,-0.8662165218234097,-0.044906794171808866,-0.5377184763997027,-0.5859852033728556,0.0
2018-10-03,1.0,-0.19700401190630257,-0.871424873819076,-0.045781027565678784,-0.5371101332988223,-0.5840882619386566,0.0
2018-10-04,1.0,-0.19617768259839707,-0.8781271293682468,-0.045815892793406664,-0.5358707290956877,-0.5887601804081897,0.0
2018-10-05,1.0,-0.18245580012282234,-0.8736869323507547,-0.033711496816315974,-0.5433918355473674,-0.5989204563819128,0.0
2018-10-08,1.0,-0.18066847335140018,-0.8712414505097432,-0.031197573880500706,-0.5449412827461608,-0.5981739579300555,0.0
2018-10-09,1.0,-0.1780959152016546,-0.8739012409513961,-0.02268614270941055,-0.5509953464322648,-0.6059656153050673,0.0
2018-10-10,1.0,-0.17894872871773332,-0.8728394662875973,-0.02387490711724227,-0.551513585112913,-0.6034956223952443,0.0
2018-10-11,1.0,-0.1116564417177914,-0.8745005505741701,-0.0,-0.5361963190184049,-0.6237533427717477,0.0
2018-10-12,1.0,-0.10846371582319823,-0.8704158760770164,-0.0,-0.5218824846807055,-0.609723475069209,0.0
2018-10-15,1.0,-0.0785203605843954,-0.9006838669567921,-0.0,-0.5172210133664906,-0.6120609263288779,0.0
2018-10-16,1.0,-0.07148864592094198,-0.9155219138398282,-0.0,-0.5166806840482198,-0.6112824346634271,0.0
2018-10-17,1.0,-0.05001687686029028,-0.8796833287305532,-0.0,-0.5149897204578232,-0.6238301267298781,0.0
2018-10-18,1.0,-0.049219061646567856,-0.8783331799073306,-0.0,-0.5168308324894902,-0.6241676639356838,0.0
2018-10-19,1.0,-0.03789660121537851,-0.8762940116651907,-0.0,-0.5157419000213761,-0.6237517940574709,0.0
2018-10-22,1.0,-0.03970268864894626,-0.8818401492674273,-0.0,-0.5146055730584529,-0.6226409323096687,0.0
2018-10-23,1.0,-0.03249800478850758,-0.9239265762170791,-0.0,-0.5691620111731844,-0.6667517956903432,0.0
2018-10-24,1.0,-0.029661287236078332,-0.9203610384639919,-0.0,-0.5699432289341073,-0.6694201696753206,0.0
2018-10-25,1.0,-0.0030426278369399856,-0.8879195255984353,-0.0,-0.5676674221490888,-0.6460927070073582,0.0
2018-10-26,1.0,-0.0,-0.8949182556999651,-0.0,-0.6127502134522341,-0.6545868513423774,0.0
2018-10-29,1.0,-0.0,-0.9017803686781155,-0.0,-0.593225145738144,-0.6560894910981566,0.0
2018-10-30,1.0,-0.0,-0.9012595733907209,-0.0,-0.5897841635546553,-0.6737451737451737,0.0
2018-10-31,1.0,-0.0,-0.8893118962967624,-0.0,-0.5872007047792845,-0.66982349054526,0.0
2018-11-01,1.0,-0.0,-0.889346841177951,-0.0,-0.5871193053108482,-0.6697394915680845,0.0
2018-11-02,1.0,-0.0,-0.8803550147400114,-0.0,-0.5884087060151791,-0.6674088941855361,0.0
2018-11-05,1.0,-0.0,-0.8853882566851626,-0.0,-0.5876986739396219,-0.6618075801749271,0.0
2018-11-06,1.0,-0.0,-0.8848300514235545,-0.0,-0.5882352941176471,-0.6625172457042519,0.0
2018-11-07,1.0,-0.0,-0.8849371729389276,-0.0,-0.5865948046250744,-0.6619872779118228,0.0
2018-11-08,1.0,-0.0,-0.8807476635514019,-0.0,-0.5756386292834891,-0.6589096573208723,0.0
2018-11-09,1.0,-0.0,-0.8819619956940935,-0.0,-0.578801210646198,-0.6594589534774876,0.0
