Date,CHCO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13805461207242384,-0.7311919980744028,-0.0654435559359204,-0.36840416142922094,-0.3713193014361744,0.0
2018-09-25,1.0,-0.1369293492838367,-0.7353950968295693,-0.06171879191030524,-0.37216351054128,-0.37607960946301167,0.0
2018-09-26,1.0,-0.13692567658182012,-0.7354826596572165,-0.061797602124292576,-0.3720998846659335,-0.3758817691709358,0.0
2018-09-27,1.0,-0.13608862835784777,-0.7416978138696927,-0.06047487160181774,-0.37344376025168735,-0.3772352039581597,0.0
2018-09-28,1.0,-0.13687098249105725,-0.7411312229364462,-0.060595465425889575,-0.3736047981495926,-0.37737016217960784,0.0
2018-10-01,1.0,-0.13634649571728708,-0.7438183483273179,-0.06106232828745354,-0.3738619835155956,-0.3784679200560254,0.0
2018-10-02,1.0,-0.13669181471566477,-0.7626078256401936,-0.05586652605391958,-0.3725156161272004,-0.3764365484978773,0.0
2018-10-03,1.0,-0.13679997836726968,-0.7621210892079715,-0.05597468970552445,-0.37259673886590405,-0.3765987939752846,0.0
2018-10-04,1.0,-0.13549053169234113,-0.7714293476784307,-0.055641589914961834,-0.37107072024343196,-0.3832151492922542,0.0
2018-10-05,1.0,-0.12615367959509566,-0.7696700679351504,-0.048122986981351666,-0.37459062982109503,-0.38804233090643353,0.0
2018-10-08,1.0,-0.12462498986459093,-0.7676153409551609,-0.045028244006594775,-0.37765885564474716,-0.38787534798237794,0.0
2018-10-09,1.0,-0.12250087925763602,-0.7691745799853907,-0.03882260639017396,-0.3816789762735709,-0.39320401482563644,0.0
2018-10-10,1.0,-0.12341772151898733,-0.7682570593963,-0.04008438818565401,-0.3822081575246132,-0.39075516607162175,0.0
2018-10-11,1.0,-0.08934235567773313,-0.7744237682385283,-0.001242334531613449,-0.37544935504334953,-0.4027807147388454,0.0
2018-10-12,1.0,-0.08515725583961745,-0.7764260753041331,-0.0,-0.3694789668672325,-0.3964633857957382,0.0
2018-10-15,1.0,-0.059688558598776295,-0.8027625324965206,-0.0,-0.36540532023843914,-0.3981513090517581,0.0
2018-10-16,1.0,-0.0555132280692536,-0.810104300764522,-0.0,-0.3644484144707459,-0.3971573444027008,0.0
2018-10-17,1.0,-0.04079674248515185,-0.7854864226988614,-0.0,-0.36255414062297375,-0.4047514070078066,0.0
2018-10-18,1.0,-0.04009752048967735,-0.78428778918975,-0.0,-0.3641975308641975,-0.4050472040668119,0.0
2018-10-19,1.0,-0.028218013142636257,-0.7805695142378559,-0.0,-0.3641025641025641,-0.4040716402525448,0.0
2018-10-22,1.0,-0.02954914965547498,-0.7850267103667192,-0.0,-0.36300291620428915,-0.4031329840770084,0.0
2018-10-23,1.0,-0.025154788736043106,-0.7878811429755705,-0.0,-0.36975726017460686,-0.40778736302168334,0.0
2018-10-24,1.0,-0.023738487482163704,-0.7844078349980542,-0.0,-0.3728888312362174,-0.4133350629134777,0.0
2018-10-25,1.0,-0.013348393058835608,-0.7768251360509292,-0.0,-0.371342026902146,-0.4054831091487832,0.0
2018-10-26,1.0,-0.01670054810735699,-0.7777720593911635,-0.0,-0.37170942590257583,-0.4071176758189444,0.0
2018-10-29,1.0,-0.0,-0.7888851845202985,-0.0,-0.36260354422588664,-0.41307414151257915,0.0
2018-10-30,1.0,-0.0,-0.7878061973572367,-0.0,-0.35891095484635394,-0.42907554799989694,0.0
2018-10-31,1.0,-0.0,-0.7823943300292744,-0.0,-0.35804529813568897,-0.4274818961532536,0.0
2018-11-01,1.0,-0.0,-0.7929776796034212,-0.0,-0.35144992679731846,-0.4240618498446048,0.0
2018-11-02,1.0,-0.0,-0.770013811448156,-0.0,-0.3645199242928027,-0.42316742544375674,0.0
2018-11-05,1.0,-0.0,-0.7835070022273997,-0.0,-0.36496070047876294,-0.4117872961417343,0.0
2018-11-06,1.0,-0.0,-0.7848055903959863,-0.0,-0.364476412317301,-0.41042311925666164,0.0
2018-11-07,1.0,-0.0,-0.7847071167182742,-0.0,-0.3641016454692018,-0.41024131842260153,0.0
2018-11-08,1.0,-0.0,-0.7823986984595048,-0.0,-0.3503991051909095,-0.40927347602826786,0.0
2018-11-09,1.0,-0.0,-0.7824804150981789,-0.0,-0.35186692440736594,-0.40917183843727745,0.0
2018-11-12,1.0,-0.0,-0.7779187817258882,-0.0,-0.35251269035532995,-0.4076395939086294,0.0
