Date,IWF,IWM,MTUM,SPY,SSTI,VLUE,VXX
2018-09-24,-1.8456375838926176,-3.3289728131043113,-0.3577522466158571,-2.5714935729723583,1.0,-2.2714139460812195,0.0
2018-09-25,-1.851392836839113,-3.3224559408754977,-0.3679363274587834,-2.5658897100625357,1.0,-2.262535531552018,0.0
2018-09-26,-1.85184342284934,-3.3244196631770597,-0.3654984069185253,-2.569071461083295,1.0,-2.26832043695949,0.0
2018-09-27,-1.860830017055145,-3.2998294485503123,-0.37271176805002837,-2.569300739056282,1.0,-2.2674246731097214,0.0
2018-09-28,-1.856314652722519,-3.30180743435262,-0.37467318404001365,-2.5679208821189037,1.0,-2.2669091735819027,0.0
2018-10-01,-1.8727127172918572,-3.3165599268069528,-0.3760292772186642,-2.588403476669716,1.0,-2.282822506861848,0.0
2018-10-02,-1.91556077510276,-3.477040516735173,-0.3691133294186729,-2.6462712859659425,1.0,-2.335995302407516,0.0
2018-10-03,-1.9175972728341364,-3.4820735864582106,-0.37145879863641706,-2.6473492418008697,1.0,-2.336546373574703,0.0
2018-10-04,-1.9383109223873556,-3.4718093890068413,-0.37615003538570424,-2.675631045057797,1.0,-2.333451285680585,0.0
2018-10-05,-1.9010521338219648,-3.472278047050479,-0.3167041021397328,-2.7347204161248375,1.0,-2.3968554202624426,0.0
2018-10-08,-1.9699486928903003,-3.578793061324212,-0.3652577571463474,-2.814317126801857,1.0,-2.4876618617151234,0.0
2018-10-09,-2.0006175126590096,-3.619859207113746,-0.3876744473261702,-2.839199703593924,1.0,-2.502902309497345,0.0
2018-10-10,-2.0002467917077986,-3.6164856860809476,-0.3873395853899309,-2.8377344521224086,1.0,-2.497655478775913,0.0
2018-10-11,-1.7586923876631628,-3.50571791613723,-0.11112394593970198,-2.703592468522583,1.0,-2.4722190135150743,0.0
2018-10-12,-1.7902511078286558,-3.4817634359731846,-0.083740484035905,-2.6285649358027494,1.0,-2.377911600954437,0.0
2018-10-15,-1.7378827251158062,-3.5496554061687946,-0.009942379392159077,-2.620268896169924,1.0,-2.380408993334086,0.0
2018-10-16,-1.7361942405420665,-3.550875211744777,-0.008018068887634105,-2.618859401468097,1.0,-2.379107848673066,0.0
2018-10-17,-1.6214786832164059,-3.3256341068537507,-0.0,-2.521316783594172,1.0,-2.324986508364814,0.0
2018-10-18,-1.6201985325852395,-3.32358653431161,-0.0,-2.5217954251186883,1.0,-2.3242339231765214,0.0
2018-10-19,-1.5523890242610445,-3.2545820531836,-0.0,-2.4970865557792137,1.0,-2.290284987816506,0.0
2018-10-22,-1.5526037256562235,-3.2459779847586794,-0.0,-2.4959779847586794,1.0,-2.2896909398814564,0.0
2018-10-23,-1.5630625860425713,-3.248543894948639,-0.0,-2.4907338769458858,1.0,-2.287514561050514,0.0
2018-10-24,-1.556189872079501,-3.2441061422983406,-0.0,-2.4876836874933925,1.0,-2.2840680833069036,0.0
2018-10-25,-1.3869386154147874,-2.966562070994313,-0.0,-2.3827221023730143,1.0,-2.0696214944106686,0.0
2018-10-26,-1.3166347992351817,-2.8838432122370934,-0.0,-2.3538240917782027,1.0,-2.0059273422562143,0.0
2018-10-29,-1.2631231117824773,-2.877737915407855,-0.0,-2.310800604229607,1.0,-1.9894259818731117,0.0
2018-10-30,-1.2413695529145445,-2.8762497641954345,-0.0,-2.3098471986417657,1.0,-2.0047160913035276,0.0
2018-10-31,-1.24678950307091,-2.7967615857063093,-0.0,-2.288107202680067,1.0,-1.9741299088032755,0.0
2018-11-01,-1.2204819277108434,-2.804633920296571,-0.0,-2.2772937905468025,1.0,-1.9653382761816498,0.0
2018-11-02,-1.2174350530552507,-2.7379253567508233,-0.0,-2.2592389315770216,1.0,-1.9327661909989025,0.0
2018-11-05,-1.2184497117232542,-2.7370733046581863,-0.0,-2.2604557518074495,1.0,-1.9356639516793264,0.0
2018-11-06,-1.244407622203811,-2.7717021080732764,-0.0,-2.2622664089109823,1.0,-1.927184019147565,0.0
2018-11-07,-1.2416996229191575,-2.772004046721236,-0.0,-2.2577945369263315,1.0,-1.9255955118182655,0.0
2018-11-08,-1.1611186287776274,-2.746233649075327,-0.0,-2.2043301759133964,1.0,-1.9094271538114567,0.0
2018-11-09,-1.1600829725829724,-2.74512987012987,-0.0,-2.2049963924963927,1.0,-1.9085497835497836,0.0
2018-11-12,-1.1536123032904149,-2.6911659513590847,-0.0,-2.2073497854077253,1.0,-1.889216738197425,0.0
2018-11-13,-1.118560338743825,-2.663196894848271,-0.0,-2.1818101623147492,1.0,-1.8577981651376148,0.0
2018-11-14,-1.1247015123374902,-2.6671973114000176,-0.0,-2.189617051384098,1.0,-1.8625630140620855,0.0
2018-11-15,-1.1595412844036697,-2.7562385321100917,-0.0,-2.274954128440367,1.0,-1.9835779816513763,0.0
2018-11-16,-1.153108711839166,-2.7655435591958306,-0.0,-2.327252419955324,1.0,-2.0616157855547286,0.0
2018-11-19,-1.1467950533371094,-2.8130841121495327,-0.0,-2.377985462097612,1.0,-2.1023317284999528,0.0
2018-11-20,-1.012678437265214,-2.7950788880540944,-0.0,-2.40251690458302,1.0,-2.1812546957175054,0.0
2018-11-21,-1.0341004379017984,-2.783471536383118,-0.0,-2.402590142551011,1.0,-2.0968974191745087,0.0
