Date,IWF,IWM,MTUM,NFH,SPY,VLUE,VXX
2019-03-27,-0.0,-0.0,-0.0,1.0,-0.0640778198100826,-0.038810645079463114,0.0
2019-03-28,-0.0,-0.0,-0.0,1.0,-0.06391964010056014,-0.03871344771313898,0.0
2019-03-29,-0.0,-0.0,-0.0,1.0,-0.06378873084132759,-0.03886867350314257,0.0
2019-04-01,-0.0,-0.0,-0.0,1.0,-0.06454705752700021,-0.03750275512453163,0.0
2019-04-02,-0.0,-0.0,-0.0,1.0,-0.0649802789590816,-0.036753850560782675,0.0
2019-04-03,-0.0,-0.0,-0.0,1.0,-0.06773198148556316,-0.03432885166409522,0.0
2019-04-04,-0.0,-0.0,-0.0,1.0,-0.07015417167164409,-0.03187022690455463,0.0
2019-04-05,-0.0,-0.0,-0.0,1.0,-0.06950769061138982,-0.033088924417002036,0.0
2019-04-08,-0.0,-0.0,-0.0,1.0,-0.0698215328990156,-0.03249666545410452,0.0
2019-04-09,-0.0,-0.0,-0.0,1.0,-0.06987718021653326,-0.03263434102886375,0.0
2019-04-10,-0.0,-0.0,-0.0,1.0,-0.06924102665829117,-0.032785620612512535,0.0
2019-04-11,-0.0,-0.0,-0.0,1.0,-0.06838210153639142,-0.03454399064709321,0.0
2019-04-12,-0.0,-0.0,-0.0,1.0,-0.06951924774854318,-0.03412502207310613,0.0
2019-04-15,-0.0,-0.0,-0.0,1.0,-0.07042626715391324,-0.03359572518409751,0.0
2019-04-16,-0.0,-0.0,-0.0,1.0,-0.07077711282379702,-0.033390013912505796,0.0
2019-04-17,-0.0,-0.0,-0.0,1.0,-0.071392287645214,-0.03289677105879235,0.0
2019-04-18,-0.0,-0.0,-0.0,1.0,-0.06969141392944711,-0.034768394778114026,0.0
2019-04-22,-0.0,-0.0,-0.0,1.0,-0.06977643264260151,-0.03480537268590112,0.0
2019-04-23,-0.0,-0.0,-0.0,1.0,-0.07044851966416261,-0.03427971718957137,0.0
2019-04-24,-0.0,-0.0,-0.0,1.0,-0.07253593599575076,-0.0340382210713851,0.0
2019-04-25,-0.0,-0.0,-0.0,1.0,-0.07288555562930024,-0.03328466184376452,0.0
2019-04-26,-0.0,-0.0,-0.0,1.0,-0.07299512259862637,-0.03299158344116703,0.0
2019-04-29,-0.0,-0.0,-0.0,1.0,-0.0725455068232588,-0.03333112158007653,0.0
2019-04-30,-0.0,-0.0,-0.0,1.0,-0.07267419358405856,-0.0331412900443432,0.0
2019-05-01,-0.0,-0.0,-0.0,1.0,-0.07327943729885757,-0.03265834264164298,0.0
2019-05-02,-0.0,-0.0,-0.0,1.0,-0.07094023701969272,-0.03353177013728587,0.0
2019-05-03,-0.0,-0.0,-0.0,1.0,-0.07148145283373297,-0.033492082785445146,0.0
2019-05-06,-0.0,-0.0,-0.0,1.0,-0.07129839288672889,-0.033246810625724856,0.0
2019-05-07,-0.0,-0.0,-0.0,1.0,-0.07080192895529634,-0.03271940762974652,0.0
2019-05-08,-0.0,-0.0,-0.0,1.0,-0.07630284713780681,-0.038920920273450135,0.0
2019-05-09,-0.0,-0.0,-0.0,1.0,-0.0755805519288496,-0.040340129222322656,0.0
2019-05-10,-0.0,-0.0,-0.0,1.0,-0.07569805593375444,-0.04030980068298998,0.0
