Date,EXR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3013150371640938,-0.5381034060279344,-0.0,-0.49663753437338337,-0.38661548095510356,0.0
2018-09-25,1.0,-0.30081167946832266,-0.5386501062265076,-0.0,-0.4970311053004303,-0.3872909516805578,0.0
2018-09-26,1.0,-0.3007027292041183,-0.5385956310944053,-0.0,-0.4970583428664815,-0.3873999019447622,0.0
2018-09-27,1.0,-0.3014455666566847,-0.5366564124901315,-0.0,-0.4969645822557373,-0.3872811912993766,0.0
2018-09-28,1.0,-0.2986931492647259,-0.5421657163124437,-0.0,-0.49843123345974405,-0.38902681908711423,0.0
2018-10-01,1.0,-0.2983751846381093,-0.5466108649269653,-0.0,-0.4993708627386618,-0.3910224848186443,0.0
2018-10-02,1.0,-0.2973861581456518,-0.5555920872376567,-0.0,-0.49761630774289,-0.3892816044714779,0.0
2018-10-03,1.0,-0.2967821443242503,-0.5496371354237984,-0.0,-0.4993838148706012,-0.39279748048747093,0.0
2018-10-04,1.0,-0.30234471410942004,-0.5436994378170849,-0.0,-0.506951871657754,-0.38935965994789523,0.0
2018-10-05,1.0,-0.2896647739681153,-0.5358975758899324,-0.0,-0.5107010264249836,-0.39359030355972924,0.0
2018-10-08,1.0,-0.2867624996590382,-0.5328550776029023,-0.0,-0.5148250184119364,-0.3932244074084177,0.0
2018-10-09,1.0,-0.28219133189502144,-0.5333861321244231,-0.0,-0.517628423956086,-0.39773875522298385,0.0
2018-10-10,1.0,-0.2870203098483604,-0.5336946406087479,-0.0,-0.5219247823944818,-0.3945092242842284,0.0
2018-10-11,1.0,-0.23379592704843943,-0.5216940500877333,-0.0,-0.5045727654596692,-0.39849524113362045,0.0
2018-10-12,1.0,-0.23332192952446118,-0.5156188320745283,-0.0,-0.4960920024211164,-0.3866417537303613,0.0
2018-10-15,1.0,-0.2175967242374928,-0.5285579295501076,-0.0,-0.49272927712740827,-0.3859257703816473,0.0
2018-10-16,1.0,-0.21237682301931415,-0.5384837734857443,-0.0,-0.4918933123111286,-0.38504795690448035,0.0
2018-10-17,1.0,-0.19947173524613512,-0.5136597871403786,-0.0,-0.4878162467307144,-0.3885594427324753,0.0
2018-10-18,1.0,-0.2000362807090287,-0.51547113092153,-0.0,-0.48712034829480666,-0.3888514564113196,0.0
2018-10-19,1.0,-0.18600880240908038,-0.5052376907832086,-0.0,-0.49249736185107973,-0.3900599696291149,0.0
2018-10-22,1.0,-0.18591527520098952,-0.49616058544629976,-0.0,-0.4987631416202845,-0.3959750566893424,0.0
2018-10-23,1.0,-0.18272013228606865,-0.49819140140553947,-0.0,-0.5035396858205871,-0.399261058288549,0.0
2018-10-24,1.0,-0.18142141418315172,-0.4939569237126181,-0.0,-0.5051650224678478,-0.40196787356025,0.0
2018-10-25,1.0,-0.14914919976738894,-0.461303127607393,-0.0,-0.5342216378852621,-0.3837071123359713,0.0
2018-10-26,1.0,-0.1369269672767332,-0.4518414661625898,-0.0,-0.5376680603890739,-0.3772814901980421,0.0
2018-10-29,1.0,-0.12477891537752535,-0.4549983807886805,-0.0,-0.5325212365792292,-0.3787958049971352,0.0
