Date,APA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4292511664433871,-1.2153647156649883,-0.0,-0.9848015891347531,-0.9901602993486396,0.0
2018-09-25,1.0,-0.45283987492416117,-1.2269566434871892,-0.0,-0.9946796098380548,-0.9925327857376208,0.0
2018-09-26,1.0,-0.45527126715846483,-1.2294331870389392,-0.0,-0.9950508917732748,-0.9891679895415071,0.0
2018-09-27,1.0,-0.4568776528756005,-1.2244041233266478,-0.0,-0.9945892998740613,-0.9885255842156817,0.0
2018-09-28,1.0,-0.4566484772165477,-1.2245697495452639,-0.0,-0.9943099668858729,-0.9883867356932979,0.0
2018-10-01,1.0,-0.4569029850746269,-1.2246735074626867,-0.0,-0.9942164179104477,-0.9884328358208955,0.0
2018-10-02,1.0,-0.4650467289719626,-1.202196261682243,-0.0,-1.005747663551402,-0.9999065420560748,0.0
2018-10-03,1.0,-0.46414389161410885,-1.1897687456201822,-0.0,-1.0100911002102313,-1.0078019154403177,0.0
2018-10-04,1.0,-0.46680982167864815,-1.1842498366165626,-0.0,-1.0126505461674915,-1.0043880123237792,0.0
2018-10-05,1.0,-0.44215221633677165,-1.1720565003252486,-0.0,-1.0185391692221912,-1.0136604404795093,0.0
2018-10-08,1.0,-0.43770279039584686,-1.166635765273014,-0.0,-1.0195605821822564,-1.0112635579864653,0.0
2018-10-09,1.0,-0.43564310544611823,-1.1665816917728855,-0.0,-1.0202549246813442,-1.0125608342989572,0.0
2018-10-10,1.0,-0.44902244412299935,-1.1728337455088425,-0.0,-1.0339228220801642,-1.01035882599972,0.0
2018-10-11,1.0,-0.3726943942133815,-1.1446654611211573,-0.0,-0.9996835443037974,-1.00375226039783,0.0
2018-10-12,1.0,-0.36843278922486844,-1.1322361965926322,-0.0,-0.9788154491124788,-0.9804210150744804,0.0
2018-10-15,1.0,-0.3432205274158403,-1.1511984702272424,-0.0,-0.9730066260506071,-0.9795882065193223,0.0
2018-10-16,1.0,-0.34492882562277577,-1.1493327402135232,-0.0,-0.9737989323843416,-0.980338078291815,0.0
2018-10-17,1.0,-0.31084284460052675,-1.0935908691834944,-0.0,-0.9776119402985075,-1.0078138718173837,0.0
