Date,ETNB,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-09,1.0,-1.7295098637380517,-0.6472103586197546,-1.7417802182902853,-1.6607009694258015,-0.0,0.0
2020-07-10,1.0,-1.7453086755507208,-0.6304732118574926,-1.7599945607832472,-1.6632444927930379,-0.0,0.0
2020-07-13,1.0,-1.7577263444520081,-0.6224642614023145,-1.764805990469707,-1.662355343771273,-0.0,0.0
2020-07-14,1.0,-1.7458375806999662,-0.6218144750254841,-1.7537886510363576,-1.674413863404689,-0.0,0.0
2020-07-15,1.0,-1.7535709427288801,-0.6165827778533532,-1.7548632839069513,-1.6768466875255066,-0.0,0.0
2020-07-16,1.0,-1.7550493029581775,-0.6115606936416186,-1.7565453927235635,-1.6771846310778646,-0.0,0.0
2020-07-17,1.0,-1.7525324631178192,-0.6120742402610646,-1.7559317424705962,-1.6780202597049427,-0.0,0.0
2020-07-20,1.0,-1.7524301543063014,-0.6126707905648835,-1.754877302698661,-1.6777241519951058,-0.0,0.0
2020-07-21,1.0,-1.7443991853360492,-0.6174473862864902,-1.7484046164290565,-1.6786829599456892,-0.0,0.0
2020-07-22,1.0,-1.7400393674065024,-0.6230910201588272,-1.744383357089527,-1.6799701350709293,-0.0,0.0
2020-07-23,1.0,-1.7432634730538918,-0.6284703320631464,-1.7502041371801849,-1.682634730538922,-0.0,0.0
2020-07-24,1.0,-1.7235314091680818,-0.6466553480475382,-1.7383361629881153,-1.6826485568760612,-0.0,0.0
2020-07-27,1.0,-1.7239155522367797,-0.6446948611771095,-1.7366777543954925,-1.6831172357613198,-0.0,0.0
2020-07-28,1.0,-1.7197746249406016,-0.6456452379336094,-1.7308397257484216,-1.6921458149480686,-0.0,0.0
2020-07-29,1.0,-1.7168736006513332,-0.6451591017029649,-1.7288825564828008,-1.6937377026935343,-0.0,0.0
2020-07-30,1.0,-1.7369392778993435,-0.6280771334792122,-1.7523933260393871,-1.720733041575492,-0.0,0.0
2020-07-31,1.0,-1.7382385120350108,-0.6275984682713348,-1.7524617067833697,-1.71984409190372,-0.0,0.0
2020-08-03,1.0,-1.7386309238870274,-0.6273678451754087,-1.752513164193394,-1.7200300895849006,-0.0,0.0
