Date,IWF,IWM,MTUM,OVID,SPY,VLUE,VXX
2018-09-24,-1.913551126312065,-3.0691119235758935,-0.992687816959547,1.0,-2.457247316900578,-2.361127491449463,0.0
2018-09-25,-1.9506688963210703,-3.1035594839942666,-1.0215002388915433,1.0,-2.486383182035356,-2.38246536072623,0.0
2018-09-26,-1.9573931829092654,-3.120019203072492,-1.0159625540086414,1.0,-2.503000480076812,-2.4054248679788763,0.0
2018-09-27,-1.9780484863104573,-3.1148233023760703,-1.0289470510191774,1.0,-2.519599565794235,-2.4198528524906524,0.0
2018-09-28,-1.9754039064383893,-3.115022908126356,-1.0295394260911501,1.0,-2.5182059319990353,-2.4188570050639013,0.0
2018-10-01,-1.98403869407497,-3.1221281741233375,-1.0305925030229746,1.0,-2.5285368802902055,-2.4267230955259977,0.0
2018-10-02,-1.987418340188725,-3.1062182434067265,-1.0381079119283814,1.0,-2.533752721993709,-2.432252601016211,0.0
2018-10-03,-1.9876558150792691,-3.1103715357618302,-1.0353382548711123,1.0,-2.5355197870022996,-2.4333777078542904,0.0
2018-10-04,-1.9937978839839476,-3.1345007904657667,-1.0369694758603916,1.0,-2.545421379058738,-2.450322266812599,0.0
2018-10-05,-1.9592453742895148,-3.113314790180191,-0.9984278631031563,1.0,-2.555810859837949,-2.4665618575402104,0.0
2018-10-08,-1.952340733590734,-3.103040540540541,-0.9866071428571429,1.0,-2.560448841698842,-2.463199806949807,0.0
2018-10-09,-1.9597470509546393,-3.1315821476346835,-0.9723945032226682,1.0,-2.5946734768332727,-2.502614617536179,0.0
2018-10-10,-1.9601312750698918,-3.129330254041571,-0.9727725780965116,1.0,-2.5943843442324055,-2.498480612616993,0.0
2018-10-11,-1.8364575823119442,-3.1997116077865897,-0.751381879355924,1.0,-2.618120644075943,-2.610790675318433,0.0
2018-10-12,-1.8599713740458015,-3.1965648854961835,-0.7327051526717557,1.0,-2.5783635496183206,-2.5598759541984735,0.0
2018-10-15,-1.813502912159753,-3.2653036966599314,-0.6637346963033401,1.0,-2.5748246760965174,-2.56900035659099,0.0
2018-10-16,-1.8116682509505704,-3.2680608365019013,-0.6595769961977186,1.0,-2.5743821292775664,-2.568441064638783,0.0
2018-10-17,-1.7374927787406125,-3.137839399191219,-0.5865973425765454,1.0,-2.5344887348353553,-2.557481224725592,0.0
2018-10-18,-1.770292590844738,-3.1953751769702694,-0.6048843794242568,1.0,-2.607243983010854,-2.6202218027371402,0.0
2018-10-19,-1.7262167499128818,-3.1600650482053667,-0.5510512254617261,1.0,-2.5846207457312116,-2.593681031478685,0.0
2018-10-22,-1.7516699871088712,-3.1643032930973862,-0.5257236610805109,1.0,-2.6355326379936717,-2.642212586429157,0.0
2018-10-23,-1.7514945492908218,-3.1662173250498187,-0.5235025202203728,1.0,-2.637088266322823,-2.643652561247216,0.0
2018-10-24,-1.7516684229012995,-3.1588806931272684,-0.5068493150684932,1.0,-2.641025641025641,-2.649806814190376,0.0
2018-10-25,-1.5987247141600702,-2.9467897977132806,-0.4204045734388743,1.0,-2.5469437115215476,-2.481090589270009,0.0
2018-10-26,-1.555061781920659,-2.908519401690874,-0.3629958812052894,1.0,-2.556470843269022,-2.455993930197269,0.0
2018-10-29,-1.5144059566202654,-2.9405417071328372,-0.3182259630948527,1.0,-2.5419229524117837,-2.4758821625121397,0.0
2018-10-30,-1.5095987920621228,-2.9415444348576356,-0.31190681622088007,1.0,-2.542709232096635,-2.4792924935289045,0.0
