Date,AVB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2756454136514766,-0.3919421083512615,-0.0,-0.444553099941326,-0.3326325053784471,0.0
2018-09-25,1.0,-0.27200869479300466,-0.402652899911076,-0.0,-0.452598557454797,-0.34287619800414976,0.0
2018-09-26,1.0,-0.2727317639503001,-0.4033050910258627,-0.0,-0.452585035693995,-0.3415507743991305,0.0
2018-09-27,1.0,-0.27117845451840095,-0.41136791984922133,-0.0,-0.45412161491915487,-0.34324471778593396,0.0
2018-09-28,1.0,-0.2719672537831804,-0.4110890597866534,-0.0,-0.4542545274125527,-0.343438352766063,0.0
2018-10-01,1.0,-0.27196924305971637,-0.41983722788096656,-0.0,-0.4569852206910325,-0.3476882364689435,0.0
2018-10-02,1.0,-0.27125506072874495,-0.4258759434198031,-0.0,-0.45559054330984156,-0.346378767431399,0.0
2018-10-03,1.0,-0.2708015886893313,-0.4216271575949841,-0.0,-0.4567481827492319,-0.3487872505183224,0.0
2018-10-04,1.0,-0.2753,-0.416325,-0.0,-0.462775,-0.34559999999999996,0.0
2018-10-05,1.0,-0.2680594636320625,-0.41109091361836697,-0.0,-0.46435419208645634,-0.3465972758285814,0.0
2018-10-08,1.0,-0.26582813393323224,-0.4081881229958488,-0.0,-0.46610654005816704,-0.3456213179547093,0.0
2018-10-09,1.0,-0.26043197728008766,-0.4092573677785805,-0.0,-0.4699683615256222,-0.3515607483620239,0.0
2018-10-10,1.0,-0.26415047272183,-0.40893556514580787,-0.0,-0.47302117893581463,-0.34849202983510863,0.0
2018-10-11,1.0,-0.22584643803320126,-0.3962034854045645,-0.0,-0.45966507060739376,-0.34885642758184865,0.0
2018-10-12,1.0,-0.22264819353116733,-0.39543347972727055,-0.0,-0.4609225244461699,-0.3474146507170068,0.0
2018-10-15,1.0,-0.20299859516543137,-0.4136511166012692,-0.0,-0.4576611926561062,-0.3478418834471733,0.0
2018-10-16,1.0,-0.2008089517535361,-0.41714299554349926,-0.0,-0.45693664018601043,-0.3471468707614803,0.0
2018-10-17,1.0,-0.19249107506528976,-0.4007714977118624,-0.0,-0.45393775307281303,-0.3487553010518245,0.0
