Date,IWF,IWM,MTUM,MYN,SPY,VLUE,VXX
2018-09-24,-0.08454243333063144,-0.2277539109994326,-0.0,1.0,-0.1605090378536111,-0.14833427899813567,0.0
2018-09-25,-0.08352811323204778,-0.22878522269835086,-0.0,1.0,-0.16129398779379303,-0.14955849889624726,0.0
2018-09-26,-0.08269162036585763,-0.22843357052344285,-0.0,1.0,-0.1617279137017903,-0.15172044058875134,0.0
2018-09-27,-0.0868638552648705,-0.22330144474814528,-0.0,1.0,-0.16368931407002474,-0.1531140179617337,0.0
2018-09-28,-0.08998138653952911,-0.223149266890899,-0.0,1.0,-0.16528426346210365,-0.15434477353623094,0.0
2018-10-01,-0.09022470442223529,-0.22298974459468288,-0.0,1.0,-0.1654418969233784,-0.15438630870729636,0.0
2018-10-02,-0.09053188708834291,-0.22252352326189231,-0.0,1.0,-0.1657736539466806,-0.15473078933612128,0.0
2018-10-03,-0.09016821819369591,-0.21881430671239588,-0.0,1.0,-0.16709129511677284,-0.15711252653927812,0.0
2018-10-04,-0.09121042404846268,-0.21716767630586353,-0.0,1.0,-0.16836209852554576,-0.15609947259278611,0.0
2018-10-05,-0.0968276903878362,-0.22365439558635183,-0.0,1.0,-0.16772848182325703,-0.15377163311549702,0.0
2018-10-08,-0.09622291834090499,-0.22280353599134042,-0.0,1.0,-0.16771357814114446,-0.15331376182900627,0.0
2018-10-09,-0.09876218931608496,-0.22369241881997567,-0.0,1.0,-0.16730144137636668,-0.15190268247036806,0.0
2018-10-10,-0.10076373491007637,-0.22314198899564755,-0.0,1.0,-0.16874435411020777,-0.14980701322164736,0.0
2018-10-11,-0.07541689938562196,-0.2142982526131014,-0.0,1.0,-0.15635522221335674,-0.14971674778584537,0.0
2018-10-12,-0.08063374187762551,-0.20945892792523482,-0.0,1.0,-0.14558127094510612,-0.13768309759436115,0.0
2018-10-15,-0.06644580866998478,-0.22292003579783642,-0.0,1.0,-0.14270462074704432,-0.13801007991709976,0.0
2018-10-16,-0.06931861079652699,-0.2198313829117906,-0.0,1.0,-0.14423681892538065,-0.13951805712847615,0.0
2018-10-17,-0.0637788047114472,-0.20877872691344193,-0.0,1.0,-0.14226143241687284,-0.14114114114114115,0.0
2018-10-18,-0.06384302985980363,-0.20901862542206734,-0.0,1.0,-0.1420324583378717,-0.14111441330698493,0.0
2018-10-19,-0.056593008373297976,-0.20200774106000094,-0.0,1.0,-0.14277783774614874,-0.1406652377060556,0.0
2018-10-22,-0.0564297173886215,-0.19776625941009504,-0.0,1.0,-0.14540910773787485,-0.14304887078859682,0.0
2018-10-23,-0.06104745558287331,-0.1994093179323035,-0.0,1.0,-0.14332544726384314,-0.14250591455211764,0.0
2018-10-24,-0.06072786864970162,-0.2002257196747163,-0.0,1.0,-0.14311554992115272,-0.1419714912958783,0.0
2018-10-25,-0.047258438469181895,-0.18112974616843816,-0.0,1.0,-0.1476920297491795,-0.1294601186353919,0.0
2018-10-26,-0.04361566689133528,-0.1780873212012282,-0.0,1.0,-0.1487006665168876,-0.1273871040215682,0.0
