Date,ECHO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.42515718200870545,-1.0979364823472513,-0.05674673545058843,-0.7286393680477189,-0.7218684507496372,0.0
2018-09-25,1.0,-0.437335230363644,-1.1570908482236264,-0.03724316859856886,-0.7785496087374985,-0.7744068293091183,0.0
2018-09-26,1.0,-0.43702649533297055,-1.1570047298145745,-0.035996818885772885,-0.7792474153446904,-0.7764430120128918,0.0
2018-09-27,1.0,-0.4424445374633738,-1.1461280870657178,-0.03947258267057346,-0.7806613645876936,-0.7771452490581833,0.0
2018-09-28,1.0,-0.44159325928762927,-1.1795395548746754,-0.04140601727733095,-0.7986722839269756,-0.7942891186859016,0.0
2018-10-01,1.0,-0.4498244712732254,-1.1829351828067471,-0.04045723092730542,-0.807945885777892,-0.8000256871307475,0.0
2018-10-02,1.0,-0.4499785683669096,-1.1923703386198028,-0.03857693956279468,-0.8067723960565795,-0.7986283754822118,0.0
2018-10-03,1.0,-0.45154364721542356,-1.1993645068487269,-0.03997595431319507,-0.8063463437674439,-0.7966421915925973,0.0
2018-10-04,1.0,-0.45084439083232813,-1.208297432362571,-0.04049629501981734,-0.8054885404101327,-0.8030329140099949,0.0
2018-10-05,1.0,-0.4443584784010316,-1.2097141629056525,-0.030603911454975284,-0.8079518590156888,-0.8056307758435419,0.0
2018-10-08,1.0,-0.44186644937170305,-1.2058154994210235,-0.02663292876442081,-0.8101385255393062,-0.8042629840888622,0.0
2018-10-09,1.0,-0.4405987304855035,-1.2064676616915422,-0.023331617773202952,-0.8118459427002916,-0.8066134843026247,0.0
2018-10-10,1.0,-0.4404802744425386,-1.2065608919382504,-0.022984562607204117,-0.8119639794168096,-0.8062178387650086,0.0
2018-10-11,1.0,-0.37371176861702127,-1.1926113696808511,-0.0,-0.7827875664893618,-0.8064744015957447,0.0
2018-10-12,1.0,-0.3775255112495389,-1.185115364124421,-0.0,-0.7573050284824393,-0.7782467931642146,0.0
