Date,CLVS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.126573998364677,-2.4650858544562553,-0.13605887162714633,-1.8031888798037612,-1.64562551103843,0.0
2018-09-25,1.0,-1.1351616864510847,-2.4633647155137126,-0.14678673761768318,-1.8013917314776915,-1.6400327466230047,0.0
2018-09-26,1.0,-1.1386855309698116,-2.473060788023361,-0.14041293082174877,-1.8137698445340134,-1.6597844863041868,0.0
2018-09-27,1.0,-1.1454874239684367,-2.4550386322538222,-0.1457340128226204,-1.8140720039454217,-1.6592963998027288,0.0
2018-09-28,1.0,-1.1509874177151904,-2.50187484376302,-0.15123739688359303,-1.8420131655695358,-1.6865261228230979,0.0
2018-10-01,1.0,-1.153301100366789,-2.5004168056018674,-0.15155051683894633,-1.8436978992997666,-1.6871457152384128,0.0
2018-10-02,1.0,-1.1549037580201649,-2.4827097741854844,-0.15848679276726937,-1.846179485042913,-1.690359136738605,0.0
2018-10-03,1.0,-1.2116319444444446,-2.527951388888889,-0.16041666666666668,-1.9624131944444445,-1.8179687500000001,0.0
2018-10-04,1.0,-1.212925110898495,-2.534922153605288,-0.1633469600765417,-1.9630338349134557,-1.8236931373401757,0.0
2018-10-05,1.0,-1.1775612280096586,-2.5127630217316317,-0.1252155915833046,-1.9720593308037255,-1.8360641600551915,0.0
2018-10-08,1.0,-1.1693126233587918,-2.498755685231271,-0.11816699562344461,-1.967819445636317,-1.8274264137990217,0.0
2018-10-09,1.0,-1.1686116354899605,-2.4993993478633945,-0.11601166981293977,-1.9685944740003432,-1.8281276814827525,0.0
2018-10-10,1.0,-1.1699638740753484,-2.5083433683124032,-0.11259246516428693,-1.973937725787029,-1.8365731980044726,0.0
2018-10-11,1.0,-0.9785972999670727,-2.4806552518933156,-0.0,-1.9115080671715508,-1.8610470859400723,0.0
2018-10-12,1.0,-0.986104378736468,-2.4547584423978024,-0.0,-1.8491678784941026,-1.7888188721925997,0.0
2018-10-15,1.0,-0.9107274363800016,-2.5858767694951315,-0.0,-1.8631863186318633,-1.8227640945912775,0.0
2018-10-16,1.0,-0.9018536908308507,-2.6530122476001323,-0.0,-1.8808341608738828,-1.8397053955643827,0.0
2018-10-17,1.0,-0.8470850589359668,-2.517601146862058,-0.0,-1.8098120420516086,-1.7898215992354254,0.0
2018-10-18,1.0,-0.8507654083513664,-2.5252865272100666,-0.0,-1.833453554540354,-1.8051614971547647,0.0
2018-10-19,1.0,-0.8016235813366961,-2.48218789407314,-0.0,-1.8151796973518286,-1.782471626733922,0.0
2018-10-22,1.0,-0.8551068883610452,-2.6162666885084773,-0.0,-1.8755835858792693,-1.8437218445409123,0.0
2018-10-23,1.0,-0.9969579646017699,-2.9000737463126844,-0.0,-2.184734513274336,-2.1365228613569323,0.0
2018-10-24,1.0,-0.9894106813996317,-2.8994475138121545,-0.0,-2.183793738489871,-2.135451197053407,0.0
2018-10-25,1.0,-0.8520831551030884,-2.6694328000684404,-0.0,-2.0774232184104715,-1.9561125844811362,0.0
2018-10-26,1.0,-0.7981605351170569,-2.60376254180602,-0.0,-2.0535953177257524,-1.9056856187290971,0.0
2018-10-29,1.0,-0.746772591857001,-2.607663025488249,-0.0,-2.021433300231711,-1.8995365772922872,0.0
2018-10-30,1.0,-0.7734921692769078,-2.6242919026991007,-0.0,-2.0363212262579142,-1.8964511829390203,0.0
2018-10-31,1.0,-0.7870684659326104,-2.5673482904213927,-0.0,-2.0374203162513456,-1.8869939564533489,0.0
2018-11-01,1.0,-1.1572997416020672,-3.349052540913006,-0.0,-2.690030146425495,-2.570198105081826,0.0
2018-11-02,1.0,-1.2009585012525867,-3.379806121337545,-0.0,-2.7103801328831283,-2.6010238536107178,0.0
2018-11-05,1.0,-1.201918835465373,-3.4746360829289813,-0.0,-2.752095280105867,-2.599139832377592,0.0
2018-11-06,1.0,-1.2116466306385794,-3.4829601852873058,-0.0,-2.745781405095401,-2.588728355575163,0.0
2018-11-07,1.0,-1.2155277439362056,-3.4980618008638835,-0.0,-2.7606600952486433,-2.6011739949053054,0.0
2018-11-08,1.0,-1.1173414158908854,-3.45399437107599,-0.0,-2.6887854513964062,-2.564624377570903,0.0
2018-11-09,1.0,-1.1166540417703712,-3.4528730656855315,-0.0,-2.688237203765826,-2.563575370630884,0.0
