Date,CHL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23443967974617652,-0.4044319956374092,-0.02104454304340282,-0.4340034206677738,-0.38482512455692436,0.0
2018-09-25,1.0,-0.2342177039424746,-0.40493429209025544,-0.020555417803124226,-0.43441606744359035,-0.3854202826679891,0.0
2018-09-26,1.0,-0.2343796489140137,-0.40513735991272437,-0.021025488445899035,-0.4342705543984925,-0.38460775562828525,0.0
2018-09-27,1.0,-0.2372973776830417,-0.3987260199276261,-0.022951469786348086,-0.4347642889010063,-0.3847965101868835,0.0
2018-09-28,1.0,-0.23519781718963165,-0.40146347513332503,-0.023465211459754432,-0.4350489892099714,-0.38529083467691927,0.0
2018-10-01,1.0,-0.2352500374681521,-0.41087575560773343,-0.02385472348503772,-0.43810261277913776,-0.38979367537593046,0.0
2018-10-02,1.0,-0.23543665067945643,-0.4099720223820943,-0.024505395683453234,-0.4381245003996802,-0.38996302957633894,0.0
2018-10-03,1.0,-0.23836463754997358,-0.4252093233763295,-0.025873123632797767,-0.43820874506549995,-0.3867390812400996,0.0
2018-10-04,1.0,-0.24042424851714084,-0.42145873127576156,-0.02633959987936061,-0.44076103347743034,-0.38436211923192926,0.0
2018-10-05,1.0,-0.2287262057031074,-0.41511799964888524,-0.013994432322624333,-0.45256188398164177,-0.39758733980387734,0.0
2018-10-08,1.0,-0.23137036003349148,-0.42189125415472056,-0.004567021033669094,-0.4722807195595362,-0.4071245528125238,0.0
2018-10-09,1.0,-0.23,-0.42251269035532996,-0.0007106598984771572,-0.4746192893401015,-0.41022842639593904,0.0
2018-10-10,1.0,-0.23120257822214327,-0.42132108508640603,-0.002055472378003908,-0.4753977719694471,-0.4076686883041084,0.0
2018-10-11,1.0,-0.1692574686996405,-0.41814801041279287,-0.0,-0.4642370149993802,-0.4275691087145159,0.0
2018-10-12,1.0,-0.1673504483478688,-0.4121361012160668,-0.0,-0.45773246529910333,-0.4194570691561233,0.0
2018-10-15,1.0,-0.1517861518106532,-0.4246092027245553,-0.0,-0.4545009065516734,-0.4192678982702014,0.0
2018-10-16,1.0,-0.15194060570420465,-0.42448299519749094,-0.0,-0.4545231794570225,-0.4193129471724003,0.0
2018-10-17,1.0,-0.14314769975786926,-0.40697336561743347,-0.0,-0.4507021791767555,-0.4204842615012107,0.0
2018-10-18,1.0,-0.143899541829289,-0.40937189401469054,-0.0,-0.4498800029090204,-0.42100797556422875,0.0
2018-10-19,1.0,-0.13122444070242964,-0.3989174885734905,-0.0,-0.4534520086600914,-0.42198700986288185,0.0
2018-10-22,1.0,-0.131255561166823,-0.39480075992593133,-0.0,-0.4551619652261742,-0.4235865618161268,0.0
2018-10-23,1.0,-0.12945396764252695,-0.3955604776579353,-0.0,-0.45743451463790447,-0.4250770416024653,0.0
2018-10-24,1.0,-0.13086954406111626,-0.40985840105104376,-0.0,-0.4637487226898934,-0.4285192934650382,0.0
2018-10-25,1.0,-0.10978638847491307,-0.37958034679346153,-0.0,-0.46720128687341805,-0.408984458164786,0.0
2018-10-26,1.0,-0.09918188424482524,-0.3714104878220305,-0.0,-0.47035795494502913,-0.40322089125389715,0.0
2018-10-29,1.0,-0.10489659080177542,-0.3720842383605628,-0.0,-0.47967230144489564,-0.40428746812730193,0.0
2018-10-30,1.0,-0.10810810810810811,-0.37242487242487243,-0.0,-0.4798714798714799,-0.4020742770742771,0.0
2018-10-31,1.0,-0.11043002419032856,-0.361375325864863,-0.0,-0.47795861809812346,-0.3988116207520139,0.0
2018-11-01,1.0,-0.11640772128060263,-0.35838041431261763,-0.0,-0.4794020715630885,-0.3998352165725047,0.0
2018-11-02,1.0,-0.11616173523517623,-0.3614758929623954,-0.0,-0.47921725804550275,-0.40080160320641284,0.0
2018-11-05,1.0,-0.1223346155672698,-0.3518782352661822,-0.0,-0.48299852780548036,-0.4172721660255497,0.0
2018-11-06,1.0,-0.1235963058806771,-0.3526744379288241,-0.0,-0.48194487310367756,-0.41589705847439523,0.0
2018-11-07,1.0,-0.1235963058806771,-0.3526744379288241,-0.0,-0.48194487310367756,-0.41589705847439523,0.0
