Date,CAJ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25207112058524295,-0.35279298483600596,-0.05629572210648709,-0.4123831209728211,-0.3488445327261276,0.0
2018-09-25,1.0,-0.25226469020975634,-0.3525165915806811,-0.0567020297437388,-0.41212517560432105,-0.34849585816015116,0.0
2018-09-26,1.0,-0.2538127682273355,-0.354775355817957,-0.05942826661494072,-0.41197294086269187,-0.3446403025968043,0.0
2018-09-27,1.0,-0.25768894925778596,-0.34762782574949064,-0.06172989230619967,-0.4131415542834967,-0.3453720772290676,0.0
2018-09-28,1.0,-0.25473945168189777,-0.3526152051331907,-0.06224479875559013,-0.4142280769978612,-0.3466848143107136,0.0
2018-10-01,1.0,-0.2546064465943896,-0.35293402693373527,-0.062448344596237056,-0.41409402498906117,-0.3467596869074821,0.0
2018-10-02,1.0,-0.2569439372915602,-0.33778816426884783,-0.06808831763188003,-0.4192166313688259,-0.3522967939823267,0.0
2018-10-03,1.0,-0.2566991992601066,-0.33180811448876774,-0.06717453209044223,-0.4216418818604425,-0.3565117920510137,0.0
2018-10-04,1.0,-0.26209284181782716,-0.32611663740979124,-0.06763214355373512,-0.4291983616149795,-0.35303296274624535,0.0
2018-10-05,1.0,-0.2560229259762969,-0.3206965222459685,-0.061273557412084706,-0.4334078103749757,-0.35722265397318825,0.0
2018-10-08,1.0,-0.25487438160830345,-0.31845959840915705,-0.05866233388301484,-0.4360267727228635,-0.3570181394897662,0.0
2018-10-09,1.0,-0.25345689195090004,-0.3190529328999078,-0.054703798942312365,-0.4384551938285382,-0.3602445296201058,0.0
2018-10-10,1.0,-0.25314858404717416,-0.3196874469169356,-0.053944526681064815,-0.43861777766992643,-0.3612560363027494,0.0
2018-10-11,1.0,-0.23130075509331813,-0.3133399819537446,-0.024267464501116016,-0.4358645581041934,-0.36971078501210997,0.0
2018-10-12,1.0,-0.23750029355815971,-0.30645123411850356,-0.022780113196026398,-0.4255184237101054,-0.3562152133580705,0.0
2018-10-15,1.0,-0.23460293634785873,-0.30991134668605475,-0.018293540972841128,-0.42586425254467847,-0.35665368919742957,0.0
2018-10-16,1.0,-0.23268593973838095,-0.3204246025222517,-0.010967332847983841,-0.4271153800991052,-0.35729550738592325,0.0
