Date,IWF,IWM,MTUM,SPY,TAP,VLUE,VXX
2018-09-24,-0.4719368225955921,-0.8807365324952657,-0.0,-0.8749345259680085,1.0,-0.8015633184254,0.0
2018-09-25,-0.4697997481619887,-0.8936593687802105,-0.0,-0.8847638003168286,1.0,-0.8136804906779317,0.0
2018-09-26,-0.46889349425007115,-0.8933317079117397,-0.0,-0.8852858710227965,1.0,-0.8160429111300743,0.0
2018-09-27,-0.47595235191283486,-0.8836036915070944,-0.0,-0.888075781599382,1.0,-0.8179046225149409,0.0
2018-09-28,-0.4735557363710334,-0.8874288039056143,-0.0,-0.8886493083807975,1.0,-0.8187550854353134,0.0
2018-10-01,-0.4743673203678086,-0.8866465945154203,-0.0,-0.8889657417202376,1.0,-0.8186996500935797,0.0
2018-10-02,-0.47530713530225366,-0.8836547066959564,-0.0,-0.8895533317061264,1.0,-0.8194613945163127,0.0
2018-10-03,-0.47559633027522935,-0.8698063200815495,-0.0,-0.8987155963302752,1.0,-0.8333537206931703,0.0
2018-10-04,-0.4825109179217175,-0.8623321497081752,-0.0,-0.9075956083425166,1.0,-0.82902738663728,0.0
2018-10-05,-0.4595891803945495,-0.8497457799471222,-0.0,-0.9170225747406956,1.0,-0.8411633109619687,0.0
2018-10-08,-0.4558254995320067,-0.8465795792129572,-0.0,-0.9249582875513774,1.0,-0.842143816383836,0.0
2018-10-09,-0.44936166741444716,-0.8486356405759269,-0.0,-0.9304564179956765,1.0,-0.8503895256352735,0.0
2018-10-10,-0.44842225578642286,-0.8503082010042047,-0.0,-0.9309303179981222,1.0,-0.8525125525574561,0.0
2018-10-11,-0.34960929752885644,-0.8362222839236841,-0.0,-0.9078576811709175,1.0,-0.872833287057237,0.0
2018-10-12,-0.3481472795497185,-0.8214899937460912,-0.0,-0.888680425265791,1.0,-0.8503752345215759,0.0
2018-10-15,-0.31466375239061706,-0.8524647749892666,-0.0,-0.8836111002693103,1.0,-0.8522696225752313,0.0
2018-10-16,-0.30853972966638016,-0.8644425345730136,-0.0,-0.8824908195952809,1.0,-0.8511211813422924,0.0
2018-10-17,-0.28112295773567536,-0.815831863158702,-0.0,-0.8767737976528341,1.0,-0.861509549743039,0.0
2018-10-18,-0.28143344971799106,-0.8172121398150637,-0.0,-0.8763764723938151,1.0,-0.8618347849441738,0.0
2018-10-19,-0.26021300874857356,-0.800836820083682,-0.0,-0.8802206162038797,1.0,-0.8624572080639026,0.0
2018-10-22,-0.2610519891673342,-0.7878857230041575,-0.0,-0.8919784872411031,1.0,-0.8733646107487508,0.0
2018-10-23,-0.25922107674684997,-0.7890034364261167,-0.0,-0.8947308132875142,1.0,-0.8752959144711722,0.0
2018-10-24,-0.25643568132412947,-0.7857442507913505,-0.0,-0.895236642385874,1.0,-0.8763205064642844,0.0
2018-10-25,-0.20676973881717203,-0.7424947463224257,-0.0,-0.9461122785950166,1.0,-0.8572500750525368,0.0
2018-10-26,-0.1759679572763685,-0.7594888422658783,-0.0,-1.0041197787526226,1.0,-0.8750333778371162,0.0
2018-10-29,-0.15634833377563787,-0.7615346703567502,-0.0,-0.9962846419228875,1.0,-0.8770519771012624,0.0
2018-10-30,-0.13405590416428978,-0.7668378018634722,-0.0,-1.0016733219243201,1.0,-0.9003993154592127,0.0
2018-10-31,-0.1354127331772525,-0.7511139642020995,-0.0,-0.9959972811721169,1.0,-0.8936258590740881,0.0
2018-11-01,-0.22260729397541806,-0.7813419302841024,-0.0,-1.0687487406810396,1.0,-0.9571227080394922,0.0
