Date,COLD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3080573218183543,-0.8018094966941888,-0.0,-0.5763500047451836,-0.47723893581348265,0.0
2018-09-25,1.0,-0.30819599531838165,-0.8016322399013063,-0.0,-0.576250276784867,-0.4771138455698604,0.0
2018-09-26,1.0,-0.30764119601328904,-0.8013921847808891,-0.0,-0.5765227021040975,-0.47850023730422403,0.0
2018-09-27,1.0,-0.3080378325372473,-0.8004302027646854,-0.0,-0.5764084395660013,-0.4784107803751621,0.0
2018-09-28,1.0,-0.3071740368191308,-0.8011324096919087,-0.0,-0.5762953122034542,-0.47849054216486364,0.0
2018-10-01,1.0,-0.3069767441860465,-0.8017402309761114,-0.0004429678848283499,-0.5761746559088752,-0.47875336180984024,0.0
2018-10-02,1.0,-0.30721042806973137,-0.7998861011801183,-0.0014553738095991393,-0.5762014743569462,-0.4790710918467428,0.0
2018-10-03,1.0,-0.3068505281801505,-0.7917641849579353,-0.0003795306470997533,-0.5792902776899234,-0.4844708710228351,0.0
2018-10-04,1.0,-0.3101365878335652,-0.7860440116352598,-0.0010749968382445935,-0.583407107626154,-0.48106108511445556,0.0
2018-10-05,1.0,-0.30283931553902876,-0.7838527715627265,-0.0,-0.5838716793243627,-0.48072983959915544,0.0
2018-10-08,1.0,-0.29949254578119583,-0.7811327891070696,-0.0,-0.59015980080058,-0.4811044221010496,0.0
2018-10-09,1.0,-0.2950214538112064,-0.7817074709742553,-0.0,-0.592819283190308,-0.4853924785461887,0.0
2018-10-10,1.0,-0.2966818067120868,-0.7807532172596519,-0.0,-0.5938998233661368,-0.482809740095887,0.0
2018-10-11,1.0,-0.23631044885272873,-0.7638723832160161,-0.0,-0.567724045464241,-0.4792942682146449,0.0
2018-10-12,1.0,-0.23541084152611164,-0.7562911517994046,-0.0,-0.5532906406902979,-0.46153152340579057,0.0
2018-10-15,1.0,-0.20632154553375595,-0.7859868401285941,-0.0,-0.5490791094552774,-0.46314935552684555,0.0
2018-10-16,1.0,-0.2029747596153846,-0.7915264423076923,-0.0,-0.5481069711538461,-0.4621995192307693,0.0
